MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM
E02003943,Cornwall 054,E06000052,Cornwall,E12000009,South West
E02003944,Cornwall 057,E06000052,Cornwall,E12000009,South West
E02003945,Cornwall 058,E06000052,Cornwall,E12000009,South West
E02003946,Cornwall 061,E06000052,Cornwall,E12000009,South West
E02003947,Cornwall 065,E06000052,Cornwall,E12000009,South West
E02003948,Cornwall 067,E06000052,Cornwall,E12000009,South West
E02003949,Cornwall 068,E06000052,Cornwall,E12000009,South West
E02003950,Cornwall 069,E06000052,Cornwall,E12000009,South West
E02003951,Cornwall 070,E06000052,Cornwall,E12000009,South West
E02003952,Cornwall 018,E06000052,Cornwall,E12000009,South West
E02003953,Cornwall 019,E06000052,Cornwall,E12000009,South West
E02003954,Cornwall 020,E06000052,Cornwall,E12000009,South West
E02003955,Cornwall 021,E06000052,Cornwall,E12000009,South West
E02003956,Cornwall 024,E06000052,Cornwall,E12000009,South West
E02003957,Cornwall 027,E06000052,Cornwall,E12000009,South West
E02003958,Cornwall 030,E06000052,Cornwall,E12000009,South West
E02003959,Cornwall 031,E06000052,Cornwall,E12000009,South West
E02003960,Cornwall 035,E06000052,Cornwall,E12000009,South West
E02003961,Cornwall 036,E06000052,Cornwall,E12000009,South West
E02003962,Cornwall 038,E06000052,Cornwall,E12000009,South West
E02003963,Cornwall 039,E06000052,Cornwall,E12000009,South West
E02003964,Cornwall 041,E06000052,Cornwall,E12000009,South West
E02004129,East Devon 001,E07000040,East Devon,E12000009,South West
E02004130,East Devon 002,E07000040,East Devon,E12000009,South West
E02004131,East Devon 003,E07000040,East Devon,E12000009,South West
E02004132,East Devon 004,E07000040,East Devon,E12000009,South West
E02004133,East Devon 005,E07000040,East Devon,E12000009,South West
E02004134,East Devon 006,E07000040,East Devon,E12000009,South West
E02004135,East Devon 007,E07000040,East Devon,E12000009,South West
E02004136,East Devon 008,E07000040,East Devon,E12000009,South West
E02004137,East Devon 009,E07000040,East Devon,E12000009,South West
E02004138,East Devon 010,E07000040,East Devon,E12000009,South West
E02004139,East Devon 011,E07000040,East Devon,E12000009,South West
E02004140,East Devon 012,E07000040,East Devon,E12000009,South West
E02004141,East Devon 013,E07000040,East Devon,E12000009,South West
E02004142,East Devon 014,E07000040,East Devon,E12000009,South West
E02004143,East Devon 015,E07000040,East Devon,E12000009,South West
E02004144,East Devon 016,E07000040,East Devon,E12000009,South West
E02004145,East Devon 017,E07000040,East Devon,E12000009,South West
E02004146,East Devon 018,E07000040,East Devon,E12000009,South West
E02004147,East Devon 019,E07000040,East Devon,E12000009,South West
E02004148,East Devon 020,E07000040,East Devon,E12000009,South West
E02004149,Exeter 001,E07000041,Exeter,E12000009,South West
E02004150,Exeter 002,E07000041,Exeter,E12000009,South West
E02004151,Exeter 003,E07000041,Exeter,E12000009,South West
E02004152,Exeter 004,E07000041,Exeter,E12000009,South West
E02004153,Exeter 005,E07000041,Exeter,E12000009,South West
E02004154,Exeter 006,E07000041,Exeter,E12000009,South West
E02004155,Exeter 007,E07000041,Exeter,E12000009,South West
E02004156,Exeter 008,E07000041,Exeter,E12000009,South West
E02004157,Exeter 009,E07000041,Exeter,E12000009,South West
E02004158,Exeter 010,E07000041,Exeter,E12000009,South West
E02004159,Exeter 011,E07000041,Exeter,E12000009,South West
E02004160,Exeter 012,E07000041,Exeter,E12000009,South West
E02004161,Exeter 013,E07000041,Exeter,E12000009,South West
E02004162,Exeter 014,E07000041,Exeter,E12000009,South West
E02004163,Exeter 015,E07000041,Exeter,E12000009,South West
E02004164,Mid Devon 001,E07000042,Mid Devon,E12000009,South West
E02004165,Mid Devon 002,E07000042,Mid Devon,E12000009,South West
E02004166,Mid Devon 003,E07000042,Mid Devon,E12000009,South West
E02004167,Mid Devon 004,E07000042,Mid Devon,E12000009,South West
E02004168,Mid Devon 005,E07000042,Mid Devon,E12000009,South West
E02004169,Mid Devon 006,E07000042,Mid Devon,E12000009,South West
E02004170,Mid Devon 007,E07000042,Mid Devon,E12000009,South West
E02004171,Mid Devon 008,E07000042,Mid Devon,E12000009,South West
E02004172,Mid Devon 009,E07000042,Mid Devon,E12000009,South West
E02004173,Mid Devon 010,E07000042,Mid Devon,E12000009,South West
E02004174,Mid Devon 011,E07000042,Mid Devon,E12000009,South West
E02004175,North Devon 001,E07000043,North Devon,E12000009,South West
E02004176,North Devon 002,E07000043,North Devon,E12000009,South West
E02004177,North Devon 003,E07000043,North Devon,E12000009,South West
E02004178,North Devon 004,E07000043,North Devon,E12000009,South West
E02004179,North Devon 005,E07000043,North Devon,E12000009,South West
E02004180,North Devon 006,E07000043,North Devon,E12000009,South West
E02004181,North Devon 007,E07000043,North Devon,E12000009,South West
E02004182,North Devon 008,E07000043,North Devon,E12000009,South West
E02004183,North Devon 009,E07000043,North Devon,E12000009,South West
E02004184,North Devon 010,E07000043,North Devon,E12000009,South West
E02004185,North Devon 011,E07000043,North Devon,E12000009,South West
E02004186,North Devon 012,E07000043,North Devon,E12000009,South West
E02004187,North Devon 013,E07000043,North Devon,E12000009,South West
E02004188,North Devon 014,E07000043,North Devon,E12000009,South West
E02004189,South Hams 001,E07000044,South Hams,E12000009,South West
E02004190,South Hams 002,E07000044,South Hams,E12000009,South West
E02004191,South Hams 003,E07000044,South Hams,E12000009,South West
E02004192,South Hams 004,E07000044,South Hams,E12000009,South West
E02004193,South Hams 005,E07000044,South Hams,E12000009,South West
E02004194,South Hams 006,E07000044,South Hams,E12000009,South West
E02004195,South Hams 007,E07000044,South Hams,E12000009,South West
E02004196,South Hams 008,E07000044,South Hams,E12000009,South West
E02004197,South Hams 009,E07000044,South Hams,E12000009,South West
E02004198,South Hams 010,E07000044,South Hams,E12000009,South West
E02004199,South Hams 011,E07000044,South Hams,E12000009,South West
E02004200,South Hams 012,E07000044,South Hams,E12000009,South West
E02004201,Teignbridge 001,E07000045,Teignbridge,E12000009,South West
E02004202,Teignbridge 002,E07000045,Teignbridge,E12000009,South West
E02004203,Teignbridge 003,E07000045,Teignbridge,E12000009,South West
E02004204,Teignbridge 004,E07000045,Teignbridge,E12000009,South West
E02004205,Teignbridge 005,E07000045,Teignbridge,E12000009,South West
E02004206,Teignbridge 006,E07000045,Teignbridge,E12000009,South West
E02004207,Teignbridge 007,E07000045,Teignbridge,E12000009,South West
E02004208,Teignbridge 008,E07000045,Teignbridge,E12000009,South West
E02004209,Teignbridge 009,E07000045,Teignbridge,E12000009,South West
E02004210,Teignbridge 010,E07000045,Teignbridge,E12000009,South West
E02004211,Teignbridge 011,E07000045,Teignbridge,E12000009,South West
E02004212,Teignbridge 012,E07000045,Teignbridge,E12000009,South West
E02004213,Teignbridge 013,E07000045,Teignbridge,E12000009,South West
E02004214,Teignbridge 014,E07000045,Teignbridge,E12000009,South West
E02004215,Teignbridge 015,E07000045,Teignbridge,E12000009,South West
E02004216,Teignbridge 016,E07000045,Teignbridge,E12000009,South West
E02004217,Teignbridge 017,E07000045,Teignbridge,E12000009,South West
E02004218,Teignbridge 018,E07000045,Teignbridge,E12000009,South West
E02004219,Teignbridge 019,E07000045,Teignbridge,E12000009,South West
E02004220,Torridge 001,E07000046,Torridge,E12000009,South West
E02004221,Torridge 002,E07000046,Torridge,E12000009,South West
E02004222,Torridge 003,E07000046,Torridge,E12000009,South West
E02004223,Torridge 004,E07000046,Torridge,E12000009,South West
E02004224,Torridge 005,E07000046,Torridge,E12000009,South West
E02004225,Torridge 006,E07000046,Torridge,E12000009,South West
E02004226,Torridge 007,E07000046,Torridge,E12000009,South West
E02004227,Torridge 008,E07000046,Torridge,E12000009,South West
E02004228,Torridge 009,E07000046,Torridge,E12000009,South West
E02004229,West Devon 001,E07000047,West Devon,E12000009,South West
E02004230,West Devon 002,E07000047,West Devon,E12000009,South West
E02004231,West Devon 003,E07000047,West Devon,E12000009,South West
E02004232,West Devon 004,E07000047,West Devon,E12000009,South West
E02004233,West Devon 005,E07000047,West Devon,E12000009,South West
E02004234,West Devon 006,E07000047,West Devon,E12000009,South West
E02004235,West Devon 007,E07000047,West Devon,E12000009,South West
E02006840,Torbay 019,E06000027,Torbay,E12000009,South West
