MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,MSOA01CD,MSOA01NM,CHGIND,ratio_la_median_price_2001,ratio_la_median_price_2011,ratio_r_median_price_2001,ratio_r_median_price_2011,ratio_la_earnings_2001,ratio_la_earnings_2011,ratio_r_earnings_2001,ratio_r_earnings_2011,ratio_la_nssec_2001,ratio_la_nssec_2011,ratio_r_nssec_2001,ratio_r_nssec_2011,ratio_la_qualification_2001,ratio_la_qualification_2011,ratio_r_qualification_2001,ratio_r_qualification_2011,ratio_la_space_vacant_2001,ratio_la_space_vacant_2011,ratio_la_no_children_2001,ratio_la_no_children_2011,ratio_la_dependent_children_2001,ratio_la_dependent_children_2011,ratio_la_nondependent_children_2001,ratio_la_nondependent_children_2011,ratio_la_retired_2001,ratio_la_retired_2011,ratio_la_student_2001,ratio_la_student_2011,ratio_la_newlybuilt_sale_2001,ratio_la_newlybuilt_sale_2011,ratio_la_owned_2001,ratio_la_owned_2011,ratio_la_rented_2001,ratio_la_rented_2011,ratio_la_migrants_2001,ratio_la_migrants_2011
E02003122,Plymouth 001,E06000026,Plymouth,E12000009,South West,E02003122,Plymouth 001,U,1.9447685725398678,1.2464788732394365,1.2953367875647668,0.9567567567567568,1.0,1.177910154881211,0.8272677467324098,0.9911310296025474,1.302179316924341,1.4084619021046814,1.050906755999864,1.107386904818518,1.2687384113183844,1.2455064307695936,0.9084634676271384,0.976193214807862,0.6368650795000295,0.8519508271258495,1.4072271846866662,1.2943337043824845,0.8911543796584435,0.8878387640241345,1.131504918927518,1.0678848516089359,1.5135694257798353,1.6523015967473602,0.48062948537529515,0.3101618937809204,1.863442338494654,4.579650734307198,1.3433240263092385,1.4184868863894504,0.2793745986529726,0.3762657967829333,1.0,1.65185555804722
E02003123,Plymouth 002,E06000026,Plymouth,E12000009,South West,E02003123,Plymouth 002,U,0.8245818747569039,1.024612676056338,0.5492227979274611,0.7864594594594595,1.0,0.9418025089354545,0.8272677467324098,0.7924625545465267,0.7124899488921329,0.8152578953170359,0.5750056778979269,0.6409871051356931,0.6604449457728798,0.7056376233454245,0.4729029248749393,0.5530590954856158,0.49006441087690705,0.4818991424346068,1.0541259068491176,0.9385531168322365,1.0763234584966348,1.0980567729920216,1.2334832531354216,1.28073836505998,1.1782253105122658,1.2345479106446753,0.454993990572603,0.41737346392051156,0.0,5.043380405531824,0.9233462983825397,0.9878597502510961,1.159637794687031,1.0188697732763288,1.0,2.0391504072318547
E02003124,Plymouth 003,E06000026,Plymouth,E12000009,South West,E02003124,Plymouth 003,U,0.8556981719175418,0.8274647887323944,0.5699481865284974,0.6351351351351351,1.0,0.8998451187889831,0.8272677467324098,0.7571582733812949,0.845830926728385,0.8212866383686996,0.6826167669687628,0.6457271347367436,0.6789342924513769,0.7168105116256163,0.4861419786056872,0.5618160938113412,0.7742133150505133,0.5687259003468373,1.016922957768119,0.9006704298946714,1.0886108322302623,1.2334757170124706,1.032574320142186,1.167807797346846,1.048220403405527,1.0398875816958328,0.481795348664516,0.48668260251000883,1.1526709836243236,0.311024411370865,0.8550255819957665,0.963562673339921,1.2175018871961782,1.0548732952122013,1.0,1.7529441694013979
E02003125,Plymouth 004,E06000026,Plymouth,E12000009,South West,E02003125,Plymouth 004,U,0.7623492804356281,0.8556338028169014,0.5077720207253886,0.6567567567567567,1.0,0.9299992991800407,0.8272677467324098,0.7825309588394858,0.7261670285975671,0.7547751706662518,0.586043585871107,0.5934332613675821,0.46739860397482785,0.6243485293069859,0.3346746285468144,0.48934696997762506,0.6250765200289701,0.8460335465692744,1.0567362580363082,1.0788065110948704,0.9573325488476873,1.0209840690071537,1.1443048019706215,1.1969210923787275,0.9513774567905694,1.0826692557897808,0.5558626105303365,0.46239015501914005,0.0,0.0,0.9007973473708879,0.9631806431858174,1.225957526163578,1.0549278663282236,1.0,1.8227347107142917
E02003126,Plymouth 005,E06000026,Plymouth,E12000009,South West,E02003126,Plymouth 005,U,0.8553092182030338,0.8802816901408451,0.5696891191709844,0.6756756756756757,1.0,0.9526392879669212,0.8272677467324098,0.8015809647364075,0.8696774107728064,0.8354676872658641,0.7018617594697315,0.6568768206613997,0.7366724101228623,0.7478304242879072,0.5274845990593361,0.5861286364982145,0.33773835094351784,0.7373693375690941,1.1511837770431244,1.2483232796860015,1.161322385078604,0.9787273911367852,1.7616724015702883,1.4756461357078487,0.755766514590559,1.1284869127250943,1.5206979735328896,0.9856991143731688,0.0,0.0,1.1196900994754513,1.111034478861163,0.7954662813115041,0.841768278458174,1.0,2.2038573934984185
E02003127,Plymouth 006,E06000026,Plymouth,E12000009,South West,E02003127,Plymouth 006,U,0.8129132633216647,0.795774647887324,0.5414507772020726,0.6108108108108108,1.0,0.8441376410400169,0.8272677467324098,0.7102842316310886,0.6707686772052714,0.6963239791475369,0.5413350722334261,0.5474766870632718,0.5000538708476118,0.5391598313187307,0.3580570032860736,0.42257844361757546,0.5926027128075356,0.7684570479680679,0.880342519219048,0.9054257093937138,1.1501367420976205,1.215814924539032,1.2367631334216012,1.3265086278798708,0.8977296584972768,0.9839353475262603,0.5732063296756135,0.5403922497205244,0.0,0.0,0.881469987993451,0.9799302589071494,1.1919374620410157,1.013127681714199,1.0,1.6781031913111666
E02003128,Plymouth 007,E06000026,Plymouth,E12000009,South West,E02003128,Plymouth 007,U,1.1668611435239207,0.8661971830985915,0.7772020725388601,0.6648648648648648,1.0,0.9141916041768869,0.8272677467324098,0.7692298620120297,0.6906200053583957,0.8143306383051461,0.5573558265186063,0.640258060018581,0.5188309636140268,0.6921373228572875,0.37150209382196125,0.5424779363612559,0.5195665480597979,0.9173722719222877,0.9158328208426889,0.909065630337176,0.8572262068230543,1.0951970224186176,1.0969425921764369,1.0326726952737473,1.0735981489085653,1.0223894069522041,0.4180208034973968,0.4817594333571914,7.245831591033258,0.0,0.821648509993483,0.8520940178815974,1.3543489577037227,1.1895351819006528,1.0,2.1342551443059987
E02003129,Plymouth 008,E06000026,Plymouth,E12000009,South West,E02003129,Plymouth 008,U,1.3216647218980941,1.2464788732394365,0.8803108808290155,0.9567567567567568,1.0,1.1017317261195598,0.8272677467324098,0.9270320792546292,1.33633737556416,1.3285600647358167,1.0784735696712802,1.0445650079386666,1.1088237231111673,1.0968153048755018,0.793958656487796,0.8596532559493072,1.9218643805022022,0.8858527194071153,1.0257689993369428,1.0057907532411103,1.0212859207581346,1.1572593176551582,0.9164330497061018,0.995236999462017,1.4047546922193554,1.3923628462682007,0.4419107778313096,0.457341613555242,1.2318064749429887,0.0,1.104833662445648,1.0969384827881392,0.5998456401983181,0.8706796744793385,1.0,2.0441720318882273
E02003130,Plymouth 009,E06000026,Plymouth,E12000009,South West,E02003130,Plymouth 009,U,0.7545702061454687,0.8767605633802817,0.5025906735751295,0.672972972972973,1.0,0.9004856682318313,0.8272677467324098,0.757697252034438,0.690716930430475,0.7227342570859356,0.5574340486280731,0.568241463091574,0.5137071321266046,0.6028655675550757,0.3678332416148591,0.47250922351714847,1.040851368017703,0.9681614071770083,1.0175362102784717,0.9799291410029957,1.080771393923705,1.1131030976950693,1.1458427451007647,1.268568822729913,0.9806070311853958,1.0483434874444735,0.4616470824857671,0.4444995274242689,0.3617481832226605,2.1149659761722224,1.0040945597912325,1.0221678453153618,1.0457203203835557,0.980019022120177,1.0,1.4918081749577285
E02003131,Plymouth 010,E06000026,Plymouth,E12000009,South West,E02003131,Plymouth 010,U,0.8401400233372228,0.8661971830985915,0.5595854922279793,0.6648648648648648,1.0,0.9247228257060761,0.8272677467324098,0.7780911664111334,0.779484929367206,0.8451809493164327,0.6290730990927484,0.6645137607744387,0.5706433102874534,0.6267321273411224,0.40860164381976505,0.49121516766032636,0.1732736921972097,0.422840886916994,1.1447017494824694,1.06821176954594,1.1207405398294707,1.1202134359142233,1.307348276034493,1.2085627271603863,1.067161324594016,1.335933793745197,0.5060701848654743,0.4190714593819932,0.0,0.0,1.0156422617646517,1.0863825515980892,1.0048536073916003,0.8772482492438689,1.0,1.373581804830119
