MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,MSOA01CD,MSOA01NM,CHGIND,median_price_2001,median_price_2011,median_price_2001_la,median_price_2011_la,median_price_2001_region,median_price_2011_region,earnings_2011,earnings_2001_la,earnings_2011_la,earnings_2001_region,earnings_2011_region,NS-SeC_higher_2001_pct,NS-SeC_higher_2011_pct,NS-SeC_higher_2001_la_pct,NS-SeC_higher_2011_la_pct,NS-SeC_higher_2001_region_pct,NS-SeC_higher_2011_region_pct,qualification_2001_pct,qualification_2011_pct,qualification_2001_la_pct,qualification_2011_la_pct,qualification_2001_region_pct,qualification_2011_region_pct,space_vacant_2001_pct,space_vacant_2011_pct,space_vacant_2001_la_pct,space_vacant_2011_la_pct,no_children_2001_pct,dependent_children_2001_pct,nondependent_children_2001_pct,no_children_2011_pct,dependent_children_2011_pct,nondependent_children_2011_pct,no_children_2001_la_pct,dependent_children_2001_la_pct,nondependent_children_2001_la_pct,no_children_2011_la_pct,dependent_children_2011_la_pct,nondependent_children_2011_la_pct,retired_2001_pct,student_2001_pct,retired_2011_pct,student_2011_pct,retired_2001_la_pct,student_2001_la_pct,retired_2011_la_pct,student_2011_la_pct,migrants_2011_pct,migrants_2001_la_pct,migrants_2011_la_pct,newlybuilt_sale_2001_pct,newlybuilt_sale_2011_pct,newlybuilt_sale_2001_la_pct,newlybuilt_sale_2011_la_pct,owned_2001_pct,rented_2001_pct,owned_2011_pct,rented_2011_pct,owned_2001_la_pct,rented_2001_la_pct,owned_2011_la_pct,rented_2011_la_pct
E02003132,Plymouth 011,E06000026,Plymouth,E12000009,South West,E02003132,Plymouth 011,U,72000.0,137500,64275,142000,96500,185000,14136.73,10570,14269.0,12777,16958,0.197388932,0.270165551,0.212597211,0.25056052100000004,0.263429357,0.318682609,0.114575214,0.206719552,0.134896708,0.21455589100000005,0.188393525,0.273747797,0.015146832,0.032460137,0.037932879,0.037180255,0.164207221,0.260282575,0.098901099,0.19364332,0.268098882,0.097704532,0.17912034300000002,0.27906183,0.082874976,0.185880136,0.250779913,0.089921048,0.498625618,0.082462892,0.516799023,0.126450825,0.389958911,0.162621983,0.421881831,0.250765099,0.084057971,0.04332419,0.047861801,0.028368794,0.0,0.046200901,0.094564169,0.7288135590000001,0.231952291,0.70541495,0.278693349,0.629100839,0.323571289,0.5869431970000001,0.394494406
E02003133,Plymouth 012,E06000026,Plymouth,E12000009,South West,E02003133,Plymouth 012,U,73000.0,149500,64275,142000,96500,185000,14655.54,10570,14269.0,12777,16958,0.224748416,0.261129817,0.212597211,0.25056052100000004,0.263429357,0.318682609,0.121319419,0.19512605,0.134896708,0.21455589100000005,0.188393525,0.273747797,0.015096817,0.018252934,0.037932879,0.037180255,0.214928357,0.316227924,0.100633122,0.200531208,0.2875166,0.118193891,0.17912034300000002,0.27906183,0.082874976,0.185880136,0.250779913,0.089921048,0.474044495,0.091842556,0.575326216,0.13285883699999998,0.389958911,0.162621983,0.421881831,0.250765099,0.067646659,0.04332419,0.047861801,0.0,0.0,0.046200901,0.094564169,0.782405865,0.191936021,0.7649402390000001,0.222775564,0.629100839,0.323571289,0.5869431970000001,0.394494406
E02003134,Plymouth 013,E06000026,Plymouth,E12000009,South West,E02003134,Plymouth 013,U,50000.0,107000,64275,142000,96500,185000,11844.81,10570,14269.0,12777,16958,0.123138242,0.164142448,0.212597211,0.25056052100000004,0.263429357,0.318682609,0.062303335,0.112218045,0.134896708,0.21455589100000005,0.188393525,0.273747797,0.020329478,0.028419183,0.037932879,0.037180255,0.12620665,0.357525921,0.115480872,0.158318099,0.310420475,0.131992687,0.17912034300000002,0.27906183,0.082874976,0.185880136,0.250779913,0.089921048,0.335276968,0.077745384,0.358078603,0.129912664,0.389958911,0.162621983,0.421881831,0.250765099,0.06002886,0.04332419,0.047861801,0.0,0.0,0.046200901,0.094564169,0.4490161,0.5005366729999999,0.493967093,0.483729433,0.629100839,0.323571289,0.5869431970000001,0.394494406
E02003135,Plymouth 014,E06000026,Plymouth,E12000009,South West,E02003135,Plymouth 014,U,46000.0,105000,64275,142000,96500,185000,12681.81,10570,14269.0,12777,16958,0.210745365,0.195903166,0.212597211,0.25056052100000004,0.263429357,0.318682609,0.08191449099999999,0.133791645,0.134896708,0.21455589100000005,0.188393525,0.273747797,0.035737922000000005,0.041733036,0.037932879,0.037180255,0.16781057,0.327385038,0.075840769,0.16356383,0.365026596,0.091422872,0.17912034300000002,0.27906183,0.082874976,0.185880136,0.250779913,0.089921048,0.274096386,0.078313253,0.30946745600000003,0.132544379,0.389958911,0.162621983,0.421881831,0.250765099,0.113918973,0.04332419,0.047861801,0.0,0.0,0.046200901,0.094564169,0.503431709,0.45813315,0.469414894,0.520279255,0.629100839,0.323571289,0.5869431970000001,0.394494406
E02003136,Plymouth 015,E06000026,Plymouth,E12000009,South West,E02003136,Plymouth 015,U,89950.0,169000,64275,142000,96500,185000,15484.77,10570,14269.0,12777,16958,0.243790248,0.319486539,0.212597211,0.25056052100000004,0.263429357,0.318682609,0.139098436,0.229277163,0.134896708,0.21455589100000005,0.188393525,0.273747797,0.016081392,0.02202381,0.037932879,0.037180255,0.22281521,0.267511674,0.096064043,0.197200243,0.254108338,0.099513086,0.17912034300000002,0.27906183,0.082874976,0.185880136,0.250779913,0.089921048,0.545002761,0.087244616,0.69182058,0.10237467,0.389958911,0.162621983,0.421881831,0.250765099,0.066666667,0.04332419,0.047861801,0.0,0.067226891,0.046200901,0.094564169,0.884256171,0.093062041,0.84814364,0.138161899,0.629100839,0.323571289,0.5869431970000001,0.394494406
E02003137,Plymouth 016,E06000026,Plymouth,E12000009,South West,E02003137,Plymouth 016,U,97000.0,222500,64275,142000,96500,185000,17637.16,10570,14269.0,12777,16958,0.356897211,0.436846929,0.212597211,0.25056052100000004,0.263429357,0.318682609,0.286969813,0.37480315,0.134896708,0.21455589100000005,0.188393525,0.273747797,0.040244688,0.036683107,0.037932879,0.037180255,0.197584703,0.283126468,0.088896344,0.21472,0.27328,0.09184,0.17912034300000002,0.27906183,0.082874976,0.185880136,0.250779913,0.089921048,0.517321016,0.12875288699999998,0.6164736160000001,0.152509653,0.389958911,0.162621983,0.421881831,0.250765099,0.078393636,0.04332419,0.047861801,0.008368201,0.0,0.046200901,0.094564169,0.85306944,0.115397518,0.8288,0.16128,0.629100839,0.323571289,0.5869431970000001,0.394494406
E02003138,Plymouth 017,E06000026,Plymouth,E12000009,South West,E02003138,Plymouth 017,U,81000.0,175500,64275,142000,96500,185000,18068.62,10570,14269.0,12777,16958,0.341520468,0.404736467,0.212597211,0.25056052100000004,0.263429357,0.318682609,0.267641326,0.376828266,0.134896708,0.21455589100000005,0.188393525,0.273747797,0.027095148,0.045039562000000005,0.037932879,0.037180255,0.185233161,0.273963731,0.06638601,0.213830465,0.28138942,0.080624602,0.17912034300000002,0.27906183,0.082874976,0.185880136,0.250779913,0.089921048,0.404612159,0.187980433,0.424393723,0.307417974,0.389958911,0.162621983,0.421881831,0.250765099,0.131754949,0.04332419,0.047861801,0.0,0.0,0.046200901,0.094564169,0.8053756479999999,0.158031088,0.7351816440000001,0.252071383,0.629100839,0.323571289,0.5869431970000001,0.394494406
E02003139,Plymouth 018,E06000026,Plymouth,E12000009,South West,E02003139,Plymouth 018,U,70950.0,155000,64275,142000,96500,185000,17400.94,10570,14269.0,12777,16958,0.32237518,0.319472617,0.212597211,0.25056052100000004,0.263429357,0.318682609,0.15471543,0.237631476,0.134896708,0.21455589100000005,0.188393525,0.273747797,0.014073495,0.012805588,0.037932879,0.037180255,0.271898533,0.388030123,0.082837891,0.26336478,0.35259434,0.106132075,0.17912034300000002,0.27906183,0.082874976,0.185880136,0.250779913,0.089921048,0.37527115,0.135574837,0.5595703129999999,0.143554688,0.389958911,0.162621983,0.421881831,0.250765099,0.072855825,0.04332419,0.047861801,0.0,0.0,0.046200901,0.094564169,0.8747026170000001,0.086439334,0.795990566,0.17885220100000002,0.629100839,0.323571289,0.5869431970000001,0.394494406
E02003140,Plymouth 019,E06000026,Plymouth,E12000009,South West,E02003140,Plymouth 019,U,88250.0,162500,64275,142000,96500,185000,15420.56,10570,14269.0,12777,16958,0.264158115,0.323907455,0.212597211,0.25056052100000004,0.263429357,0.318682609,0.160395287,0.259615385,0.134896708,0.21455589100000005,0.188393525,0.273747797,0.018026876,0.02889096,0.037932879,0.037180255,0.201602136,0.285380507,0.098798398,0.196737044,0.295265515,0.107165707,0.17912034300000002,0.27906183,0.082874976,0.185880136,0.250779913,0.089921048,0.566666667,0.073684211,0.680666667,0.111333333,0.389958911,0.162621983,0.421881831,0.250765099,0.074054827,0.04332419,0.047861801,0.16161616199999998,0.163934426,0.046200901,0.094564169,0.902870494,0.071094793,0.871721049,0.11484325,0.629100839,0.323571289,0.5869431970000001,0.394494406
E02003141,Plymouth 020,E06000026,Plymouth,E12000009,South West,E02003141,Plymouth 020,U,48000.0,113500,64275,142000,96500,185000,14616.42,10570,14269.0,12777,16958,0.220114531,0.262032932,0.212597211,0.25056052100000004,0.263429357,0.318682609,0.13904796,0.233417421,0.134896708,0.21455589100000005,0.188393525,0.273747797,0.062618084,0.060112073,0.037932879,0.037180255,0.17333717199999998,0.239274403,0.06392168200000001,0.196747967,0.22601626,0.071815718,0.17912034300000002,0.27906183,0.082874976,0.185880136,0.250779913,0.089921048,0.325829384,0.121445498,0.374244256,0.179564692,0.389958911,0.162621983,0.421881831,0.250765099,0.154729224,0.04332419,0.047861801,0.003584229000000001,0.0,0.046200901,0.094564169,0.632018428,0.334005183,0.5555555560000001,0.4322493220000001,0.629100839,0.323571289,0.5869431970000001,0.394494406
