MSOA11CD,ratio_la_median_price_2001,ratio_la_median_price_2011,ratio_la_earnings_2001,ratio_la_earnings_2011,ratio_la_nssec_2001,ratio_la_nssec_2011,ratio_la_qualification_2001,ratio_la_qualification_2011,Score_2001,Score_2011
E02003128,0.14811035019611535,-0.1493144780013733,1.0,0.9141916041768868,0.6906200053583957,0.8143306383051461,0.5188309636140268,0.6921373228572875,-0.3767776470741644,-0.3646898697072084
E02003129,0.2590563383581797,0.20781613970636895,1.0,1.1017317261195598,1.3363373755641599,1.328560064735817,1.1088237231111673,1.0968153048755018,0.4125470077030867,0.39724502263202227
E02003130,-0.3039603653981693,-0.13626586576501415,1.0,0.9004856682318313,0.690716930430475,0.7227342570859356,0.5137071321266046,0.6028655675550757,-0.6034536434817348,-0.46878965703474695
E02003131,-0.1825732829438923,-0.1493144780013733,1.0,0.924722825706076,0.7794849293672059,0.8451809493164327,0.5706433102874534,0.6267321273411224,-0.45726701086743166,-0.3847066582549558
E02003132,0.1101136463291564,-0.032482547396520074,1.0,0.9907302543976452,0.9284643531847648,1.0782446888350778,0.8493551525364132,0.9634764677703488,-0.05564652741128898,0.028259176706239373
E02003133,0.12304539909068504,0.050766175800881184,1.0,1.0270894947088094,1.0571559943935482,1.0421826070516509,0.8993504793311932,0.9094415869476171,0.055692762074223176,0.023314958329290286
E02003134,-0.2688283275128151,-0.305578803700149,1.0,0.8301079262737402,0.5792091129549202,0.6551010005283313,0.4618595659132023,0.5230247674718937,-0.6822357999574227,-0.6556641747134575
E02003135,-0.366381910206499,-0.32764773069999703,1.0,0.8887665568715397,0.9912894153630264,0.7818596689460107,0.6072386214198792,0.6235747915213381,-0.40346578344455053,-0.5191386948459699
E02003136,0.30756286527572496,0.16620121355351997,1.0,1.0852035881981918,1.1467236416379891,1.2750873031589842,1.031147743056858,1.0686127606722295,0.27945490070127266,0.32494673899823495
E02003137,0.36932919080299836,0.39915588693217663,1.0,1.2360473754292522,1.6787483209269383,1.7434786903240829,2.127329993849813,1.7468788587119235,1.2891139562294955,1.1588151184814957
E02003138,0.21752354540857183,0.2002357558265823,1.0,1.2662849533954723,1.6064202648453372,1.6153241755112726,1.9840463860689617,1.7563174995740385,1.084442441927048,0.9987375099582956
E02003139,0.09623505509367253,0.08557429049977824,1.0,1.219492606349429,1.5163659884512783,1.2750317397368438,1.1469177587343349,1.1075504610591185,0.4593023447634069,0.3378044635041145
E02003140,0.29154490655687026,0.13009484090426163,1.0,1.0807036232391898,1.2425286002458424,1.2927314075947345,1.189022989352713,1.2100128492859696,0.42362038766136767,0.4029852323522464
E02003141,-0.3160442405029224,-0.23802264643554688,1.0,1.0243478870278226,1.0353594478715904,1.0457869857318822,1.030773560463759,1.0879096346974688,-0.09349884650245129,-0.008625798773321008
E02003142,-0.20424374398814696,-0.23060965055856586,1.0,0.8869255028383208,0.7627263793220693,0.8363799020037956,0.6152820200771689,0.7743512575005455,-0.4502964704662945,-0.34763867598089315
E02003143,0.13570792333459453,0.037616889431615896,1.0,1.036567383839092,1.20706731660746,1.1772620954918909,0.9497964991110086,0.990271541879966,0.17942568766622893,0.14638386507329246
E02003144,-0.012170353254529172,0.013933971381356795,1.0,0.8426455953465554,0.9558295287326228,0.6850947081164473,1.6859652423838245,1.2401436835868558,0.41251485388618003,-0.03802597041856276
E02003145,0.07619724047974506,-0.014238670172982673,1.0,1.0213035251243956,1.1910686824579275,1.1552264452706815,1.4624914345574689,1.2750405813839896,0.45503889575609846,0.27929418382408633
E02003146,0.06258952214068528,-0.014238670172982673,1.0,0.9583341509566192,1.0665025845517797,0.956918835589426,1.4759518742295772,1.3297202732130993,0.3846455519341392,0.18477551677067228
E02003147,-0.6158098386991584,-0.18073414804470164,1.0,0.8337157474244867,0.5101011602640451,0.6066970302955268,0.5318937657099831,0.6125339014811761,-0.8508166437540744,-0.5662157157842309
E02003148,-0.10560725548107262,-0.13196985027189423,1.0,0.8549975471301422,0.6620231485539102,0.613044107615022,1.1022947201943578,0.957605624540973,-0.16110958438030604,-0.3223234916801014
E02003149,-0.26997323391293865,-0.2232710147890473,1.0,0.8437010302053403,0.8374802151096893,0.773711234420685,1.1348175672307732,1.028132539134057,-0.12117263253713757,-0.23392208757550886
E02003150,-0.08851589677561919,-0.010649836375460426,1.0,0.9407281519377672,0.9145599939220276,1.0003646584052241,1.2165211251856494,1.2635378396578256,0.06315895893372132,0.16727390655418165
E02003151,0.5246349006032991,0.3232106888401361,1.0,1.1329616651482235,1.2851674521732086,1.4070278413892665,1.3033526140608265,1.2087050921384397,0.6336055892983248,0.5749285082898811
E02003152,0.29866956585027354,0.22268492037694043,1.0,1.0829840913869226,1.2071063857935558,1.291863681110401,1.2174892659352372,1.2413916614389298,0.4241441756755404,0.4680047131086784
E02003153,0.13570792333459453,0.13862183300616548,1.0,1.0895893195038195,1.3021200640303792,1.2648563937173485,0.9870891734437286,1.1206512991992372,0.2571619062545346,0.33824319944335435
E02003154,-0.019063305383632875,-0.03202025292312621,1.0,0.8086393453270118,0.7239681968529146,0.7558676208055018,0.6297167826072329,0.7344840179285779,-0.3722347965324199,-0.3371845372920125
E02003155,-0.031662406461583976,-0.06566727031899049,1.0,0.8623036955251022,1.098878769041256,1.0056400459928572,1.1757984943162965,1.0926676227749568,0.1727259182281332,0.021487829812731292
E02003156,0.029615496817943596,0.07233418846452762,1.0,1.0063421445736185,1.3144112101340293,1.1947039883355381,1.1909492669668569,1.1356014272933042,0.33675191037964597,0.25620751797282026
E02003157,-0.2543067712772958,-0.2639287464324245,1.0,0.870689095278301,0.8520471597232312,0.8530080172480495,0.8460744981223783,0.8775316862171723,-0.2820144565756678,-0.2947625299664843
E02003158,0.006032544838156679,-0.21108220509056558,1.0,0.8804890563096707,0.9025727427936138,0.9638739734702167,0.8342497842117105,0.9251854538303342,-0.13133165086059162,-0.17329923591022667
E02003159,-0.2327733780621605,-0.16182731602632255,1.0,0.8208651035916088,0.9956743637019776,0.8588499325333087,0.9072028679830446,0.8672052197338082,-0.15097369651309314,-0.257943281950434
E02003161,-0.38780908610462805,-0.27343082033212707,1.0,0.8560167565110086,0.8182744352509121,0.7461284803866017,0.8951298454846774,0.8421442922781552,-0.33747036668082353,-0.3860157189434408
