MSOA11CD,chg_ratio_la_no_children,chg_ratio_la_dependent_children,chg_ratio_la_nondependent_children,chg_ratio_la_retired,chg_ratio_la_owned,chg_ratio_la_rented,chg_ratio_la_migrants,asc_cluster_yeoJohnson_minmax_labels,asc_cluster_yeoJohnson_minmax_cat
E02003123,-0.11557279001688114,0.021733314495386846,0.047255111924558335,0.05632260013240953,0.06451345186855639,-0.14076802141070233,1.0391504072318547,1,GEN
E02003142,0.06674183449093629,0.038699532643799106,0.14561500861805188,0.04872787885321361,0.01795414328457068,-0.029154035382233046,0.9757273028651805,1,GEN
E02003147,0.016466226867974165,0.25028541579113595,0.09731581819355606,0.01805482674884007,0.036627483725989174,-0.3894117874961136,1.8860070685597474,1,GEN
E02003150,0.10513150785409764,0.07434904549330146,-0.08659172758138323,-0.06530507929856988,-0.027541450747171015,-0.1778324294324123,3.738748192948276,1,GEN
E02003170,0.03610841384920871,-0.015639171134376184,-0.03857920901872858,0.10802243754208085,0.04306603709210832,-0.07455078120694458,1.310716243885861,1,GEN
E02003905,0.07009166558969304,0.0008337870014876181,0.10280667037401425,0.07932223205028599,0.008216116376969174,0.0629326082332834,1.4609311188585923,1,GEN
E02003906,-0.04094697430870886,0.08841274457592674,0.03726909030358705,0.0009643151006755168,0.02494366959515415,-0.047532395436341024,1.1222285591486747,1,GEN
E02003907,-0.05371467830660248,0.2125754051049248,0.049674023616074314,0.03957152692439081,-0.025687915921577487,0.09845604383618978,1.2900800484969448,1,GEN
E02003917,-0.056316881263382634,-0.013163801199766123,0.006707485614904751,-0.03994656171034561,-0.005763298660722116,0.10561008628144597,1.6444497676548377,1,GEN
E02003944,-0.026894308228886055,0.026415184953547666,-0.07453693413765428,0.022368332399419932,0.01132273880213519,-0.07862718528097745,1.1060827143299625,1,GEN
E02003950,0.17259510577268455,-0.12274145130678438,0.10283453545505272,0.15615225212521533,0.0192173937333866,-0.05545187565588461,1.7458487678809784,1,GEN
E02004145,-0.013754188197210415,0.16592164056706837,-0.06710764792374402,-0.04485431214865532,0.021390332503245624,-0.07225629801415068,0.49850934995308616,1,GEN
E02004159,-0.08861966107118802,0.25980919921967927,-0.02763181560429806,0.08381773545658833,-0.044269443923678375,0.25052069041089425,0.3699630062884387,1,GEN
E02004167,0.04170957522415808,0.017205502968429487,-0.017338510628158277,-0.056285637546120926,-0.014101151563801206,-0.13183858139452664,1.2122265642819268,1,GEN
E02004179,-0.012269901853202425,0.15879459751597236,0.06127075158992856,-0.08104207060218327,-0.003569098333700449,0.1691853101965024,1.4197987035643518,1,GEN
E02004195,-0.029933403709170525,0.04239445161320177,0.018889842198205886,-0.017919713463274922,-0.014533153560663759,-0.05853159124283591,0.9424021073464139,1,GEN
E02004200,0.043868192051142785,0.023999254416515625,-0.07963061247791992,-0.08155902934226877,-0.016758780664204442,0.08522547940038083,0.6464675129038422,1,GEN
E02004220,-0.028309330106722985,0.02865656438722919,0.013037535609950801,0.026090634044841465,-0.0029978923205513652,-0.010979030449382643,0.8704896251179528,1,GEN
E02000222,0.17335226744941545,0.06652238053404802,-0.09549602973047056,0.07571528547553608,0.029223943862764834,-0.04801458368145395,1.7492736532257416,1,GEN
E02000233,-0.021202226012148495,0.02320500013188176,-0.046708922375074846,0.07823745340966903,0.0933723706418399,-0.009641799061359091,0.8407095628421919,1,GEN
E02000008,0.029188809151125983,0.024675020887251375,-0.01801371683601105,-0.05967289491240124,0.030367576683312802,-0.047625513516860396,0.6290249560103278,1,GEN
E02000010,0.002646144103973569,0.02480102246178606,-0.09186680033029826,-0.07732055942080374,-0.0008947994824214378,-0.030144311942979174,0.6064510469648572,1,GEN
E02000011,0.04655231170076424,-0.039693855477250795,-0.14635144740557204,0.17580981207948065,0.011423766261242863,0.15237284946203894,0.7999652278279716,1,GEN
E02000013,0.008880763573465789,0.03421988925690411,-0.12091569341951325,0.02775446303682161,0.05187300828874697,-0.09408545262495216,0.42513608091236565,1,GEN
E02000014,-0.024838827427910104,-0.03827188924720093,0.009805324276321192,0.0825627372532658,-0.002028442911966022,-0.024762782122479843,0.5630951588669075,1,GEN
E02000024,0.0639062464899327,0.027694216246770376,-0.055705273113305864,0.11496845739488526,0.04640504816075075,0.09404258211445471,0.522561277207356,1,GEN
E02000026,-0.14457218250813297,0.04229028122967582,0.04112274429379825,0.09691576019186954,0.08228934203782656,0.07813792926748486,0.7624133922802836,1,GEN
E02000028,0.045072196316557456,0.12451846751644247,0.020781051046643295,0.042690949686137625,0.025200108418495404,0.1253667093866625,0.8504200167061875,1,GEN
E02000031,-0.05744194590611862,0.03880697891582097,-0.03050233706394878,-0.037685188762105915,0.06824217339363225,0.14093616549608923,0.7929494421962755,1,GEN
E02000039,-0.09667498612577541,0.17192224496944375,-0.1157351683240585,0.0013747772496652821,0.028760719191080142,0.10446541626264194,0.47191171222013084,1,GEN
E02000120,0.40595048489377694,0.07976119430349105,-0.14022607154919386,0.16824149824234258,0.061148866205986696,-0.17939489224268534,1.9857622668469315,1,GEN
E02000124,0.14988642223136805,0.10990826977330415,-0.05437766065496563,-0.0932035428966953,0.013802996897972153,-0.033157402845584105,1.6037010812473218,1,GEN
E02000125,0.03715083581672163,0.1006913217485409,-0.22828957301317543,-0.03182336739466529,0.02917996431977654,0.027363367352840173,1.1598902468412482,1,GEN
