LAD11CD,residential_sale_2001_la,residential__sale_2011_la,newlybuilt_sale_2001_la,newlybuilt_sale_2011_la,newlybuilt_sale_2001_la_pct,newlybuilt_sale_2011_la_pct
E07000068,1599,1044,53,113,0.033145716,0.108237548
E07000069,2058,981,36,29,0.017492711,0.029561672
E07000070,4075,2260,499,83,0.122453988,0.036725664
E07000071,4303,2712,457,447,0.106204973,0.164823009
E07000072,3044,1694,308,146,0.101182654,0.086186541
E07000073,1860,879,118,50,0.06344086,0.056882821
E07000074,1587,798,166,33,0.104599874,0.041353383
E07000075,1946,1091,157,20,0.080678314,0.018331806
E07000076,4501,2075,352,114,0.078204843,0.054939759
E07000077,1667,1315,176,295,0.105578884,0.224334601
E07000078,3208,1686,285,44,0.088840399,0.026097272
E07000079,1839,1263,144,116,0.078303426,0.091844814
E07000080,1583,837,57,109,0.036007581,0.130227001
E07000081,3111,1660,175,279,0.056252009,0.168072289
E07000082,2435,1529,225,165,0.092402464,0.107913669
E07000083,1939,1114,305,112,0.157297576,0.1005386
E07000084,4136,2312,512,393,0.123791103,0.169982699
E07000085,2594,1606,126,151,0.048573631,0.094022416
E07000086,3062,1763,126,124,0.041149575,0.070334657
E07000087,2847,1607,206,135,0.072356867,0.084007467
E07000088,2488,1041,443,43,0.178054662,0.041306436
E07000089,2308,1306,312,92,0.135181976,0.070444104
E07000090,2479,1371,59,46,0.023799919,0.033552152
E07000091,4637,2545,385,109,0.08302782,0.042829077
E07000092,2186,1205,104,135,0.04757548,0.112033195
E07000093,2651,1500,328,206,0.123726896,0.137333333
E07000094,2440,1731,245,190,0.100409836,0.109763143
E07000095,2344,1222,182,131,0.077645051,0.107201309
E07000096,3283,2058,210,229,0.063965885,0.111273081
E07000098,2189,1222,135,112,0.061671996,0.091653028
E07000099,3166,1833,584,186,0.184459886,0.101472995
E07000102,2109,1242,361,98,0.171171171,0.078904992
E07000103,2298,1344,85,226,0.036988686,0.168154762
E07000105,3034,1731,735,309,0.24225445,0.178509532
E07000106,3190,2157,421,151,0.131974922,0.070004636
E07000107,2099,1348,134,264,0.063839924,0.195845697
E07000108,2312,1469,159,39,0.068771626,0.026548673
E07000109,1810,1030,42,59,0.02320442,0.057281553
E07000110,3130,2104,399,268,0.127476038,0.127376426
E07000111,2281,1495,112,105,0.049101271,0.070234114
E07000112,2648,1494,295,101,0.111404834,0.067603748
E07000113,3330,1683,488,172,0.146546547,0.102198455
E07000114,3307,1953,263,83,0.079528273,0.04249872
E07000115,2541,1673,297,168,0.116883117,0.10041841
E07000116,2536,1732,105,135,0.041403785,0.077944573
E07000117,2287,946,110,36,0.048097945,0.038054968
E07000118,2556,1552,360,444,0.14084507,0.286082474
E07000119,2246,1018,185,73,0.082368655,0.071709234
E07000120,2021,888,154,30,0.076199901,0.033783784
E07000121,3706,1832,253,66,0.068267674,0.036026201
E07000122,2234,1013,234,20,0.104744852,0.019743337
E07000123,3028,1345,188,73,0.062087186,0.054275093
E07000124,1392,604,165,27,0.118534483,0.044701987
E07000125,1456,700,115,58,0.078983516,0.082857143
E07000126,2563,1216,331,92,0.129145533,0.075657895
E07000127,2097,909,301,43,0.143538388,0.04730473
E07000128,3110,1304,344,59,0.110610932,0.045245399
E07000129,2323,1202,244,164,0.105036591,0.136439268
E07000130,3400,2159,269,327,0.079117647,0.151459009
E07000131,2372,1135,511,130,0.215430017,0.114537445
