LAD11NM,all_households_2011_la,no_children_2011_la,dependent_children_2011_la,nondependent_children_2011_la,no_children_2011_la_pct,dependent_children_2011_la_pct,nondependent_children_2011_la_pct
Darlington,46670,8613,12640,4240,0.184551103,0.270837797,0.090850654
County Durham,223803,42321,57384,23648,0.189099342,0.25640407,0.105664357
Hartlepool,40434,6733,11306,4143,0.166518277,0.279616165,0.102463273
Middlesbrough,57203,8392,16088,6467,0.146705592,0.281243991,0.113053511
Northumberland,138534,29136,34501,13933,0.210316601,0.249043556,0.100574588
Redcar and Cleveland,59605,10551,15771,6479,0.177015351,0.264591897,0.108698935
Stockton-on-Tees,79159,14690,23098,8622,0.185575866,0.291792468,0.108920022
Gateshead,89154,15752,22345,9647,0.176683043,0.250633735,0.108206026
Newcastle upon Tyne,117153,17278,28087,10272,0.147482352,0.239746315,0.087680213
North Tyneside,91295,16621,23495,8942,0.182058163,0.257352538,0.097946218
South Tyneside,67167,10281,17252,7999,0.153066238,0.256852323,0.11909122
Sunderland,119758,19753,31047,15052,0.164940964,0.259247816,0.125686802
Blackburn with Darwen,57353,8573,17777,5743,0.149477795,0.309957631,0.100134256
Blackpool,64367,9469,15216,5890,0.147109544,0.236394426,0.091506517
Cheshire East,159441,31366,42040,15428,0.196724807,0.263671201,0.096763066
Cheshire West and Chester,141442,27051,36688,14749,0.191251538,0.259385472,0.104275958
Halton,53312,9152,15484,6576,0.171668667,0.290441176,0.12334934
Warrington,85140,16097,24788,8680,0.189065069,0.291143998,0.10194973
Allerdale,42345,8393,10318,4344,0.198205219,0.243665132,0.102585902
Barrow-in-Furness,31224,5473,7955,3088,0.175281834,0.25477197,0.098898283
Carlisle,48342,9070,11594,4699,0.18762153,0.239832858,0.09720326
Copeland,30536,6049,7557,3326,0.198094053,0.247478386,0.108920618
Eden,23043,4962,5242,2132,0.215336545,0.22748774,0.092522675
South Lakeland,46552,10072,9722,3719,0.216360199,0.208841725,0.079889156
Bolton,116371,18865,32956,11880,0.162110835,0.283197704,0.10208729
Bury,78113,13451,22172,8177,0.17219925,0.283845199,0.104681679
Manchester,204969,26973,50788,16267,0.13159551,0.247783811,0.079363221
Oldham,89703,13840,26958,9603,0.154286925,0.300525066,0.107053276
Rochdale,87552,13762,25336,8916,0.157186586,0.28938231,0.101836623
Salford,103556,15971,26453,9504,0.154225733,0.255446329,0.09177643
Stockport,121979,20450,33180,13031,0.167651809,0.272014035,0.106829864
Tameside,94953,15759,26186,10378,0.16596632,0.275778543,0.109296178
Trafford,94484,15619,27448,9763,0.165308412,0.290504212,0.103329664
Wigan,136386,24478,38580,16057,0.179475899,0.282873609,0.117732025
Burnley,37550,6167,9998,3917,0.164234354,0.266258322,0.104314248
Chorley,44919,9271,12460,4627,0.206393731,0.277388188,0.103007636
Fylde,34885,6401,7657,2992,0.183488605,0.219492619,0.085767522
Hyndburn,34341,5695,9661,3317,0.165836755,0.281325529,0.096590082
Lancaster,57822,10755,13959,4742,0.186001868,0.241413303,0.082010307
Pendle,37348,6589,9870,3445,0.176421763,0.264271179,0.092240548
Preston,57567,8660,15141,5330,0.150433408,0.263015269,0.092587767
Ribble Valley,24045,4715,6435,2374,0.196090663,0.267623206,0.098731545
Rossendale,29058,5607,8020,2843,0.19295891,0.275999725,0.097838805
South Ribble,46102,9082,12708,5241,0.196997961,0.275649646,0.113682704
West Lancashire,45381,8085,12343,5438,0.17815826,0.271986073,0.119829885
Wyre,47281,8786,10835,4798,0.185825173,0.22916182,0.101478395
Knowsley,61323,7762,17722,8797,0.126575673,0.288994341,0.143453517
Liverpool,206515,24126,48670,23485,0.116824444,0.235672954,0.113720553
Sefton,117930,17495,29528,14969,0.148350717,0.250385822,0.12693123
St. Helens,75736,12931,20576,9404,0.170737826,0.271680575,0.124168163
Wirral,140583,20970,36642,16121,0.14916455,0.260643179,0.114672471
East Riding of Yorkshire,143032,31457,35560,13589,0.219929806,0.248615694,0.095006712
"Kingston upon Hull, City of",112596,17982,29447,10779,0.159703719,0.261527941,0.095731642
North East Lincolnshire,69707,12603,18464,6750,0.180799633,0.264880141,0.09683389
North Lincolnshire,70684,14605,18585,6839,0.206623847,0.262930791,0.09675457
York,83552,16962,19856,6682,0.203011298,0.237648411,0.079974148
Craven,24583,5251,5719,2163,0.213602896,0.232640443,0.087987634
Hambleton,38117,8124,9513,3501,0.213133248,0.249573681,0.091848781
Harrogate,67169,13893,17814,5634,0.206836487,0.26521163,0.083877979
Richmondshire,20207,4680,5526,1744,0.23160291,0.27346959,0.086306725
Ryedale,22524,5088,5070,2050,0.225892381,0.225093234,0.091014029
Scarborough,49435,9548,10531,4247,0.19314251,0.213027207,0.085910792
Selby,34559,8127,9506,3499,0.235163054,0.275065829,0.101247143
Barnsley,100734,19933,27483,10531,0.197877579,0.272827447,0.104542657
Doncaster,126487,23747,34161,13390,0.187742614,0.270075186,0.105860681
Rotherham,108293,20812,29659,11667,0.19218232,0.273877351,0.107735495
Sheffield,229928,39349,58484,19823,0.171136182,0.254357886,0.086213945
Bradford,199296,31427,58856,18424,0.157690069,0.295319525,0.092445408
Calderdale,88621,16599,23952,7638,0.187303235,0.27027454,0.086187247
Kirklees,173525,31676,48451,16169,0.182544302,0.279216251,0.093179657
Leeds,320596,55988,81145,27068,0.174637238,0.253106714,0.084430249
Wakefield,140414,27823,37775,14593,0.198149757,0.269025881,0.103928383
Derby,102271,16753,28453,9299,0.163809878,0.27821181,0.090925091
Leicester,123125,15841,34472,12652,0.128657868,0.279975635,0.10275736
Nottingham,126131,17277,30586,9926,0.136976635,0.242493915,0.078695959
Rutland,15002,3345,3777,1253,0.222970271,0.251766431,0.083522197
Amber Valley,52596,11473,13585,5376,0.218134459,0.258289604,0.102213096
Bolsover,32801,6718,8717,3353,0.204810829,0.265754093,0.102222493
Chesterfield,46796,9073,11806,4324,0.193884093,0.25228652,0.09240106
Derbyshire Dales,30744,6768,7277,2876,0.220140515,0.236696591,0.093546708
Erewash,48692,9898,13015,5017,0.203277746,0.267292368,0.103035406
High Peak,38946,7945,10504,3946,0.204000411,0.269706773,0.101319776
North East Derbyshire,43070,8923,10597,4798,0.207174367,0.246041328,0.111400046
South Derbyshire,38992,8724,11398,3736,0.223738203,0.292316373,0.095814526
Blaby,38686,7684,10889,4040,0.198624826,0.281471333,0.104430543
Charnwood,66516,12663,17369,6670,0.190375248,0.261125143,0.100276625
Harborough,34898,7483,9925,3238,0.214424895,0.284400252,0.092784687
Hinckley and Bosworth,45377,9974,11695,4400,0.219802984,0.257729687,0.096965423
Melton,21490,4793,5693,1946,0.223033969,0.264913913,0.090553746
North West Leicestershire,39128,8370,10754,3955,0.21391331,0.274841546,0.101078512
Oadby and Wigston,21339,3487,5701,2671,0.163409719,0.26716341,0.125169877
Boston,27291,5491,6579,2330,0.201201861,0.241068484,0.085376131
East Lindsey,60890,13615,12814,4841,0.223599934,0.210445065,0.079504024
Lincoln,39825,7513,9387,3093,0.188650345,0.235706215,0.077664783
North Kesteven,45972,10566,12028,3778,0.229835552,0.261637518,0.082180458
South Holland,37264,8357,8842,3246,0.224264706,0.237279948,0.087108201
South Kesteven,57344,12710,15398,4914,0.22164481,0.26851981,0.085693359
West Lindsey,38385,8726,9727,3440,0.227328383,0.253406278,0.08961834
Corby,25215,4489,7536,2743,0.178028951,0.29886972,0.108784454
Daventry,31647,7233,8968,2899,0.228552469,0.283375991,0.091604259
East Northamptonshire,35662,8180,10147,3152,0.229375806,0.284532556,0.088385396
Kettering,39701,8133,11270,3460,0.204856301,0.283871943,0.087151457
Northampton,88731,16116,24695,7494,0.181627616,0.278313104,0.084457518
South Northamptonshire,34717,8105,10100,3271,0.233459112,0.290923755,0.094218971
Wellingborough,32057,6231,8935,2875,0.194372524,0.278722276,0.089684
Ashfield,50931,10265,14206,5322,0.201547191,0.278926391,0.104494316
Bassetlaw,47667,10129,12483,4719,0.212495018,0.261879288,0.098999308
Broxtowe,46820,9595,11854,4742,0.204933789,0.253182401,0.101281504
Gedling,49349,9588,12875,5065,0.194289651,0.260896877,0.102636325
Mansfield,44928,8747,12092,4641,0.194689281,0.269141738,0.103298611
Newark and Sherwood,48773,10273,12811,4588,0.210628832,0.262665819,0.09406844
Rushcliffe,45835,9311,12813,3949,0.203141704,0.279546198,0.086156867
"Herefordshire, County of",78319,15636,19093,7393,0.199645041,0.243785033,0.094395996
Shropshire,129674,26319,31978,12861,0.202962814,0.24660302,0.099179481
Stoke-on-Trent,107575,18146,28731,10879,0.168682315,0.267078782,0.101129445
Telford and Wrekin,66608,13014,20068,6890,0.195381936,0.301285131,0.103441028
Cannock Chase,40664,8138,11652,4598,0.200127877,0.28654338,0.113072988
East Staffordshire,47251,9175,12926,4513,0.194175785,0.273560348,0.095511206
Lichfield,41224,8811,10878,4599,0.213734718,0.263875412,0.111561226
Newcastle-under-Lyme,52574,9723,13349,5621,0.184939324,0.253908776,0.106915966
South Staffordshire,44458,8832,11494,5504,0.198659409,0.258536146,0.12380224
Stafford,55703,11405,14156,5195,0.204746603,0.25413353,0.093262481
Staffordshire Moorlands,41772,8707,10237,4675,0.208441061,0.245068467,0.111917074
Tamworth,31617,6289,9352,3572,0.198911978,0.295790239,0.112977196
North Warwickshire,25812,5365,6772,3085,0.207849062,0.262358593,0.119518054
Nuneaton and Bedworth,52711,9710,14751,5678,0.184212024,0.279846711,0.107719451
Rugby,41875,8364,11577,3618,0.199737313,0.276465672,0.0864
Stratford-on-Avon,51928,10761,12830,4770,0.20722924,0.24707287,0.091857957
Warwick,58679,11045,14382,4973,0.188227475,0.245096201,0.084749229
Birmingham,410736,49274,119112,41839,0.119965136,0.289996494,0.101863484
Coventry,128592,17632,35740,12844,0.137115839,0.277933308,0.099881797
Dudley,129867,22353,35476,15469,0.172122248,0.273171783,0.119114171
Sandwell,121498,16521,35452,14261,0.135977547,0.291790811,0.117376418
Solihull,86056,13710,24008,9970,0.159314865,0.278981129,0.115854792
Walsall,107822,16450,30441,12776,0.152566267,0.282326427,0.118491588
Wolverhampton,102177,13357,27946,11825,0.130724136,0.273505779,0.115730546
Bromsgrove,38290,7505,10477,4092,0.196004179,0.273622356,0.106868634
Malvern Hills,32212,6619,7416,2896,0.205482429,0.230224761,0.089904383
Redditch,34722,7126,9948,3597,0.205230113,0.286504234,0.103594263
Worcester,42042,8022,11222,3602,0.190809191,0.266923553,0.085676229
Wychavon,49466,10655,12483,4891,0.215400477,0.252355153,0.098875996
Wyre Forest,42985,8421,10455,4417,0.195905548,0.243224381,0.102756776
Bedford,63812,11030,18204,6161,0.172851501,0.285275497,0.096549238
