LAD11NM,all_households_2011_la,no_children_2011_la,dependent_children_2011_la,nondependent_children_2011_la,no_children_2011_la_pct,dependent_children_2011_la_pct,nondependent_children_2011_la_pct
Central Bedfordshire,104399,21435,30906,10854,0.205318059,0.296037318,0.103966513
Luton,74293,9932,22360,7386,0.133686888,0.300970482,0.099417173
Peterborough,74023,12995,21178,6348,0.175553544,0.286100266,0.08575713
Southend-on-Sea,74678,12354,19461,6946,0.165430247,0.260598838,0.093012668
Thurrock,62353,10650,19622,6903,0.170801726,0.314692156,0.110708386
Cambridge,46714,8191,10093,3070,0.17534358,0.216059425,0.065719056
East Cambridgeshire,34614,7839,9718,3018,0.226469059,0.280753452,0.087190154
Fenland,40620,8442,10051,3602,0.207828656,0.247439685,0.088675529
Huntingdonshire,69333,15353,19527,6363,0.221438565,0.281640777,0.09177448
South Cambridgeshire,59960,13196,17582,5270,0.220080053,0.293228819,0.087891928
Basildon,72746,12461,20835,7914,0.171294642,0.2864075,0.108789487
Braintree,61043,12439,17701,6009,0.203774389,0.289975919,0.098438805
Brentwood,30646,5242,8462,3347,0.171050055,0.276120864,0.109214906
Castle Point,36440,6786,9126,4695,0.18622393,0.250439078,0.128841932
Chelmsford,69667,13670,19315,7265,0.196219157,0.277247477,0.104281798
Colchester,71634,13760,19651,6387,0.192087556,0.274325041,0.089161571
Epping Forest,51991,8871,14159,5951,0.170625685,0.272335597,0.114462118
Harlow,34620,5508,10208,3597,0.159098787,0.294858463,0.10389948
Maldon,25817,5518,6693,2658,0.213735136,0.259247782,0.102955417
Rochford,33564,6535,9117,4083,0.194702658,0.271630318,0.121648194
Tendring,62105,10961,13452,5671,0.176491426,0.216600918,0.091313099
Uttlesford,31316,6570,9464,3037,0.209796909,0.302209733,0.09697918
Broxbourne,37658,5778,11387,4707,0.153433533,0.302379309,0.124993361
Dacorum,59938,10959,17431,5922,0.182838934,0.290817178,0.098802095
East Hertfordshire,56577,11030,16914,5148,0.194955547,0.298955406,0.090991039
Hertsmere,39778,5922,11969,4462,0.148876263,0.300894967,0.112172558
North Hertfordshire,53426,10380,15113,4916,0.194287426,0.282877251,0.092015124
St Albans,56140,10259,17651,5078,0.18273958,0.314410403,0.09045244
Stevenage,34898,5775,10492,3626,0.165482263,0.300647602,0.103902802
Three Rivers,35108,5801,10459,3828,0.165232995,0.297909308,0.109034978
Watford,36681,5736,10686,3443,0.156375235,0.291322483,0.093863308
Welwyn Hatfield,43613,6932,12230,3981,0.158943434,0.280420975,0.091280123
Breckland,54519,11923,13701,4871,0.2186944,0.251306884,0.089344999
Broadland,53336,11870,13307,5065,0.222551372,0.249493775,0.094964002
Great Yarmouth,42079,7700,10687,4166,0.182989139,0.253974667,0.099004254
King's Lynn and West Norfolk,62977,13498,14617,5638,0.214332217,0.232100608,0.089524747
North Norfolk,46046,9868,8848,3781,0.214307432,0.19215567,0.082113539
Norwich,60319,10453,13114,4038,0.173295313,0.217410766,0.066944081
South Norfolk,52809,12036,13410,4656,0.227915696,0.253933989,0.08816679
Babergh,37522,8100,9458,3459,0.215873354,0.252065455,0.092185918
Forest Heath,25376,5517,6657,2052,0.217410151,0.262334489,0.080863808
Ipswich,57298,10244,15572,5137,0.1787846,0.271772139,0.089654089
Mid Suffolk,40306,9388,10716,3654,0.232918176,0.265866124,0.090656478
St Edmundsbury,45802,9537,12274,4093,0.208222348,0.267979564,0.08936291
Suffolk Coastal,53558,11166,13096,4504,0.20848426,0.24451996,0.084095747
Waveney,50883,9862,11948,4515,0.193817188,0.234813199,0.088732976
Camden,97534,14361,18504,6045,0.147240962,0.189718457,0.061978387
City of London,4385,864,397,125,0.197035348,0.090535918,0.028506271
Hackney,101690,12672,24899,7232,0.124614023,0.244852001,0.071118104
Hammersmith and Fulham,80590,11886,16086,5287,0.147487281,0.199602928,0.065603673
Haringey,101955,13748,27254,8529,0.134843804,0.267314011,0.083654553
Islington,93556,14930,18387,6301,0.159583565,0.196534696,0.067350036
Kensington and Chelsea,78536,12155,13206,4708,0.154769787,0.168152185,0.059947031
Lambeth,130017,17885,29543,8959,0.137558935,0.227224132,0.068906374
Lewisham,116091,14740,31653,10063,0.12696936,0.272656795,0.086681999
Newham,101519,8661,29182,9399,0.085314079,0.28745358,0.092583654
Southwark,120422,17194,28393,8632,0.142781219,0.235779177,0.071681254
Tower Hamlets,101257,14909,22328,5809,0.147239203,0.220508212,0.057368873
Wandsworth,130493,23909,27805,8257,0.183220556,0.213076563,0.063275425
Westminster,105772,16301,17599,6172,0.15411451,0.166386189,0.058351927
Barking and Dagenham,69681,7025,24560,7318,0.100816578,0.352463369,0.105021455
Barnet,135916,17760,39401,14437,0.130668943,0.289892286,0.106220018
Bexley,92604,13326,27635,11453,0.143903071,0.298421235,0.123677163
Brent,110286,10632,29106,12897,0.096403895,0.263913824,0.116941407
Bromley,130862,20822,36761,13499,0.159114181,0.280914246,0.103154468
Croydon,145010,18589,44324,15355,0.128191159,0.305661679,0.105889249
Ealing,124082,15068,34183,13080,0.121435825,0.275487178,0.105414162
Enfield,119916,13660,38576,14536,0.113913072,0.321691851,0.121218186
Greenwich,101045,13402,28602,9200,0.132633975,0.283062002,0.091048543
Harrow,84268,10341,24829,11412,0.122715622,0.294643281,0.135425072
Havering,97199,14560,26698,12748,0.14979578,0.274673608,0.131153613
Hillingdon,100214,13919,30753,11858,0.138892769,0.306873291,0.118326781
Hounslow,94902,12664,26947,10375,0.13344292,0.283945544,0.109323302
Kingston upon Thames,63639,10758,17760,5862,0.169047282,0.279074153,0.092113327
Merton,78757,12891,21410,7396,0.163680689,0.271848852,0.093909113
Redbridge,99105,11804,31272,11409,0.119105999,0.31554412,0.115120327
Richmond upon Thames,79835,14872,22038,6144,0.186284211,0.276044341,0.076958727
Sutton,78174,12238,23041,8243,0.156548213,0.294739939,0.105444265
Waltham Forest,96861,11008,27668,9684,0.113647392,0.285646442,0.099978319
Bracknell Forest,45878,9140,13862,4231,0.199224029,0.302149178,0.092222852
Brighton and Hove,121540,20495,27550,7709,0.168627612,0.226674346,0.063427678
Isle of Wight,61085,11564,14063,5078,0.189309978,0.230220185,0.083130065
Medway,106209,18722,31548,11440,0.17627508,0.297036974,0.107712152
Milton Keynes,98584,18983,31279,9038,0.192556601,0.317282723,0.091678163
Portsmouth,85473,13568,22354,6861,0.158740187,0.261532882,0.080270963
Reading,62869,10906,16873,4928,0.173471822,0.268383464,0.078385214
Slough,50766,6150,16325,5041,0.121144073,0.321573494,0.099298743
Southampton,98254,16318,23356,7749,0.166079752,0.237710424,0.078867018
West Berkshire,62340,13387,18063,5886,0.214741739,0.289749759,0.094417709
Windsor and Maidenhead,58349,10864,16254,5448,0.186189995,0.278565185,0.093369209
Wokingham,60332,12451,18748,5939,0.206374727,0.310747199,0.09843864
Aylesbury Vale,69406,14430,20786,6462,0.207907097,0.299484194,0.093104343
Chiltern,36946,6617,11230,3632,0.179099226,0.303957127,0.098305635
South Bucks,26514,4534,7315,2790,0.171003998,0.275891982,0.105227427
Wycombe,67861,12600,19351,6254,0.185673656,0.285156423,0.092158972
Eastbourne,45012,7280,10140,3385,0.161734649,0.22527326,0.075202168
Hastings,41159,6823,9976,3161,0.165771763,0.242377123,0.076799728
Lewes,42181,7704,10352,3889,0.182641474,0.245418553,0.092197909
Rother,40877,7779,8214,3237,0.190302615,0.200944296,0.079188786
Wealden,62676,12511,15842,5855,0.199613887,0.252760227,0.093416938
Basingstoke and Deane,69315,14831,20215,6115,0.213965231,0.291639616,0.088220443
East Hampshire,47258,9909,13023,4444,0.209678785,0.27557239,0.094036988
Eastleigh,52177,10703,14720,5038,0.205128697,0.282116641,0.096555954
Fareham,46579,9763,12298,4725,0.209600893,0.26402456,0.101440563
Gosport,35430,6770,9809,3118,0.191081005,0.276855772,0.088004516
Hart,35510,7428,10950,3479,0.209180513,0.308363841,0.097972402
Havant,51311,9371,13193,5278,0.182631405,0.257118357,0.102862934
New Forest,76839,15272,17662,6983,0.198753237,0.229857234,0.09087833
Rushmoor,36344,6853,11252,3445,0.188559322,0.309597182,0.094788686
Test Valley,47626,10505,13116,4442,0.220572796,0.275395792,0.093268383
Winchester,46865,9777,12488,3624,0.208620506,0.266467513,0.077328497
Ashford,47787,9460,14267,4447,0.197961789,0.298554,0.093058782
Canterbury,60771,10904,14528,4898,0.179427688,0.239061394,0.080597653
Dartford,40081,6948,11971,4094,0.173348968,0.298670193,0.10214316
Dover,48310,9169,11747,4613,0.189795073,0.243158766,0.095487477
Gravesham,40431,6467,11704,4457,0.159951522,0.289480844,0.110237194
Maidstone,63447,12805,18023,6122,0.201821993,0.284063864,0.096489984
Sevenoaks,47020,8989,13235,4981,0.191173969,0.281475968,0.105933645
Folkestone and Hythe,47379,8547,11210,4040,0.180396378,0.236602714,0.085269845
Swale,55585,10829,16072,5417,0.194818746,0.289142754,0.097454349
Thanet,59513,9929,14666,4844,0.166837498,0.246433552,0.081393981
Tonbridge and Malling,48140,9409,14888,4857,0.195450769,0.309264645,0.100893228
Tunbridge Wells,47174,8950,13342,4237,0.189723153,0.282825285,0.089816424
Cherwell,56728,11724,16473,5436,0.206670427,0.2903857,0.095825695
Oxford,55375,8220,13136,3889,0.148442438,0.237218962,0.070230248
South Oxfordshire,54104,11071,15273,5193,0.204624427,0.282289664,0.095981813
Vale of White Horse,49407,10138,13621,4613,0.205193596,0.27568968,0.093367337
West Oxfordshire,43241,9348,11803,3927,0.216183715,0.272958535,0.090816586
Elmbridge,52922,9450,16526,4644,0.17856468,0.312270889,0.087751786
Epsom and Ewell,29784,5039,8819,3239,0.169184797,0.296098576,0.108749664
Guildford,53973,10633,14626,4689,0.19700591,0.270987346,0.086876772
Mole Valley,35828,6762,9477,3279,0.188735068,0.264513788,0.091520598
Reigate and Banstead,55423,10712,16097,5358,0.193277159,0.290438987,0.096674666
Runnymede,32714,5886,8400,3033,0.179922969,0.256770801,0.0927126
Spelthorne,39512,6638,10661,4433,0.167999595,0.269816765,0.112193764
Surrey Heath,33546,6625,9923,3558,0.197490014,0.295802778,0.106063316
Tandridge,33342,6421,9413,3340,0.192579929,0.282316598,0.100173955
Waverley,49280,9702,13630,4252,0.196875,0.276582792,0.086282468
Woking,39467,7420,11474,3739,0.188005169,0.290723896,0.094737376
Adur,26957,4882,6441,2613,0.181103238,0.238936083,0.096932151
Arun,66706,12209,14193,5452,0.183027014,0.212769466,0.081731778
Chichester,49848,9500,10992,4038,0.190579361,0.220510351,0.081006259
Crawley,42727,6977,12568,4217,0.163292532,0.294146558,0.098696375
Horsham,54923,11290,14608,4876,0.205560512,0.265972361,0.088778836
Mid Sussex,57409,11078,16052,5660,0.19296626,0.279607727,0.098590813
Worthing,47044,8024,11202,3652,0.170563728,0.238117507,0.077629453
Bath and North East Somerset,73515,13367,17969,6299,0.181826838,0.244426308,0.085683194
Bournemouth,82374,13766,17091,5685,0.167115838,0.207480516,0.069014495
"Bristol, City of",182747,31399,44462,13655,0.171816774,0.243298112,0.074720789
Cornwall,230389,46890,54107,20575,0.203525342,0.234850622,0.089305479
Isles of Scilly,989,236,179,59,0.238624874,0.1809909,0.059656218
North Somerset,88227,17363,22488,7293,0.196799166,0.254887959,0.08266177
Plymouth,109307,20318,27412,9829,0.185880136,0.250779913,0.089921048
Poole,63530,11973,15250,5859,0.188462144,0.240044074,0.092224146
South Gloucestershire,107538,20815,30951,10629,0.193559486,0.28781454,0.09883948
Swindon,88360,17323,24987,7514,0.196050249,0.282786329,0.085038479
Torbay,59010,10580,13192,4850,0.179291645,0.22355533,0.082189459
Wiltshire,194194,41313,54466,16903,0.212740867,0.280472105,0.087041824
East Devon,59071,11663,12392,4706,0.197440368,0.209781449,0.079666842
Exeter,49242,8732,11208,3848,0.177328297,0.227610576,0.078144673
Mid Devon,32758,6948,8375,2956,0.212100861,0.255662739,0.090237499
North Devon,40001,7979,9581,3558,0.199470013,0.239519012,0.088947776
South Hams,36858,8010,8271,3023,0.217320527,0.224401758,0.082017472
Teignbridge,54003,11099,12617,4707,0.205525619,0.233635168,0.087161824
Torridge,27986,6032,6204,2419,0.21553634,0.22168227,0.086436075
West Devon,22725,5114,5190,1980,0.225038504,0.228382838,0.087128713
Christchurch,21475,3666,4383,1893,0.170710128,0.204097788,0.08814901
East Dorset,37564,7558,8342,3621,0.20120328,0.222074326,0.096395485
North Dorset,28670,6346,6827,2398,0.221346355,0.238123474,0.083641437
Purbeck,19583,4007,4373,1915,0.204616249,0.223305929,0.097788899
West Dorset,44386,9040,9351,3627,0.203667823,0.210674537,0.081714955
Weymouth and Portland,28535,5512,6625,2506,0.193166287,0.232171018,0.087821973
Cheltenham,50929,9707,11527,3588,0.190598677,0.226334701,0.07045102
Cotswold,36236,7866,8424,2948,0.21707694,0.232475991,0.081355558
Forest of Dean,34167,7486,8343,3488,0.219100301,0.244182984,0.102086809
Gloucester,50363,9421,14244,4616,0.18706193,0.282826678,0.091654588
Stroud,47794,10096,12288,4354,0.211239905,0.257103402,0.091099301
Tewkesbury,35126,7615,8881,3168,0.216790981,0.25283266,0.090189603
Mendip,46157,9280,11815,4111,0.201052928,0.255974175,0.089065581
Sedgemoor,48801,10181,12359,4363,0.208622774,0.253253007,0.089403906
South Somerset,69501,14683,16842,5866,0.211263147,0.242327449,0.084401663
Taunton Deane,46907,9137,12001,3906,0.19478969,0.255846675,0.083271154
West Somerset,15623,3235,2809,1200,0.207066505,0.179799014,0.076809832
Isle of Anglesey,30594,5368,7123,3208,0.17545924,0.232823429,0.104857162
Gwynedd,52473,8542,12030,4887,0.162788482,0.229260763,0.093133612
Conwy,51177,8884,11462,4735,0.173593607,0.223967798,0.092522031
Denbighshire,40546,7154,10171,4139,0.176441573,0.250850885,0.102081586
Flintshire,63781,12135,17550,7310,0.190260422,0.275160314,0.114610934
Wrexham,57029,10327,15802,6153,0.181083308,0.277087096,0.107892476
Powys,58345,11415,13666,5421,0.195646585,0.23422744,0.092912846
Ceredigion,31562,5648,6552,2745,0.178949369,0.207591407,0.086971675
Pembrokeshire,53122,9702,13310,5059,0.182636196,0.250555325,0.095233613
Carmarthenshire,78829,14157,20033,8455,0.179591267,0.254132362,0.107257481
Swansea,103497,16137,25709,10607,0.155917563,0.248403335,0.102486062
Neath Port Talbot,60393,10164,15658,7777,0.16829765,0.259268458,0.128773202
Bridgend,58515,10532,15902,6990,0.179988037,0.271759378,0.11945655
Vale of Glamorgan,53505,9445,14719,5548,0.176525558,0.275095785,0.103691244
Cardiff,142557,22760,35825,12458,0.159655436,0.251302988,0.087389606
Rhondda Cynon Taff,99663,16399,27849,11966,0.164544515,0.279431685,0.120064618
Merthyr Tydfil,24264,3832,6882,3457,0.157929443,0.283630069,0.142474448
Caerphilly,74479,13172,21840,9323,0.176855221,0.29323702,0.125176224
Blaenau Gwent,30416,4724,8242,3995,0.155312993,0.270975802,0.131345345
Torfaen,38524,6665,10707,4562,0.173009033,0.277930641,0.118419686
Monmouthshire,38233,7636,9900,3863,0.199722753,0.258938613,0.10103837
Newport,61172,9536,17333,6279,0.155888315,0.283348591,0.102645001
,,,,,,,
,,,,,,,
,,,,,,,
,"In order to protect against disclosure of personal information, records",,,,,,
,have been swapped between different geographic areas. Some counts will,,,,,,
,"be affected, particularly small counts at the lowest geographies",,,,,,
