LAD11NM,all_households_2001_la,no_children_2001_la,dependent_children_2001_la,nondependent_children_2001_la,no_children_2001_la_pct,dependent_children_2001_la_pct,nondependent_children_2001_la_pct
Cardiff,123580,18771,37246,10860,0.15189351,0.301391811,0.087878297
Rhondda Cynon Taff,94553,15152,27793,11097,0.160248749,0.293940964,0.117362749
Merthyr Tydfil,23145,3350,6975,2706,0.144739685,0.301360985,0.1169151
Caerphilly,69342,12098,21342,7996,0.174468576,0.307778835,0.115312509
Blaenau Gwent,29586,4557,8568,3451,0.154025553,0.289596431,0.116643007
Torfaen,37577,6623,11332,3935,0.17625143,0.301567448,0.104718312
Monmouthshire,35194,7043,10230,3179,0.200119339,0.290674547,0.090327897
Newport,56535,9670,17615,5250,0.171044486,0.311576899,0.092862828
,,,,,,,
,,,,,,,
,,,,,,,
,Cells in this dataset have been randomly adjusted to avoid the release,,,,,,
,of confidential data.,,,,,,
