MSOA11CD,tenure_all_2011,owned_2011,rented_2011,owned_2011_pct,rented_2011_pct
E02002559,3646,2827,758,0.775370269,0.207899067
E02002560,2511,2107,384,0.839107925,0.152927121
E02002561,2507,1985,501,0.791783008,0.199840447
E02002562,2933,1448,1458,0.493692465,0.497101943
E02002563,2343,1546,760,0.659837815,0.324370465
E02002564,4137,2484,1588,0.600435098,0.383853034
E02002565,2667,1722,907,0.645669291,0.34008249
E02002566,3475,1278,2143,0.367769784,0.616690647
E02002567,3209,1761,1412,0.548769087,0.440012465
E02002568,2634,1970,631,0.747911921,0.239559605
E02002569,3912,3475,367,0.888292434,0.093813906
E02002570,3723,1944,1729,0.522159549,0.464410422
E02002571,2758,1625,1094,0.589195069,0.396664249
E02002572,2727,1361,1329,0.499083242,0.487348735
E02002573,3488,2756,680,0.790137615,0.194954128
E02004290,2518,2135,367,0.847895155,0.145750596
E02004291,3131,1946,1148,0.621526669,0.36665602
E02004292,3523,2800,668,0.794777179,0.189611127
E02004293,4412,2221,2121,0.503399819,0.480734361
E02004294,3655,3208,411,0.877701778,0.1124487
E02004295,3213,2297,878,0.714908185,0.273264862
E02004296,3529,2352,1132,0.666477756,0.320770757
E02004297,3550,2747,754,0.773802817,0.212394366
E02004298,4178,3276,860,0.784107228,0.205840115
E02004299,3758,2546,1179,0.677488026,0.313730708
E02004300,3491,2016,1447,0.577484961,0.414494414
E02004301,3913,1985,1886,0.507283414,0.481983133
E02004302,3530,2290,1198,0.648725212,0.339376771
E02004303,5253,3693,1480,0.703026842,0.281743765
E02004304,3896,2727,1127,0.699948665,0.289271047
E02004305,3816,2336,1431,0.612159329,0.375
E02004306,2681,2085,553,0.77769489,0.206266319
E02004307,2878,2030,795,0.705350938,0.276233495
E02004308,2987,2582,368,0.864412454,0.123200536
E02004309,2769,1756,991,0.634163958,0.357890935
E02004310,3526,2253,1237,0.638967669,0.350822462
E02004311,4118,2780,1288,0.675084993,0.312773191
E02004312,3409,2901,477,0.850982693,0.139923731
E02004313,2957,1118,1812,0.378085898,0.612783226
