MSOA11CD,residents_all_2011,migrants_2011,migrants_2011_pct
E02002536,9595,687,0.071599792
E02002537,9013,552,0.061244869
E02002538,5989,376,0.062781767
E02002539,8793,496,0.056408507
E02002540,6286,321,0.051065861
E02002541,6301,505,0.080146009
E02002542,8341,525,0.062942093
E02002543,8255,722,0.087462144
E02002544,8594,1057,0.122992786
E02002545,5395,299,0.055421687
E02002546,7739,742,0.09587802
E02002547,6343,342,0.053917705
E02002548,11233,1608,0.143149648
E02002549,7844,373,0.047552269
E02002550,6398,517,0.080806502
E02002551,6531,1292,0.197825754
E02002552,6814,549,0.080569416
E02002553,5891,502,0.085214734
E02002554,5505,320,0.058128974
E02002555,9928,633,0.063759065
E02002556,7160,420,0.058659218
E02002557,13885,1045,0.075261073
E02002558,9745,848,0.087018984
E02001682,7853,524,0.066726092
E02001683,9134,560,0.061309393
E02001684,6867,728,0.106014271
E02001685,8256,615,0.074491279
E02001686,7099,455,0.064093534
E02001688,7726,839,0.108594357
E02001689,8243,1005,0.12192163
E02001690,7579,552,0.072832828
E02001691,8327,1092,0.131139666
E02001692,6414,486,0.075771749
E02001693,5613,460,0.08195261
E02001694,6565,330,0.050266565
E02001695,6345,324,0.05106383
E02001696,9399,489,0.052026811
E02001697,7823,536,0.068515915
E02001698,7272,363,0.049917492
E02001699,6980,432,0.061891117
E02001700,10606,534,0.050348859
E02001701,6320,339,0.053639241
E02001702,8055,473,0.058721291
E02001703,5702,230,0.040336724
E02001704,7156,400,0.055897149
E02001705,7045,420,0.059616749
E02001706,6653,441,0.066285886
E02001707,8367,481,0.057487749
E02006841,7487,1311,0.175103513
E02006842,5328,684,0.128378378
E02001708,9735,790,0.081150488
E02001709,10237,809,0.079027059
E02001710,9826,754,0.076735192
E02001711,9703,696,0.071730393
E02001712,9924,1565,0.157698509
E02001713,10492,1011,0.096359131
E02001714,9817,892,0.090862789
E02001715,11323,835,0.073743707
E02001718,5655,358,0.063306808
E02001719,9339,1192,0.127636792
E02001720,9726,4050,0.416409624
E02001721,10261,578,0.056329792
E02001722,9667,571,0.059066929
E02001723,6368,591,0.092807789
E02001724,9211,3940,0.42774943
E02001725,10336,3404,0.329334365
E02001726,11839,1301,0.109891038
E02001727,8530,466,0.054630715
E02001728,9734,574,0.058968564
E02001729,12296,2638,0.214541314
E02001730,12926,4950,0.382949095
E02001731,12281,3567,0.290448661
E02001732,5031,387,0.076923077
E02001733,11885,1287,0.108287758
E02001734,7663,767,0.100091348
E02001735,6614,426,0.06440883
E02001736,12990,1219,0.093841416
E02001737,6054,530,0.087545425
E02006893,10714,530,0.049467986
E02001738,5625,291,0.051733333
E02001739,7508,447,0.059536494
E02001740,5789,358,0.061841423
E02001741,6967,365,0.052389838
E02001742,6037,413,0.068411463
E02001743,7569,767,0.10133439
E02001744,6531,472,0.072270709
E02001745,6357,391,0.061507
E02001746,8334,590,0.070794336
E02001747,6180,402,0.065048544
E02001748,7532,730,0.096919809
E02001749,6161,423,0.068657685
E02001750,6636,412,0.062085594
E02001751,6039,364,0.06027488
E02001752,6281,458,0.072918325
E02001753,6304,646,0.102474619
E02001754,6025,587,0.097427386
E02001755,7985,609,0.076268003
E02001756,9258,802,0.086627781
E02001757,5918,371,0.062690098
E02001758,5599,293,0.052330773
E02001759,6294,730,0.115983476
E02001760,7775,651,0.083729904
E02001761,5397,320,0.059292199
E02001762,5588,291,0.052075877
E02001763,6307,406,0.064372919
E02001764,7559,771,0.101997619
E02001765,7281,814,0.11179783
E02001766,6927,742,0.107117078
E02001767,7038,562,0.079852231
E02001768,8446,762,0.090220223
E02001769,7396,807,0.109113034
