MSOA11CD,all_households_2011,no_children_2011,dependent_children_2011,nondependent_children_2011,no_children_2011_pct,dependent_children_2011_pct,nondependent_children_2011_pct
E02002559,3646,865,1124,310,0.237246297,0.30828305,0.085024685
E02002560,2511,511,745,304,0.20350458,0.296694544,0.121067304
E02002561,2507,631,654,255,0.251695253,0.260869565,0.101715197
E02002562,2933,439,748,232,0.1496761,0.255028981,0.079099898
E02002563,2343,467,588,292,0.199317115,0.250960307,0.124626547
E02002564,4137,669,1207,447,0.161711385,0.291757312,0.108049311
E02002565,2667,495,675,215,0.1856018,0.253093363,0.080614923
E02002566,3475,511,704,178,0.14705036,0.202589928,0.051223022
E02002567,3209,489,920,332,0.15238392,0.286693674,0.103459022
E02002568,2634,472,670,179,0.17919514,0.254365983,0.067957479
E02002569,3912,751,941,383,0.191973415,0.240541922,0.097903885
E02002570,3723,623,973,314,0.167338168,0.261348375,0.084340586
E02002571,2758,466,899,239,0.168963017,0.325960841,0.086656998
E02002572,2727,428,847,251,0.156949028,0.310597726,0.092042538
E02002573,3488,796,945,309,0.228211009,0.270928899,0.08858945
E02004290,2518,574,704,300,0.227958697,0.279586974,0.119142176
E02004291,3131,575,811,307,0.183647397,0.259022676,0.098051741
E02004292,3523,703,836,365,0.199545842,0.237297758,0.103604882
E02004293,4412,612,1097,418,0.138712602,0.248640073,0.094741614
E02004294,3655,771,982,408,0.210943912,0.268673051,0.111627907
E02004295,3213,652,929,342,0.202925615,0.289137877,0.106442577
E02004296,3529,713,926,401,0.202040238,0.26239728,0.113629923
E02004297,3550,812,868,396,0.228732394,0.244507042,0.111549296
E02004298,4178,930,1077,431,0.222594543,0.257778842,0.103159406
E02004299,3758,766,981,396,0.203831825,0.261043108,0.1053752
E02004300,3491,580,874,402,0.166141507,0.250358064,0.115153251
E02004301,3913,659,1136,421,0.168412982,0.290314337,0.107590084
E02004302,3530,636,887,396,0.180169972,0.251274788,0.112181303
E02004303,5253,948,1361,489,0.180468304,0.259090044,0.093089663
E02004304,3896,681,1071,442,0.174794661,0.274897331,0.113449692
E02004305,3816,632,1109,382,0.165618449,0.290618449,0.100104822
E02004306,2681,589,582,291,0.219694144,0.217083178,0.108541589
E02004307,2878,550,811,313,0.191104934,0.281792912,0.108756081
E02004308,2987,739,704,335,0.247405424,0.235687981,0.112152662
E02004309,2769,519,633,231,0.187432286,0.228602384,0.083423619
E02004310,3526,700,927,392,0.198525241,0.262904141,0.111174135
E02004311,4118,891,1053,360,0.216367169,0.255706654,0.087421078
E02004312,3409,761,701,377,0.22323262,0.20563215,0.110589616
E02004313,2957,463,628,259,0.156577612,0.21237741,0.087588772
E02004314,2363,297,143,71,0.125687685,0.060516293,0.030046551
E02004315,3845,738,1004,305,0.191937581,0.261118336,0.079323797
E02004316,2644,521,613,308,0.197049924,0.231845688,0.116490166
E02004317,3554,674,841,346,0.18964547,0.236634778,0.097355093
E02004318,2666,541,662,268,0.202925731,0.248312078,0.100525131
E02004319,3293,674,908,322,0.204676587,0.275736411,0.097783176
E02004320,3851,779,1039,462,0.202285121,0.269800052,0.119968839
E02004321,3662,587,916,463,0.160294921,0.250136537,0.126433643
E02004322,3769,524,1058,447,0.13902892,0.280711064,0.118599098
E02004323,3337,632,912,416,0.189391669,0.273299371,0.124662871
E02004324,2588,503,676,279,0.194358578,0.261205564,0.107805255
E02004325,3722,516,1159,448,0.138635142,0.311391725,0.120365395
E02004326,2713,442,737,316,0.162919278,0.271654994,0.116476226
E02004327,2913,464,731,311,0.159285959,0.250944044,0.106762788
E02004328,3115,449,942,434,0.144141252,0.302407705,0.139325843
E02004329,2807,568,753,386,0.202351265,0.268257927,0.137513359
E02004330,2742,508,632,314,0.185266229,0.230488694,0.114514953
E02004331,3084,515,808,371,0.166990921,0.261997406,0.120298314
E02004332,3113,593,893,372,0.190491487,0.286861548,0.119498876
E02004333,3195,714,780,387,0.223474178,0.244131455,0.121126761
E02004334,3192,583,905,381,0.18264411,0.283521303,0.119360902
E02004335,2929,446,725,305,0.152270399,0.247524752,0.104131103
E02004336,3264,553,698,354,0.16942402,0.213848039,0.108455882
E02004337,4037,820,1087,421,0.20312113,0.269259351,0.10428536
E02004338,3029,543,818,313,0.179267085,0.270056124,0.103334434
E02004339,2997,676,760,293,0.225558892,0.25358692,0.097764431
E02004340,4812,765,1209,502,0.158977556,0.251246883,0.104322527
E02004341,3474,885,1060,338,0.254749568,0.305123777,0.097294185
E02004342,2401,343,896,218,0.142857143,0.373177843,0.090795502
E02004343,2492,389,647,309,0.156099518,0.259630819,0.12399679
E02004344,3244,578,730,424,0.178175092,0.225030826,0.130702836
E02004345,5755,1252,1316,558,0.217549957,0.228670721,0.096959166
E02004346,2344,578,494,239,0.246587031,0.210750853,0.101962457
E02004347,3012,580,617,267,0.192563081,0.204847278,0.088645418
E02004348,3700,872,798,347,0.235675676,0.215675676,0.093783784
E02004349,4081,690,1118,453,0.169076207,0.273952463,0.111002205
E02004350,4378,980,1078,399,0.223846505,0.246231156,0.091137506
E02004351,3135,537,836,333,0.171291866,0.266666667,0.106220096
E02004352,3409,608,826,310,0.178351423,0.242299795,0.090935758
E02004353,3313,647,877,326,0.195291277,0.26471476,0.098400241
E02004354,3891,804,1061,363,0.206630686,0.272680545,0.093292213
E02004355,3247,497,933,315,0.153064367,0.287342162,0.097012627
E02002483,3847,779,1200,381,0.202495451,0.311931375,0.099038212
E02002484,4553,671,1263,470,0.147375357,0.277399517,0.10322864
E02002485,3474,522,1020,349,0.150259067,0.293609672,0.100460564
E02002487,2765,422,614,196,0.152622061,0.222061483,0.070886076
E02002488,2512,488,712,287,0.194267516,0.28343949,0.114251592
E02002489,3532,443,936,291,0.125424689,0.265005663,0.082389581
E02002490,2857,459,761,289,0.160658033,0.266363318,0.101155058
E02002491,2887,402,793,327,0.139244891,0.274679598,0.113266366
E02002492,2924,491,813,336,0.167920657,0.278043776,0.114911081
E02002493,2698,579,709,305,0.21460341,0.26278725,0.113046701
E02002494,3399,394,1138,351,0.115916446,0.334804354,0.103265666
E02006909,4986,1083,1347,561,0.217208183,0.270156438,0.112515042
E02002496,4349,386,964,260,0.088756036,0.221660152,0.059783858
E02002497,2815,380,837,280,0.134991119,0.297335702,0.09946714
E02002498,3820,383,866,295,0.10026178,0.226701571,0.077225131
E02002499,3005,302,1074,428,0.100499168,0.357404326,0.142429285
E02002500,2339,357,652,250,0.152629329,0.278751603,0.106883283
E02002501,2228,315,664,260,0.141382406,0.298025135,0.116696589
E02002502,4180,509,1183,495,0.121770335,0.283014354,0.118421053
E02002503,2567,358,908,337,0.139462407,0.353720296,0.131281652
E02002504,3719,632,1108,434,0.169938155,0.297929551,0.116698037
E02002505,2531,277,911,352,0.109442908,0.359936784,0.139075464
E02002506,2426,262,775,265,0.107996702,0.319455894,0.109233306
E02002507,2498,440,652,315,0.176140913,0.261008807,0.126100881
E02002508,2118,346,496,260,0.163361662,0.234183192,0.122757318
E02002509,2343,369,653,319,0.157490397,0.278702518,0.136150235
E02002510,2482,501,538,338,0.201853344,0.216760677,0.1361805
E02002512,2205,442,630,240,0.200453515,0.285714286,0.108843537
E02002513,3824,617,1099,406,0.161349372,0.287395397,0.106171548
E02002514,3827,692,1075,443,0.180820486,0.280898876,0.115756467
E02006811,3927,824,1003,490,0.209829386,0.255411255,0.124777184
E02005702,2690,636,623,246,0.236431227,0.231598513,0.091449814
E02005703,3150,587,725,276,0.186349206,0.23015873,0.087619048
E02005704,5508,1285,1278,581,0.233297023,0.232026144,0.105482934
E02005705,3407,948,686,266,0.27825066,0.201350161,0.078074552
E02005706,4329,852,1031,401,0.196812197,0.238161238,0.092631093
E02005707,3123,780,665,227,0.249759846,0.212936279,0.072686519
E02005708,5013,1189,878,400,0.237183323,0.175144624,0.079792539
E02005709,2984,421,894,293,0.141085791,0.299597855,0.098190349
E02005710,4067,678,915,364,0.166707647,0.224981559,0.089500861
E02005711,3680,646,1031,378,0.175543478,0.280163043,0.102717391
