MSOA11CD,qualification_all_2011,qualification_2011,qualification_2011_pct
E02002559,7019,2572,0.366433965
E02002560,4826,932,0.193120597
E02002561,4789,1107,0.23115473
E02002562,4938,710,0.143782908
E02002563,4511,766,0.169807138
E02002564,7515,1223,0.162741184
E02002565,4519,1058,0.234122593
E02002566,5676,1177,0.207364341
E02002567,5722,685,0.119713387
E02002568,4841,2271,0.469117951
E02002569,7665,2921,0.381082844
E02002570,6609,947,0.143289454
E02002571,5009,654,0.130564983
E02002572,4862,931,0.191484986
E02002573,6856,2290,0.334014002
E02004290,4958,1246,0.251311013
E02004291,5613,899,0.160163905
E02004292,6631,1874,0.282611974
E02004293,7748,1196,0.154362416
E02004294,7089,2354,0.332063761
E02004295,6145,1524,0.248006509
E02004296,6661,1362,0.204473803
E02004297,6645,1776,0.267268623
E02004298,8088,2651,0.327769535
E02004299,6996,1350,0.19296741
E02004300,6306,958,0.151918807
E02004301,7031,762,0.108377187
E02004302,6370,875,0.137362637
E02004303,9500,2107,0.221789474
E02004304,7249,1340,0.184853083
E02004305,6914,1332,0.192652589
E02004306,4919,1650,0.335434031
E02004307,5387,1322,0.245405606
E02004308,6806,2222,0.326476638
E02004309,4949,1669,0.337239846
E02004310,6573,1613,0.24539784
E02004311,7461,1959,0.26256534
E02004312,6553,2278,0.347627041
E02004313,5605,1591,0.283853702
E02004314,11964,2742,0.229187563
E02004315,8494,4229,0.497880857
E02004316,4738,996,0.210215281
E02004317,6315,1245,0.197149644
E02004318,5060,1730,0.341897233
E02004319,6086,1344,0.220834703
E02004320,7476,1671,0.223515249
E02004321,6953,1100,0.158205091
E02004322,6819,641,0.094002053
E02004323,6541,1145,0.175049687
E02004324,4701,861,0.183152521
E02004325,6895,627,0.09093546
E02004326,4997,662,0.132479488
E02004327,5242,511,0.097481877
E02004328,5858,749,0.127859338
E02004329,5636,1200,0.212916962
E02004330,5004,674,0.134692246
E02004331,5805,758,0.130577089
E02004332,5909,1197,0.202572347
E02004333,6044,1389,0.229814692
E02004334,6016,955,0.158743351
E02004335,5083,577,0.11351564
E02004336,5833,754,0.129264529
E02004337,7461,1427,0.191261225
E02004338,5504,792,0.143895349
E02004339,5715,2237,0.391426072
E02004340,8492,997,0.117404616
E02004341,6869,1950,0.283884117
E02004342,4419,432,0.097759674
E02004343,4531,663,0.146325315
E02004344,5964,1017,0.170523139
E02004345,10707,2636,0.246194079
E02004346,4438,1418,0.319513294
E02004347,6040,1474,0.244039735
E02004348,6853,2069,0.301911572
E02004349,7393,1094,0.147977817
E02004350,8034,1681,0.209235748
E02004351,5721,762,0.133193498
E02004352,6309,1161,0.184022825
E02004353,6268,1603,0.255743459
E02004354,7100,1476,0.207887324
E02004355,5774,693,0.120020783
E02002483,7269,1696,0.233319576
E02002484,8148,860,0.105547374
E02002485,6214,653,0.105085291
E02002487,4395,670,0.152445961
E02002488,5055,1612,0.318892186
E02002489,6221,1031,0.165728982
E02002490,4953,675,0.136281042
E02002491,5272,582,0.110394537
E02002492,5405,737,0.136355227
E02002493,5377,1205,0.224102659
E02002494,5986,500,0.083528233
E02006909,9933,2842,0.286116984
E02002496,9443,1534,0.162448374
E02002497,4794,402,0.083854819
E02002498,6986,1171,0.167620956
E02002499,5589,379,0.067811773
E02002500,4713,1048,0.222363675
E02002501,4182,640,0.153036824
E02002502,7491,531,0.070885062
E02002503,4996,612,0.122497998
E02002504,7661,2261,0.295131184
E02002505,4729,316,0.066821738
E02002506,4568,569,0.124562172
E02002507,4977,1441,0.289531846
E02002508,4215,977,0.231791222
E02002509,4467,698,0.156256996
E02002510,4908,999,0.203545232
E02002512,4361,1431,0.328135749
E02002513,6996,1090,0.155803316
E02002514,7327,1565,0.213593558
E02006811,8006,2808,0.350736947
E02005702,5511,1985,0.360188713
E02005703,5596,1236,0.220872051
E02005704,10442,2808,0.268914001
E02005705,6405,2335,0.364558938
E02005706,7961,1242,0.156010551
E02005707,5848,1503,0.257010944
E02005708,9087,2307,0.253879168
E02005709,5302,429,0.080912863
E02005710,7048,1211,0.171821793
E02005711,6645,694,0.104439428
E02005712,5564,887,0.159417685
E02005713,5536,1394,0.251806358
E02005714,4189,1485,0.354499881
E02005715,6950,1026,0.147625899
E02005716,7232,1355,0.187361726
E02005717,6699,1574,0.234960442
E02005718,5763,1250,0.21690092
E02005719,6361,1260,0.198082063
E02005720,10174,1988,0.195400039
E02005721,4284,1283,0.299486461
E02005722,5865,2495,0.425404945
E02005723,5319,1529,0.287460049
E02005724,5139,2452,0.477135629
E02005725,5503,2204,0.400508813
E02005726,6411,2821,0.440024957
E02005727,5465,1614,0.295333943
E02005728,5957,1397,0.234514017
E02005729,4592,2043,0.444904181
E02005730,10909,3974,0.364286369
E02005731,8750,2148,0.245485714
E02005732,7731,3480,0.450135817
E02005733,6849,2549,0.37217112
E02005734,5139,741,0.144191477
E02005735,6380,773,0.121159875
E02005736,6077,919,0.151225934
E02005737,6082,1284,0.211114765
E02005738,4243,847,0.199622908
E02005739,7813,1431,0.183156278
E02005740,8370,1288,0.153882915
E02005741,6971,1783,0.255773921
E02002515,5621,869,0.154598826
E02002516,4622,661,0.143011683
E02002517,4367,500,0.114495077
E02002518,8772,2241,0.255471956
E02002519,5747,848,0.147555246
E02002520,11009,2719,0.246979744
E02002521,5091,1696,0.333136908
E02002523,4750,281,0.059157895
E02002524,4358,638,0.14639743
E02002525,7021,860,0.122489674
E02002526,5993,1062,0.177206741
E02002527,4104,418,0.101851852
E02002529,4798,800,0.16673614
E02002530,5415,872,0.161034164
E02002532,5162,962,0.186361875
E02002533,4781,1641,0.343233633
E02002534,4951,1736,0.350636235
E02006812,6182,1088,0.175994824
E02006910,8267,1121,0.135599371
E02002535,8325,2153,0.258618619
E02002536,7849,1251,0.159383361
E02002537,7015,748,0.106628653
E02002538,4726,748,0.158273381
E02002539,7327,2570,0.350757472
E02002540,5371,1649,0.307019177
E02002541,5201,1176,0.226110363
E02002542,6482,647,0.099814872
E02002543,6320,892,0.141139241
E02002544,6965,930,0.133524767
E02002545,4566,981,0.214848883
E02002546,5926,838,0.141410732
E02002547,5387,1367,0.25375905
E02002548,9058,1306,0.144181939
E02002549,6696,1740,0.259856631
E02002550,5236,1525,0.291252865
E02002551,5420,792,0.146125461
E02002552,5396,803,0.148813936
E02002553,4799,802,0.16711815
E02002554,4444,448,0.100810081
E02002555,8115,2885,0.355514479
E02002556,5702,1945,0.341108383
E02002557,9911,3742,0.377560287
E02002558,8266,3312,0.400677474
E02001682,6482,1767,0.272601049
E02001683,7599,2092,0.275299381
E02001684,5698,1052,0.184626185
E02001685,6539,1089,0.166539226
E02001686,6011,1260,0.209615705
E02001688,6378,1306,0.204766384
E02001689,6497,1214,0.186855472
E02001690,6181,1538,0.248827051
E02001691,6793,1837,0.270425438
E02001692,5007,630,0.125823847
E02001693,4645,627,0.134983854
E02001694,5416,989,0.18260709
E02001695,5197,1189,0.228785838
E02001696,7493,883,0.11784332
E02001697,6482,2167,0.334310398
E02001698,6215,1941,0.31230893
E02001699,5776,826,0.14300554
E02001700,8726,1939,0.222209489
E02001701,5379,1708,0.31753114
E02001702,6329,671,0.106019908
