MSOA01CD,NS-SeC_all_2001,NS-SeC_higher_2001,NS-SeC_higher_2001_pct
E02005712,4593,843,0.18354017
E02005713,4815,1432,0.297403946
E02005714,4208,1801,0.427994297
E02005715,6270,1072,0.170972887
E02005716,6756,1531,0.226613381
E02005717,5763,1406,0.243970154
E02005718,5430,1401,0.25801105
E02005719,5410,1178,0.217744917
E02005720,8084,1449,0.179242949
E02005721,3696,979,0.264880952
E02005722,5123,1770,0.345500683
E02005723,4464,1115,0.249775986
E02005724,4507,1833,0.406700688
E02005725,4590,1659,0.361437908
E02005726,5588,2196,0.392984968
E02005727,4601,1151,0.250163008
E02005728,5218,979,0.187619778
E02005729,4010,1580,0.394014963
E02005730,8902,2779,0.312177039
E02005731,7521,1787,0.237601383
E02005732,6518,2429,0.372660325
E02005733,5854,1752,0.299282542
E02005734,4351,544,0.125028729
E02005735,5922,775,0.13086795
E02005736,4992,774,0.155048077
E02005737,5187,1099,0.211875843
E02005738,3959,817,0.206365244
E02005739,7168,1379,0.192382813
E02005740,7250,1047,0.144413793
E02005741,5966,1645,0.275729132
E02001682,5619,1480,0.263392063
E02001683,6511,1738,0.266932883
E02001684,4563,649,0.142230988
E02001685,5333,632,0.118507407
E02001686,5473,1252,0.228759364
E02001687,7931,1263,0.159248518
E02001688,4542,528,0.116248349
E02001689,5071,737,0.145336226
E02001690,5220,1266,0.242528736
E02001691,5995,1090,0.181818182
E02001692,4405,501,0.113734393
E02001693,4138,484,0.116964717
E02001694,4765,900,0.18887723
E02001695,4370,1053,0.240961098
E02001696,6557,711,0.108433735
E02001697,5440,1653,0.303860294
E02001698,5692,1808,0.317638791
E02001699,5020,773,0.153984064
E02001700,7873,1845,0.234345231
E02001701,4638,1458,0.314359638
E02001702,5831,668,0.11456011
E02001703,4203,1185,0.28194147
E02001704,5204,711,0.136625673
E02001705,4991,949,0.190142256
E02001706,4424,677,0.153028933
E02001707,5832,1101,0.188786008
E02001708,7055,1990,0.282069454
E02001709,5651,2182,0.386126349
E02001710,6909,1081,0.156462585
E02001711,6690,1176,0.175784753
E02001712,6613,2963,0.448056858
E02001713,7324,3221,0.439787002
E02001714,6869,2562,0.372980055
E02001715,7077,1452,0.205171683
E02001716,4664,1306,0.280017153
E02001717,3709,688,0.185494743
E02001718,4178,577,0.138104356
E02001719,6903,1984,0.28741127
E02001720,6257,2459,0.39299984
E02001721,7342,1444,0.196676655
E02001722,7075,1155,0.163250883
E02001723,4140,792,0.191304348
E02001724,5959,2345,0.393522403
E02001725,7387,1731,0.234330581
E02001726,7951,1281,0.16111181
E02001727,6224,966,0.155205656
E02001728,7373,1304,0.176861522
E02001729,8232,1383,0.168002915
E02001730,7158,1579,0.220592344
E02001731,7731,1307,0.16905963
