LAD11CD,median_price_2001_la,median_price_2011_la
E08000032,52000,117500
E08000033,52000,117000
E08000034,55000,123000
E08000035,69995,140000
E08000036,56995,118000
E09000001,237000,465000
E09000002,90000,170000
E09000003,175000,323000
E09000004,118000,215000
E09000005,158500,300000
E09000006,153000,275000
E09000007,250000,480000
E09000008,127000,220000
E09000009,163000,292975
E09000010,130000,240000
E09000011,124995,249995
E09000012,162000,310000
E09000013,245000,466000
E09000014,151000,302250
E09000015,166000,294500
E09000016,123500,220000
E09000017,140000,248320
E09000018,149000,250000
E09000019,218000,398475
E09000020,365000,790000
E09000021,170000,299950
E09000022,175000,310000
E09000023,123000,240000
E09000024,160000,295000
E09000025,113000,218998
E09000026,138500,250000
E09000027,227500,420000
E09000028,180000,320000
E09000029,132500,233000
E09000030,185000,299999
E09000031,118000,230000
E09000032,204500,390000
E09000033,280000,600000
W06000001,59995,140000
W06000002,55000,132000
W06000003,63000,145000
W06000004,55000,125000
W06000005,64950,136000
W06000006,62500,130000
W06000008,71200,167250
W06000009,58950,152000
W06000010,48750,124000
W06000011,57250,126000
W06000012,46000,97000
W06000013,59000,122000
W06000014,75000,164500
W06000015,81625,156000
W06000016,40000,88750
W06000018,50000,109973
W06000019,33000,71500
W06000020,49950,118000
W06000021,95000,190500
W06000022,65000,125000
W06000023,70000,153750
W06000024,36400,85000
