MSOA11CD,median_price_2001
E02000360,159995
E02000361,140000
E02000362,121250
E02000363,122500
E02000364,169950
E02000365,200000
E02000366,175000
E02000367,167250
E02000368,147000
E02000369,165000
E02000370,190000
E02000371,220000
E02000372,174000
E02000373,151500
E02000374,228000
E02000375,241750
E02000376,198250
E02000377,181000
E02000378,195000
E02000379,225000
E02000380,272500
E02000381,232125
E02000382,197300
E02000383,216000
E02000384,215500
E02000385,200000
E02000386,208500
E02000387,220000
E02000388,248750
E02000389,295000
E02000390,275000
E02000391,327500
E02000392,290000
E02000393,250000
E02000394,293500
E02000395,307500
E02000396,360000
E02000397,123000
E02000398,98000
E02000400,200000
E02000401,125000
E02000402,93500
E02000403,130000
E02000404,141000
E02000405,212000
E02000406,136120
E02000407,103000
E02000408,115500
E02000409,138000
E02000410,177000
E02000411,100000
E02000412,150000
E02000413,232000
E02000414,118000
E02000415,130000
E02000416,164000
E02000417,235000
E02000418,250000
E02000419,147500
E02000420,127000
E02000421,96725
E02000422,125000
E02000423,139000
E02000424,183000
E02000425,163000
E02000426,222500
E02000427,144950
E02000428,110500
E02000429,235500
E02000430,177500
E02000431,234250
E02000432,168000
E02000433,215000
E02000434,187350
E02000435,205000
E02000436,235000
E02000437,159750
E02000438,144975
E02000439,164000
E02000440,190000
E02000441,169975
E02000442,156000
E02000443,138000
E02000444,176000
E02000445,140000
E02000447,190000
E02000448,249975
E02000449,161375
E02000451,222500
E02000452,133975
E02000453,147500
E02000454,218000
E02000455,167950
E02000456,159250
E02000457,180000
E02000459,131000
E02000460,145000
E02000461,190000
E02000462,150975
E02000463,149725
E02000464,92497.5
E02000465,102995
E02000466,115500
E02000467,84000
E02000468,120000
E02000469,91500
E02000470,127000
E02000471,160775
E02000472,117500
E02000473,130000
E02000474,110000
E02000475,169997.5
E02000476,115500
E02000477,149000
E02000478,302500
E02000479,105000
E02000480,110000
E02000481,138725
E02000482,195000
E02000483,130475
E02000484,141750
E02000485,129500
E02000486,125000
E02000487,243500
E02000488,138250
E02000489,121495
E02000490,116500
E02000491,114750
E02000492,125000
E02000493,91500
E02000494,255000
E02000495,150000
E02000496,152660
E02000497,164950
E02000498,168500
E02000499,214950
E02000500,231750
E02000501,169475
E02000502,140000
E02000503,157250
E02000504,240000
E02000506,285000
E02000507,142000
E02000508,145500
E02000509,129000
E02000510,153165
E02000511,148250
E02000512,129000
E02000513,94725
E02000514,127000
E02000515,94250
E02000516,130000
E02000517,131000
E02000518,139475
E02000519,129975
E02000520,127000
E02000521,123000
E02000522,132475
E02000523,135250
E02000524,119000
E02000525,108500
E02000526,336500
E02000528,195000
E02000529,132000
E02000530,122000
E02000531,165000
E02000532,340000
E02000533,249950
E02000534,159225
E02000535,167750
E02000536,165000
E02000537,165000
E02000538,132745
E02000539,155000
E02000540,145000
E02000541,131000
E02000542,137000
E02000543,139995
E02000544,166650
E02000545,154250
E02000546,130500
E02000547,120000
E02000548,114950
E02000549,124975
E02000550,124995
E02000551,113000
E02000552,103500
E02000553,132000
E02000554,162500
E02000555,180000
E02000556,169000
E02000557,190000
E02000558,149500
E02000559,246625
E02000560,178000
E02000561,197500
E02000562,216000
E02000563,158500
E02000564,175000
E02000565,192500
E02000566,249950
E02000567,219000
E02000568,149225
E02000569,225000
E02000570,249974.5
E02000571,212000
E02000572,171500
E02000573,307500
E02000574,270000
E02000575,285000
E02000576,246500
E02000577,160000
E02000578,185000
E02000579,239500
E02000580,247000
E02000581,188500
E02000582,357750
E02000583,360000
E02000584,465000
E02000585,326250
E02000586,530000
E02000587,477425
E02000588,500000
E02000589,355750
E02000590,249000
E02000591,311250
E02000592,450000
E02000593,315000
E02000594,435000
E02000595,385000
E02000596,405000
E02000597,243750
E02000598,225000
E02000599,352475
E02000600,174500
E02000601,223000
E02000602,155000
E02000603,143000
E02000604,190000
E02000605,179975
E02000606,176750
E02000607,172250
E02000608,147250
E02000609,214500
E02000610,154975
E02000611,219950
E02000612,180000
E02000613,172500
E02000614,143250
E02000615,146000
E02000616,136250
E02000617,162500
E02000619,399750
E02000620,209950
E02000621,245875
E02000622,176000
E02000623,142000
E02000624,183000
E02000625,132000
E02000626,160000
E02000627,189500
E02000628,123000
E02000629,194000
E02000630,242500
E02000631,161500
E02000632,210000
E02000633,190000
E02000634,210000
E02000635,180000
E02000636,285000
E02000637,179950
E02000638,150000
E02000639,108750
E02000640,227500
E02000641,155450
E02000642,167000
E02000643,161500
E02000644,139500
E02000645,130000
E02000646,135000
E02000647,142500
E02000648,130000
E02000649,132000
E02000650,122000
E02000651,137000
E02000652,143000
E02000653,140500
E02000654,96000
E02000655,91500
E02000657,124500
E02000658,130000
E02000659,177750
E02000660,145000
E02000661,150000
E02000662,113125
E02000663,140000
E02000664,107500
E02000665,135000
E02000666,129500
E02000667,144249.5
E02000668,145000
E02000669,115000
E02000670,102250
E02000671,127500
E02000672,125000
E02000673,132025
E02000674,136000
E02000675,126000
E02000676,136250
E02000677,137000
E02000678,100450
E02000679,123497.5
E02000680,109950
E02000681,121500
E02000682,142500
E02000683,104475
E02000685,120000
E02000686,96000
E02000687,125000
E02000689,298500
E02000690,520000
E02000691,215000
E02000692,250000
E02000693,138000
E02000694,210000
E02000695,169975
E02000696,114000
E02000697,230000
E02000698,275000
E02000699,187000
E02000700,112000
E02000701,129972.5
E02000702,118975
E02000703,215000
E02000704,150000
E02000705,139725
E02000706,112750
E02000707,125000
E02000708,179000
E02000709,178750
E02000710,120000
E02000711,123000
E02000712,124975
E02000713,155000
E02000714,101750
E02000715,95000
E02000716,110000
E02000717,110250
E02000718,95500
E02000719,100000
E02000720,114250
E02000721,101000
E02000722,118000
E02000723,122000
E02000724,114000
E02000725,130000
E02000726,113997.5
E02000727,110000
E02000728,115000
E02000729,115000
E02000730,120000
E02000731,115000
E02000732,107000
E02000733,98000
E02000734,110000
E02000735,97000
E02000736,105000
E02000737,107750
E02000738,110000
E02000739,111000
E02000740,103000
E02000741,104995
E02000742,104000
E02000743,96995
E02000744,87000
E02000745,98000
E02000746,120000
E02000747,95497.5
E02000748,96750
E02000749,102750
E02000750,170000
E02000751,237000
E02000752,117997.5
E02000753,120000
E02000754,165000
E02000755,136995
E02000756,165000
E02000757,160000
E02000758,162500
E02000759,160000
E02000760,152500
E02000762,180000
E02000763,132000
E02000764,155000
E02000765,156500
E02000767,150000
E02000768,224500
E02000769,117500
E02000770,130000
E02000772,130000
E02000773,145000
E02000774,125000
E02000776,130000
E02000777,165997.5
E02000779,90000
E02000780,117000
E02000781,135000
E02000782,105000
E02000783,114000
E02000784,400000
E02000785,328611
E02000786,265000
E02000787,221500
E02000788,302000
E02000789,274950
E02000790,225000
E02000791,324000
E02000792,243500
E02000793,180000
E02000794,206500
E02000795,446500
E02000796,178000
E02000797,205000
E02000798,190000
E02000799,265950
E02000800,185000
E02000801,224000
E02000802,210000
E02000803,153750
E02000804,249950
E02000805,227475
E02000806,220000
E02000807,200000
E02000808,256000
E02000809,245750
E02000810,177000
E02000812,165000
E02000813,142500
E02000814,187000
E02000815,195000
E02000816,120000
E02000817,118000
E02000818,140000
E02000819,135000
E02000820,155000
E02000821,165000
E02000822,120000
E02000823,158500
E02000824,110000
E02000825,83000
E02000826,137000
E02000827,125000
E02000828,135000
E02000829,142000
E02000830,158000
E02000831,149500
E02000832,146000
E02000833,151000
E02000834,170000
E02000835,153375
E02000836,200000
E02000837,352500
E02000838,142000
E02000839,137000
E02000840,108000
E02000841,115000
E02000842,162000
E02000843,103250
E02000844,124000
E02000845,151500
E02000846,150000
E02000847,151850
E02000848,155000
E02000849,135000
E02000850,139975
E02000851,105000
E02000852,131500
E02000853,135000
E02000854,154000
E02000855,187000
E02000856,128500
E02000857,115210
E02000858,133000
E02000859,120000
E02000860,105550
E02000861,248875
E02000863,252500
E02000864,129950
E02000865,120000
E02000866,161000
E02000867,155000
E02000868,147000
E02000869,157500
E02000870,130000
E02000871,97250
E02000872,162750
E02000873,129500
E02000874,127500
E02000875,137000
E02000876,155000
E02000877,129000
E02000878,185000
E02000879,125500
E02000880,132500
E02000881,103750
E02000882,140000
E02000883,109500
E02000884,210000
E02000885,130000
E02000886,230000
E02000887,158725
E02000888,220000
E02000889,209000
E02000890,241000
E02000891,236500
E02000893,175000
E02000894,215000
E02000895,155000
E02000896,161000
E02000897,128500
E02000898,134997.5
E02000899,150000
E02000900,121750
E02000901,145497.5
E02000902,130000
E02000903,121000
E02000904,125000
E02000905,120500
E02000906,105000
E02000907,104997.5
E02000908,98875
E02000909,144200
E02000910,117500
E02000911,110000
E02000912,122000
E02000913,132500
E02000914,105500
E02000915,114997.5
E02000916,90000
E02000917,94000
E02000918,122250
E02000919,114995
E02000920,108500
E02000921,110000
E02000922,113500
E02000923,263000
E02000924,140000
E02000925,186000
E02000926,243290
E02000927,237500
E02000928,300000
E02000929,125000
E02000930,249950
E02000931,285000
E02000932,269950
E02000933,217000
E02000934,224000
E02000935,113250
E02000936,200000
E02000937,265000
E02000938,193000
E02000939,446500
E02000940,165667
E02000941,211500
E02000942,274500
E02000943,245000
E02000944,130000
E02000945,130000
E02000946,180500
E02000947,187500
E02000948,190000
E02000949,215000
E02000950,168625
E02000951,200000
E02000952,223000
E02000953,203500
E02000954,198000
E02000955,166000
E02000956,142750
E02000957,153000
E02000958,164250
E02000959,121000
E02000960,323000
E02000961,243000
E02000962,248000
E02000963,208250
E02000964,188000
E02000965,250000
E02000966,320000
E02000967,375000
E02000968,169000
E02000969,180000
E02000970,412500
E02000971,275000
E02000972,256000
E02000973,250000
E02000974,277475
E02000975,265000
E02000976,265000
E02000977,412500
E02000978,730000
E02000979,290000
E02000980,240000
E02000981,273000
E02000982,265000
E02000983,248500
E02000984,98975
E02000985,94950
E02000986,67875
E02000987,44500
E02000988,39950
E02000989,72000
E02000990,60000
E02000991,47000
E02000992,73700
E02000993,24000
E02000994,23500
E02000995,68250
E02000996,44000
E02000997,77950
E02000998,27000
E02000999,72000
E02001000,33997.5
E02001001,40350
E02001002,48750
E02001003,115000
E02001004,24650
E02001005,32250
E02001006,27950
E02001007,48000
E02001008,25000
E02001009,35000
E02001010,36250
E02001011,76995
E02001012,42000
E02001013,82000
E02001014,47000
E02001015,36500
E02001016,44725
E02001017,49250
E02001018,88225
E02001019,60000
E02001020,108000
E02001021,83950
E02001022,57500
E02001023,81950
E02001024,70000
E02001025,40475
E02001026,28000
E02001027,45000
E02001028,92475
E02001029,43827.5
E02001030,73975
E02001031,59950
E02001032,50250
E02001033,40425
E02001034,31000
E02001035,87500
E02001036,59950
E02001037,71000
E02001038,51500
E02001039,55475
E02001040,60997.5
E02001041,49950
E02001042,67225
E02001043,56250
E02001044,69500
E02001045,30497.5
E02001046,28000
E02001047,57950
E02001048,37000
E02001049,45950
E02001050,25000
E02001051,22250
E02001052,27000
E02001053,20000
E02001055,29000
E02001056,17000
E02001057,27000
E02001059,15000
E02001061,20500
E02001062,28250
E02001063,72000
E02001064,28250
E02001065,23000
E02001066,43050
E02001067,20000
E02001068,20000
E02001069,28000
E02001070,59975
E02001071,17000
E02001072,58500
E02001073,96850
E02001074,79125
E02001075,34000
E02001076,71475
E02001077,98250
E02001078,65000
E02001079,73500
E02001080,77500
E02001081,99975
E02001082,107000
E02001083,109000
E02001084,90300
E02001085,48000
E02001086,90000
E02001087,132500
E02001088,79000
E02001089,99950
E02001090,85500
E02001091,70750
E02001092,63225
E02001093,75250
E02001094,30000
E02001095,55000
E02001096,67375
E02001097,49950
E02001098,59950
E02001099,53000
E02001100,52950
E02001101,65500
E02001102,54950
E02001103,103500
E02001104,55500
E02001105,67000
E02001106,48950
E02001107,37500
E02001108,30000
E02001109,50000
E02001110,90750
E02001111,29700
E02001112,74725
E02001113,31725
E02001114,46500
E02001115,52250
E02001116,25000
E02001117,88000
E02001118,75000
E02001119,20000
E02001121,26000
E02001123,59972.5
E02001124,30000
E02001125,43250
E02001126,23750
E02001127,47000
E02001128,34685
E02001129,34950
E02001130,65000
E02001131,51000
E02001132,47000
E02001133,62975
E02001134,80000
E02001135,40000
E02001136,59950
E02001137,72950
E02001138,93750
E02001139,32500
E02001140,41975
E02001141,34950
E02001142,103000
E02001143,45000
E02001144,55000
E02001145,56500
E02001146,28450
E02001147,52995
E02001148,44000
E02001149,34975
E02001150,51000
E02001151,44000
E02001152,50500
E02001153,35000
E02001154,36000
E02001155,41000
E02001156,73750
E02001157,31950
E02001158,31500
E02001159,44500
E02001160,43950
E02001161,49975
E02001162,57945
E02001163,61000
E02001164,39950
E02001165,43500
E02001166,54750
E02001167,47000
E02001168,48500
E02001169,99950
E02001170,100000
E02001171,63000
E02001172,20000
E02001173,17325
E02001174,47000
E02001175,41500
E02001176,67000
E02001177,47500
E02001178,65500
E02001179,12500
E02001180,15000
E02001181,46995
E02001182,39497.5
E02001183,36000
E02001184,36000
E02001185,54997.5
E02001186,42725
E02001187,50000
E02001188,44500
E02001189,67000
E02001190,35575
E02001191,75000
E02001192,110000
E02001193,47950
E02001194,118975
E02001195,60000
E02001196,87500
E02001197,95000
E02001198,72750
E02001199,103000
E02001200,47000
E02001201,63225
E02001202,51125
E02001203,150000
E02001204,69950
E02001205,61935
E02001206,81900
E02001207,84975
E02001208,88950
E02001209,56500
E02001210,78500
E02001211,116000
E02001212,54975
E02001213,78475
E02001214,137500
E02001215,93000
E02001216,118975
E02001217,68000
E02001218,167000
E02001219,104000
E02001220,100875
E02001221,124000
E02001222,122500
E02001223,119950
E02001224,123500
E02001225,115000
E02001226,87500
E02001227,140000
E02001228,159500
E02001229,49450
E02001230,76750
E02001231,75000
E02001232,46000
E02001233,45000
E02001234,37500
E02001235,40750
E02001236,40750
E02001237,59950
E02001238,58925
E02001239,41975
E02001240,44950
E02001241,30000
E02001242,56500
E02001243,65000
E02001244,59975
E02001245,53000
E02001246,54250
E02001247,52950
E02001248,40975
E02001249,39850
E02001250,75750
E02001251,66225
E02001252,69975
E02001253,48975
E02001254,46000
E02001255,28500
E02001256,38950
E02001257,57250
E02001258,66000
E02001259,59950
E02001260,82000
E02001261,56000
E02001262,84975
E02001263,94250
E02001264,79750
E02001265,78750
E02001266,67500
E02001267,77500
E02001268,90000
E02001269,74725
E02001270,91750
E02001271,93000
E02001272,104000
E02001273,104000
E02001274,147000
E02001275,48500
E02001276,86725
E02001277,75750
E02001278,124950
E02001279,114225
E02001280,106450
E02001281,126350
E02001282,98000
E02001283,169500
E02001284,196000
E02001285,189750
E02001286,210000
E02001287,68475
E02001288,85950
E02001289,66500
E02001290,71000
E02001291,47500
E02001292,57747.5
E02001293,47500
E02001294,49500
E02001295,30000
E02001296,27500
E02001297,42000
E02001298,32000
E02001299,48995
E02001300,39997.5
E02001301,35000
E02001302,69500
E02001303,39900
E02001304,59995
E02001305,51000
E02001306,52000
E02001307,72500
E02001308,53500
E02001309,43000
E02001310,29625
E02001311,55475
E02001312,33900
E02001313,36995
E02001314,60000
E02001315,67975
E02001316,30000
E02001317,59500
E02001318,64950
E02001319,32500
E02001320,38000
E02001321,59950
E02001322,48000
E02001323,56500
E02001324,53250
E02001325,72000
E02001326,68000
E02001327,36000
E02001328,58247.5
E02001329,47000
E02001330,37000
E02001331,47000
E02001332,47950
E02001333,39974.5
E02001334,27750
E02001335,53975
E02001336,29500
E02001337,68000
E02001338,37005
E02001339,51500
E02001340,59950
E02001341,44000
E02001342,78000
E02001343,94725
E02001344,60000
E02001345,61125
E02001346,55995
E02001347,59950
E02001348,34950
E02001349,41250
E02001350,51995
E02001351,36000
E02001352,33725
E02001353,59950
E02001354,36950
E02001355,30000
E02001356,33497.5
E02001357,37375
E02001358,26000
E02001359,79500
E02001360,28000
E02001361,36750
E02001362,52500
E02001363,44995
E02001364,23950
E02001365,26625
E02001366,35000
E02001367,72000
E02001368,63822.5
E02001369,69500
E02001370,25500
E02001371,45997.5
E02001372,60425
E02001373,37000
E02001374,33375
E02001375,37000
E02001376,19500
E02001377,30750
E02001378,52000
E02001380,75000
E02001381,27625
E02001382,78425
E02001383,58750
E02001384,39000
E02001385,17750
E02001386,39500
E02001387,89000
E02001388,59950
E02001389,55500
E02001390,24450
E02001391,56125
E02001392,97500
E02001393,144000
E02001394,73000
E02001395,72500
E02001396,46875
E02001397,79450
E02001398,68500
E02001399,89500
E02001400,77000
E02001401,74000
E02001402,90950
E02001403,37750
E02001404,60000
E02001405,26475
E02001406,80725
E02001407,77950
E02001408,58950
E02001409,51000
E02001410,54950
E02001411,57375
E02001412,64950
E02001413,51000
E02001414,92330
E02001415,69995
E02001416,31290
E02001417,36000
E02001418,49950
E02001419,31975
E02001420,65000
E02001421,38250
E02001422,27500
E02001423,95000
E02001424,39500
E02001425,49000
E02001426,47500
E02001427,70000
E02001428,85997.5
E02001429,69000
E02001430,94500
E02001431,70000
E02001432,54000
E02001433,51000
E02001434,59997
E02001435,57500
E02001436,66000
E02001437,130000
E02001438,64750
E02001439,68475
E02001440,120000
E02001441,146250
E02001442,95000
E02001443,119725
E02001444,89950
E02001445,80500
E02001446,77222.5
E02001447,81000
E02001448,72750
E02001449,104250
E02001450,105500
E02001451,36750
E02001452,34750
E02001453,79000
E02001454,79950
E02001455,61500
E02001456,65475
E02001457,43500
E02001458,62750
E02001459,57950
E02001460,58625
E02001461,54000
E02001462,27000
E02001463,47472.5
E02001464,23500
E02001465,28500
E02001466,31950
E02001467,48000
E02001468,46000
E02001469,65000
E02001470,65000
E02001471,37250
E02001472,90000
E02001473,42250
E02001474,29000
E02001475,46500
E02001476,30000
E02001477,41997.5
E02001478,55000
E02001479,75500
E02001480,88975
E02001481,51000
E02001482,32000
E02001483,64950
E02001484,62500
E02001485,53000
E02001486,62995
E02001487,27000
E02001488,48500
E02001489,87875
E02001490,66000
E02001491,39950
E02001492,85666
E02001493,26750
E02001494,130950
E02001495,54000
E02001496,89725
E02001497,54950
E02001498,74975
E02001499,88000
E02001500,87000
E02001501,78500
E02001502,55000
E02001503,80000
E02001504,111000
E02001505,56805
E02001506,165000
E02001507,76975
E02001508,64000
E02001509,60800
E02001510,39950
E02001511,49000
E02001512,51000
E02001513,53500
E02001514,33000
E02001515,34000
E02001516,43000
E02001517,55200
E02001518,41750
E02001519,43000
E02001520,59000
E02001521,33000
E02001522,30000
E02001523,36250
E02001524,107975
E02001525,27000
E02001526,32000
E02001527,53250
E02001528,38650
E02001529,39500
E02001530,26857
E02001531,32750
E02001532,66500
E02001533,29950
E02001534,50000
E02001535,121250
E02001536,57500
E02001537,58950
E02001538,53250
E02001539,37725
E02001540,45497.5
E02001541,43000
E02001542,35500
E02001543,37250
E02001544,48225
E02001545,59950
E02001546,54475
E02001547,36250
E02001548,31500
E02001549,56000
E02001550,42950
E02001551,29500
E02001552,39375
E02001553,42000
E02001554,49100
E02001555,53250
E02001556,40000
E02001557,42500
E02001558,68000
E02001559,63500
E02001560,21500
E02001561,27000
E02001562,42500
E02001563,80000
E02001564,85500
E02001565,87000
E02001566,53950
E02001567,39250
E02001568,36500
E02001569,28500
E02001570,34750
E02001571,50950
E02001572,26375
E02001573,36000
E02001574,65450
E02001575,28000
E02001576,101000
E02001577,79995
E02001578,58622.5
E02001579,52000
E02001580,43500
E02001581,47000
E02001582,90222.5
E02001583,31950
E02001584,82950
E02001585,35000
E02001586,45000
E02001587,44500
E02001588,37500
E02001589,65097.5
E02001590,31000
E02001591,32975
E02001592,47475
E02001593,28950
E02001594,31600
E02001595,60000
E02001596,60000
E02001597,28000
E02001598,67000
E02001599,69950
E02001600,76000
E02001601,67375
E02001602,46000
E02001603,50000
E02001604,57000
E02001605,59997.5
E02001606,42750
E02001607,50000
E02001608,59950
E02001609,62362.5
E02001610,68000
E02001611,46000
E02001612,57000
E02001613,58000
E02001614,69950
E02001615,77000
E02001616,55000
E02001617,31500
E02001618,84300
E02001619,34525
E02001620,31995
E02001621,35450
E02001622,45000
E02001623,32000
E02001624,35950
E02001625,31225
E02001626,69000
E02001627,46175
E02001628,30000
E02001629,59500
E02001630,25250
E02001631,54000
E02001632,18000
E02001633,92500
E02001634,62000
E02001635,74950
E02001636,48000
E02001637,26000
E02001638,71500
E02001639,74000
E02001640,82500
E02001642,40450
E02001643,116050
E02001646,110000
E02001647,55950
E02001648,101000
E02001649,37995
E02001650,53000
E02001651,130302.5
E02001652,44000
E02001653,30000
E02001654,56000
E02001655,46250
E02001656,87000
E02001657,95000
E02001658,26500
E02001659,46750
E02001660,71000
E02001661,43000
E02001662,46950
E02001663,48250
E02001664,58500
E02001665,144000
E02001666,44950
E02001669,57200
E02001670,36000
E02001671,78000
E02001672,58000
E02001673,71975
E02001674,78400
E02001675,54950
E02001676,96494
E02001678,175000
E02001679,54950
E02001680,38000
E02001681,95251
E02001682,66000
E02001683,55000
E02001684,32000
E02001685,43375
E02001686,49500
E02001688,42150
E02001689,32500
E02001690,72250
E02001691,27000
E02001692,38000
E02001693,43000
E02001694,52500
E02001695,59987.5
E02001696,41975
E02001697,80000
E02001698,89975
E02001699,51000
E02001700,62725
E02001701,73995
E02001702,47000
E02001703,83000
E02001704,44500
E02001705,29000
E02001706,45000
E02001707,44000
E02001708,65000
E02001709,117000
E02001710,38000
E02001711,47500
E02001712,91500
E02001713,128554
E02001714,116000
E02001715,67500
E02001718,40997.5
E02001719,76000
E02001720,110696
E02001721,45000
E02001722,57250
E02001723,33725
E02001724,99475
E02001725,52975
E02001726,50500
E02001727,58250
E02001728,43000
E02001729,45000
E02001730,80000
E02001731,74995
E02001732,40000
E02001733,33000
E02001734,32000
E02001735,32500
E02001736,25587.5
E02001737,19000
E02001738,112000
E02001739,54000
E02001740,96000
E02001741,68500
E02001742,77000
E02001743,65950
E02001744,64975
E02001745,49950
E02001746,68500
E02001747,84950
E02001748,45500
E02001749,57000
E02001750,89950
E02001751,50500
E02001752,39950
E02001753,74950
E02001754,48500
E02001755,89997.5
E02001756,65950
E02001757,59000
E02001758,48250
E02001759,45000
E02001760,35500
E02001761,41475
E02001762,43950
E02001763,32000
E02001764,40497.5
E02001765,28750
E02001766,30500
E02001767,39950
E02001768,42500
E02001769,37500
E02001770,43475
E02001771,72475
E02001772,39950
E02001773,80000
E02001774,54000
E02001775,53250
E02001776,41000
E02001777,36000
