MSOA11CD,earnings_2011
E02000851,18380.72
E02000852,21242.67
E02000853,19355.74
E02000854,22200.2
E02000855,21914.8
E02000856,20693.7
E02000857,23177.22
E02000858,14651.8
E02000859,19183.91
E02000860,21749.94
E02000861,24498.8
E02000863,19885.32
E02000864,14257.19
E02000865,13408.84
E02000866,17832.62
E02000867,18940.52
E02000868,16423.45
E02000869,16086.14
E02000870,15404.78
E02000871,12070.28
E02000872,15195.45
E02000873,13054.41
E02000874,11461.67
E02000875,11530.13
E02000876,13016.83
E02000877,11177.01
E02000878,14020.84
E02000879,12308.21
E02000880,12557.24
E02000881,11879.46
E02000882,11824.91
E02000883,10807.26
E02000884,15699.72
E02000885,11548.47
E02000886,19699.31
E02000887,12175.39
E02000888,19063.24
E02000889,21086.5
E02000890,37511.11
E02000891,23190.85
E02000893,18037.89
E02000894,26475.04
E02000895,15338.85
E02000896,20704.57
E02000897,15749.76
E02000898,16411.82
E02000899,15699.15
E02000900,14258.7
E02000901,18766.72
E02000902,16499.01
E02000903,12780.23
E02000904,17110.96
E02000905,15703.83
E02000906,15724.7
E02000907,13725.17
E02000908,16608.76
E02000909,18271.97
E02000910,15521.69
E02000911,14369.42
E02000912,13790.87
E02000913,15134.73
E02000914,11658.65
E02000915,17872.17
E02000916,14784.3
E02000917,16385.38
E02000918,16314.46
E02000919,15795.28
E02000920,13698.09
E02000921,13408.41
E02000922,14349.28
E02000923,29210.49
E02000924,19304.79
E02000925,17666.88
E02000926,27869.19
E02000927,24205.72
E02000928,31858.49
E02000929,15725.69
E02000930,30810.27
E02000931,36575.29
E02000932,38576.7
E02000933,29895.04
E02000934,30324.29
E02000935,13326.54
E02000936,30238.53
E02000937,31703.53
E02000938,17988.09
E02000939,30570.69
E02000940,20873.58
E02000941,27100.43
E02000942,28704.32
E02000943,31673.44
E02000944,18231.03
E02000945,13730.03
E02000946,20795.2
E02000947,31263.56
E02000948,29565.75
E02000949,29187.37
E02000950,24511.09
E02000951,25284.24
E02000952,24588.09
E02000953,27766.84
E02000954,20327.17
E02000955,16373.98
E02000956,16850.76
E02000957,18542.82
E02000958,18785.94
E02000959,17857.43
E02000960,25691.66
E02000961,22660.5
E02000962,22522.93
E02000963,13876.61
E02000964,16369.41
E02000965,26367.18
E02000966,29592.79
E02000967,31605.9
E02000968,12583.28
E02000969,13156.22
E02000970,36614.91
E02000971,28788.17
E02000972,27995.6
E02000973,28141.84
E02000974,24099.86
E02000975,33788.93
E02000976,26934.07
E02000977,29724.82
E02000978,31568.56
E02000979,28185.6
E02000980,23634.33
E02000981,31261.44
E02000982,21660.96
E02000983,23852.43
E02000984,19825.19
E02000985,18235.37
E02000986,15737.2
E02000987,13066.2
E02000988,11610.85
E02000989,17032.83
E02000990,16140.39
E02000991,14325.17
E02000992,15822.98
E02000993,10570.36
E02000994,9788.76
E02000995,14777.96
E02000996,10504.46
E02000997,15565.35
E02000998,10024.39
E02000999,9904.52
E02001000,11924.43
E02001001,14542.44
E02001002,13704.94
E02001003,17928.9
E02001004,8566.82
E02001005,10401.11
E02001006,9293.23
E02001007,13528.59
E02001008,8470.98
E02001009,11995.26
E02001010,10903.21
E02001011,16817.76
E02001012,11568.4
E02001013,16487.08
E02001014,13015.86
E02001015,12474.36
E02001016,11221.49
E02001017,14249.92
E02001018,16230.46
E02001019,16945.62
E02001020,18167.01
E02001021,18183.88
E02001022,13740.48
E02001023,16298.34
E02001024,15629.06
E02001025,11914.56
E02001026,10050.94
E02001027,13504.97
E02001028,17428.02
E02001029,11951.35
E02001030,16784.62
E02001031,13921.69
E02001032,13559.69
E02001033,12787.78
E02001034,11742.13
E02001035,16284.96
E02001036,13824.85
E02001037,17410.66
E02001038,14375.84
E02001039,12566.91
E02001040,15882.26
E02001041,14646.65
E02001042,17018.3
E02001043,14486.89
E02001044,13977.26
E02001045,11559.93
E02001046,11037.53
E02001047,11598.93
E02001048,12054.75
E02001049,12192.53
E02001050,10737.12
E02001051,11348.32
E02001052,8408.98
E02001053,9273.94
E02001055,10372.61
E02001056,9288.86
E02001057,11810.73
E02001059,10141.03
E02001061,9675.08
E02001062,8910.81
E02001063,11277.55
E02001064,8929.91
E02001065,11224.42
E02001066,8585.09
E02001067,9252.85
E02001068,8243.44
E02001069,9101.11
E02001070,9629.72
E02001071,8723.72
E02001072,13714.47
E02001073,17793.76
E02001074,10848.05
E02001075,11074.11
E02001076,9983.55
E02001077,17519.36
E02001078,11540.33
E02001079,10211.56
E02001080,10678.39
E02001081,18971.72
E02001082,18523.7
E02001083,20487.75
E02001084,13869.69
E02001085,9866.76
E02001086,16403.84
E02001087,22546.85
E02001088,11976.43
E02001089,16948.42
E02001090,15550.82
E02001091,14389.22
E02001092,12145.94
E02001093,10999.51
E02001094,10097.85
E02001095,11279.74
E02001096,12574.81
E02001097,10603.41
E02001098,15170.5
E02001099,13771.16
E02001100,14218.9
E02001101,15867.13
E02001102,14563.58
E02001103,18457.52
E02001104,14086.32
E02001105,14042.9
E02001106,13524.62
E02001107,13389.76
E02001108,10465.16
E02001109,11904.07
E02001110,19387.19
E02001111,9169.94
E02001112,15878.67
E02001113,7384.5
E02001114,11877.88
E02001115,13737.63
E02001116,10109.21
E02001117,17212.7
E02001118,16896.72
E02001119,7078.38
E02001121,8301.57
E02001123,11496.26
E02001124,10353.48
E02001125,12891.82
E02001126,10353.34
E02001127,10878.56
E02001128,12671.07
E02001129,11592.73
E02001130,13988.24
E02001131,13553.13
E02001132,14174.55
E02001133,15681.41
E02001134,16060.26
E02001135,9782.08
E02001136,13823.03
E02001137,17141.34
E02001138,16750.39
E02001139,8073
E02001140,11223.68
E02001141,9196.02
E02001142,17552.19
E02001143,10109.49
E02001144,14434.44
E02001145,14425.54
E02001146,7851.77
E02001147,11357.61
E02001148,12311.95
E02001149,11374.84
E02001150,11577.5
E02001151,13474.29
E02001152,12446.96
E02001153,10768.07
E02001154,12161.27
E02001155,12768.24
E02001156,15009.53
E02001157,10972.97
E02001158,11819.26
E02001159,13066.57
E02001160,13069.01
E02001161,14099.83
E02001162,13486.41
E02001163,15479.72
E02001164,11777.17
E02001165,13550.24
E02001166,12799.68
E02001167,13081.95
E02001168,13345.32
E02001169,18818.61
E02001170,18511.52
E02001171,14839.01
E02001172,9592.9
E02001173,10007.25
E02001174,14031.64
E02001175,12689.69
E02001176,14332.94
E02001177,12899.73
E02001178,13747.09
E02001179,12652.56
E02001180,10374.36
E02001181,11235.89
E02001182,11443.13
E02001183,13182.16
E02001184,15418.76
E02001185,13027.63
E02001186,12662.48
E02001187,13327.05
E02001188,12785.88
E02001189,13946.87
E02001190,9456.21
E02001191,15144.49
E02001192,18168.73
E02001193,13251.15
E02001194,18945.5
E02001195,14177.28
E02001196,16165.39
E02001197,16317.85
E02001198,12997.56
E02001199,19480.05
E02001200,11734.06
E02001201,14027.54
E02001202,13644.36
E02001203,20885.11
E02001204,14002.05
E02001205,13391.01
E02001206,15251.11
E02001207,15601.57
E02001208,15127.39
E02001209,14547.54
E02001210,12491.35
E02001211,17144.12
E02001212,10736.4
E02001213,15385.47
E02001214,15863.57
E02001215,16670.54
E02001216,17646.86
E02001217,14060.21
E02001218,18998.37
E02001219,16903.95
E02001220,16855.52
E02001221,16737.04
E02001222,14254.26
E02001223,19355.45
E02001224,17018.46
E02001225,18561.14
E02001226,14954.44
E02001227,20295.56
E02001228,19562.69
E02001229,15293.7
E02001230,14693.71
E02001231,14290.9
E02001232,12281.72
E02001233,12071.53
E02001234,10952.95
E02001235,13416.71
E02001236,11903.39
E02001237,13019.75
E02001238,12684.26
E02001239,11740.19
E02001240,13079.07
E02001241,9904.14
E02001242,14118.66
E02001243,15791.98
E02001244,14423.79
E02001245,12934.43
E02001246,11342.29
E02001247,12237.7
E02001248,11782.34
E02001249,13333.4
E02001250,14710.69
E02001251,16748.67
E02001252,14283.74
E02001253,13393.79
E02001254,11937.43
E02001255,10908.14
E02001256,10312.98
E02001257,12480.45
E02001258,14731.18
E02001259,10556.83
E02001260,14568.11
E02001261,13380.72
E02001262,11287.7
E02001263,16006.93
E02001264,13738.5
E02001265,14317
E02001266,13755.64
E02001267,15393
E02001268,15606.89
E02001269,14573.78
E02001270,18578.43
E02001271,14915.65
E02001272,19032.97
E02001273,20210.38
E02001274,17894.09
E02001275,12601.6
E02001276,14167.35
E02001277,13930.66
E02001278,18026.23
E02001279,18587.52
E02001280,13784.39
E02001281,17824.63
E02001282,19033.54
E02001283,19117.19
E02001284,22761.26
E02001285,21386.98
E02001286,18609.68
E02001287,15738.59
E02001288,16073.79
E02001289,15450.84
E02001290,14756.13
E02001291,11938.01
E02001292,16517.27
E02001293,13171.36
E02001294,12829.03
E02001295,10724.36
E02001296,9324.73
E02001297,11770.94
E02001298,10044.37
E02001299,12845.36
E02001300,11451.11
E02001301,11669.5
E02001302,11873.25
E02001303,11979.47
E02001304,15397.05
E02001305,13774.16
E02001306,13684.23
E02001307,15553.22
E02001308,14194.18
E02001309,15023.16
E02001310,11573.88
E02001311,13897.95
E02001312,12225.63
E02001313,12078.09
E02001314,16307.43
E02001315,15845.76
E02001316,12394.25
E02001317,13703.02
E02001318,12954.54
E02001319,11661.54
E02001320,13547.65
E02001321,14020.19
E02001322,14285.18
E02001323,15331.15
E02001324,12864.67
E02001325,16444.84
E02001326,15769.76
E02001327,9950.96
E02001328,13784.7
E02001329,10218.43
E02001330,12111.36
E02001331,11975.35
E02001332,12121.22
E02001333,12400.09
E02001334,10067.7
E02001335,14293.48
E02001336,10855.11
E02001337,13013.75
E02001338,11839.31
E02001339,12059.9
E02001340,14423.77
E02001341,12271.87
E02001342,14842.49
E02001343,16008.22
E02001344,12518.65
E02001345,14895.41
E02001346,12052.6
E02001347,12840.79
E02001348,13197
E02001349,13260.9
E02001350,11206.91
E02001351,10474.17
E02001352,10961.73
E02001353,14936.99
E02001354,11759.99
E02001355,11587.8
E02001356,10715.9
E02001357,10582.08
E02001358,11107.03
E02001359,14659.34
E02001360,11331.22
E02001361,11738.81
E02001362,12658.95
E02001363,11438.53
E02001364,10712.2
E02001365,10976.72
E02001366,12013.07
E02001367,15893.71
E02001368,11915.21
E02001369,12601.65
E02001370,11644.21
E02001371,10965.13
E02001372,13661.32
E02001373,12156.87
E02001374,11639.25
E02001375,12236.6
E02001376,10392.15
E02001377,10243.19
E02001378,13059.05
E02001380,15938.29
E02001381,12365.84
E02001382,16359.74
E02001383,12238.22
E02001384,10230.88
E02001385,8897.5
E02001386,11850.1
E02001387,18501.72
E02001388,15130.83
E02001389,15210.43
E02001390,10752.35
E02001391,11752.5
E02001392,17265.89
E02001393,18902.4
E02001394,15566.89
E02001395,17516.32
E02001396,14409.57
E02001397,16020.09
E02001398,16525.84
E02001399,16696.99
E02001400,13607.01
E02001401,15134.32
E02001402,18812.28
E02001403,12946.17
E02001404,11442.72
E02001405,10412.12
E02001406,16895.29
E02001407,15940.77
E02001408,15565.44
E02001409,13590.71
E02001410,13021.84
E02001411,14082.02
E02001412,15240.27
E02001413,13781.48
E02001414,18799.14
E02001415,13266.36
E02001416,10717.41
E02001417,12775.9
E02001418,12925.75
E02001419,11186.1
E02001420,14029.54
E02001421,14041.96
E02001422,10620.68
E02001423,16902.65
E02001424,13060.87
E02001425,13535.91
E02001426,15145.72
E02001427,13551.62
E02001428,17452.68
E02001429,13938.82
E02001430,15010.28
E02001431,14917.99
E02001432,12755.65
E02001433,13288.91
E02001434,13484.65
E02001435,12857.08
