MSOA11CD,NS-SeC_all_2011,NS-SeC_higher_2011,NS-SeC_higher_2011_pct
E02005702,4794,1972,0.411347518
E02005703,4916,1294,0.263222132
E02005704,9252,2858,0.308906182
E02005705,5557,2110,0.379701278
E02005706,6924,1359,0.19627383
E02005707,5085,1517,0.298328417
E02005708,7832,2218,0.28319714
E02005709,4730,546,0.115433404
E02005710,6313,1458,0.230952004
E02005711,5907,933,0.157948197
E02005712,5202,1207,0.232026144
E02005713,5167,1778,0.344106832
E02005714,4041,1810,0.447908933
E02005715,6291,1304,0.207280242
E02005716,6680,1770,0.26497006
E02005717,5795,1839,0.317342537
E02005718,5268,1628,0.309035687
E02005719,5787,1592,0.275099361
E02005720,9335,2250,0.241028388
E02005721,3803,1280,0.336576387
E02005722,5260,2456,0.466920152
E02005723,4380,1451,0.331278539
E02005724,4458,2290,0.513683266
E02005725,4569,1988,0.43510615
E02005726,5585,2790,0.499552372
E02005727,4897,1594,0.325505411
E02005728,5302,1413,0.266503206
E02005729,4069,1959,0.481445072
E02005730,9357,3622,0.387089879
E02005731,8056,2394,0.297169811
E02005732,6626,3156,0.476305463
E02005733,6086,2281,0.374794611
E02005734,4558,848,0.186046512
E02005735,5845,890,0.152266895
E02005736,5567,1153,0.207113347
E02005737,5357,1456,0.271793915
E02005738,3881,1074,0.276732801
E02005739,6939,1752,0.252485949
E02005740,7578,1466,0.193454737
E02005741,6175,2074,0.335870445
E02002515,5093,1016,0.199489495
E02002516,4111,765,0.18608611
E02002517,3856,662,0.171680498
E02002518,7824,2527,0.322980573
E02002519,5118,1002,0.195779601
E02002520,9741,2986,0.30653937
E02002521,4325,1518,0.350982659
E02002523,4506,410,0.090989791
E02002524,4024,771,0.191600398
E02002525,6203,1170,0.18861841
E02002526,5532,1279,0.231200289
E02002527,3748,503,0.134204909
E02002529,4354,920,0.211299954
E02002530,4862,967,0.198889346
E02002532,4493,1012,0.225239261
E02002533,4223,1606,0.380298366
E02002534,4343,1758,0.404789316
E02006812,5434,1238,0.227824807
E02006910,7387,1396,0.188980642
E02002535,7740,2515,0.324935401
E02002536,6825,1491,0.218461538
E02002537,6366,912,0.143261074
E02002538,4240,880,0.20754717
E02002539,6660,2779,0.417267267
E02002540,4725,1747,0.36973545
E02002541,4683,1217,0.259876148
E02002542,5873,796,0.135535501
E02002543,5759,1054,0.183017885
E02002544,6420,1029,0.160280374
E02002545,4170,1166,0.279616307
E02002546,5501,939,0.170696237
E02002547,4604,1533,0.332971329
E02002548,8467,1254,0.148104405
E02002549,5782,1928,0.333448634
E02002550,4605,1533,0.332899023
E02002551,5027,664,0.132086732
E02002552,4990,953,0.190981964
E02002553,4262,905,0.212341624
E02002554,3998,604,0.151075538
E02002555,7278,2906,0.399285518
E02002556,5425,2186,0.402949309
E02002557,9720,4291,0.441460905
E02002558,7534,3478,0.461640563
E02001682,5759,1932,0.335474909
E02001683,6855,2268,0.330853392
E02001684,5162,1119,0.216776443
E02001685,5894,1298,0.220223957
E02001686,5315,1504,0.282972719
E02001688,5972,1385,0.231915606
E02001689,5986,1271,0.212328767
E02001690,5617,1711,0.304611002
E02001691,6333,1733,0.273645981
E02001692,4677,696,0.148813342
E02001693,4076,755,0.185230618
E02001694,4859,1208,0.248610825
E02001695,4758,1400,0.294241278
E02001696,6530,1143,0.175038285
E02001697,5750,2241,0.38973913
E02001698,5279,2151,0.407463535
E02001699,5110,1026,0.200782779
E02001700,7930,2296,0.289533417
E02001701,4681,1859,0.397137364
E02001702,5728,830,0.144902235
E02001703,4128,1447,0.350532946
E02001704,5294,1011,0.19097091
E02001705,5206,1307,0.251056473
E02001706,4880,1087,0.222745902
E02001707,6101,1447,0.237174234
E02006841,6325,1909,0.301818182
E02006842,3874,1109,0.286267424
E02001708,7326,2394,0.326781327
E02001709,7198,3772,0.524034454
E02001710,7002,1433,0.204655813
E02001711,6779,1481,0.218468801
E02001712,7482,3828,0.511627907
E02001713,7610,4013,0.527332457
E02001714,7236,3238,0.447484798
E02001715,7980,2077,0.260275689
E02001718,4026,653,0.162195728
E02001719,7158,2581,0.36057558
E02001720,8855,2081,0.23500847
E02001721,7538,1888,0.250464314
E02001722,6678,1352,0.202455825
E02001723,4521,1127,0.249281132
E02001724,8360,2343,0.280263158
E02001725,9071,2312,0.254878183
E02001726,8561,1606,0.187594907
E02001727,6367,1292,0.202921313
E02001728,7125,1603,0.224982456
E02001729,9689,1635,0.168748065
E02001730,11769,2093,0.177840088
E02001731,10595,1983,0.187163756
E02001732,3604,626,0.173695893
E02001733,8931,1517,0.169857799
E02001734,5440,967,0.177757353
E02001735,4553,420,0.09224687
E02001736,9163,1219,0.133035032
E02001737,4339,475,0.109472229
E02006893,7908,2327,0.294258978
E02001738,4018,1971,0.490542558
E02001739,5652,1263,0.223460722
E02001740,4142,2189,0.528488653
E02001741,4947,1604,0.324236911
E02001742,4376,1940,0.443327239
E02001743,5761,2358,0.40930394
E02001744,4756,1569,0.329899075
E02001745,4757,1150,0.241749001
E02001746,5935,2122,0.357540017
E02001747,4405,1755,0.398410897
E02001748,5421,1675,0.308983582
E02001749,4642,1508,0.324859974
E02001750,4790,1798,0.375365344
E02001751,4310,1203,0.279118329
E02001752,4509,887,0.196717676
E02001753,4753,2189,0.460551231
E02001754,4461,2035,0.456175745
E02001755,5810,2258,0.388640275
E02001756,6873,1866,0.271497163
E02001757,4377,1139,0.260223898
E02001758,4368,1099,0.251602564
E02001759,4879,1668,0.341873335
E02001760,5513,792,0.143660439
E02001761,4014,865,0.215495765
E02001762,4419,1119,0.253224711
E02001763,4579,742,0.162044114
E02001764,5633,1262,0.224036925
E02001765,5165,1010,0.195546951
E02001766,5274,1295,0.245544179
E02001767,5350,1228,0.22953271
E02001768,6302,1614,0.256109172
E02001769,5648,907,0.160587819
E02001770,5003,1540,0.307815311
E02001771,4479,1001,0.223487386
E02001772,3980,1028,0.258291457
E02001773,4080,1425,0.349264706
E02001774,4236,872,0.20585458
E02001775,3982,664,0.166750377
E02001776,6308,1405,0.222733037
E02001777,4757,1298,0.272861047
E02001778,4647,922,0.198407575
E02001779,4043,644,0.159287658
E02001780,3830,849,0.221671018
E02001781,3877,516,0.133092597
E02001782,6145,1185,0.192839707
E02001783,4703,621,0.132043377
E02001784,4963,945,0.190409027
E02001785,5709,1580,0.276755999
E02001786,5137,910,0.177146194
E02001787,4213,958,0.227391408
E02001788,4456,1091,0.24483842
E02001789,4249,2021,0.475641327
E02001790,4234,1573,0.371516297
E02001791,4260,1351,0.31713615
E02001792,5170,1874,0.362475822
E02001793,6018,681,0.113160518
E02001794,6243,815,0.130546212
E02001795,5604,899,0.160421128
E02001796,7193,1786,0.248296955
E02001797,4507,1433,0.317949856
E02001798,6001,881,0.146808865
E02001799,7209,1015,0.140796227
E02001800,5519,1315,0.238267802
E02001801,5072,832,0.164037855
E02001802,4573,527,0.115241636
E02001803,7321,1334,0.182215544
E02001804,4746,878,0.184997893
E02001805,4317,1094,0.253416725
E02001806,6486,1046,0.161270429
E02001807,5459,1267,0.23209379
E02001808,4461,1174,0.263169693
E02001809,5005,1328,0.265334665
E02001810,6720,1679,0.24985119
E02001811,6694,1042,0.155661787
E02001812,7829,3012,0.384723464
E02001813,7320,841,0.11489071
E02001814,4717,1047,0.221963112
E02001815,8031,2837,0.353256132
E02001816,4999,842,0.168433687
E02001817,4569,812,0.177719413
E02001818,6159,1437,0.233317097
E02001819,5270,1891,0.358823529
E02001820,6196,1479,0.238702389
E02001821,4557,1223,0.268378319
E02001822,5719,1521,0.265955587
E02001823,5230,987,0.188718929
E02001824,6186,1567,0.253313935
E02001825,5368,1175,0.218889717
E02001826,4824,761,0.157752902
E02002615,6612,1781,0.269358742
E02002616,5905,1887,0.319559695
E02002617,5789,655,0.113145621
E02002618,5048,807,0.159865293
E02002619,6042,894,0.14796425
E02002620,6035,800,0.132560066
E02002621,5607,547,0.097556626
E02002622,6898,763,0.110611772
E02002623,7250,1287,0.177517241
E02002624,5951,2241,0.376575365
E02002625,6990,1603,0.229327611
E02002626,5168,1112,0.215170279
E02002627,5666,1870,0.330038828
E02002628,5150,1240,0.240776699
E02002629,4152,690,0.166184971
E02002630,4433,987,0.222648319
E02002631,6843,2054,0.300160748
E02002632,4878,2239,0.45899959
E02002633,5382,1417,0.263285024
E02002634,5956,1488,0.249832102
E02002635,5707,1554,0.272297179
E02002636,6068,1452,0.239288069
E02002637,4522,1160,0.256523662
E02002638,5063,811,0.16018171
E02002639,4098,517,0.126159102
E02002640,5306,652,0.122879759
E02002641,6040,1717,0.284271523
E02002642,5524,744,0.134685011
E02002643,5535,1059,0.191327913
E02002644,5868,1661,0.283060668
E02002645,4705,541,0.11498406
E02002646,5121,957,0.186877563
E02002647,5875,974,0.165787234
E02002648,5246,1019,0.194243233
E02002649,6172,1571,0.254536617
E02002650,5825,1471,0.252532189
E02002651,5800,1423,0.245344828
E02003811,4317,1975,0.45749363
E02003812,4019,1936,0.481711869
E02003813,4687,1526,0.325581395
E02003814,5383,1807,0.33568642
E02003815,4933,1253,0.254003649
E02003816,5122,1658,0.323701679
E02003817,5063,2020,0.398972941
E02003818,4290,1998,0.465734266
E02003819,4248,1709,0.402306968
E02003820,5018,1963,0.39119171
E02003821,4062,1358,0.33431807
E02003822,8132,2952,0.36301033
E02003823,4725,1787,0.378201058
E02003824,3798,1649,0.434175882
E02003825,5087,1559,0.306467466
E02003826,5208,872,0.167434716
E02003827,6325,975,0.154150198
E02003828,4698,853,0.181566624
E02003829,5084,1073,0.211054288
E02003830,5436,1101,0.202538631
E02003831,6758,2712,0.40130216
E02003832,4560,955,0.209429825
E02003833,4578,1202,0.26256007
E02003834,4969,1096,0.220567519
E02003835,5898,2532,0.429298067
E02003836,4981,1710,0.343304557
E02003837,8812,3935,0.446550159
E02003838,4549,1540,0.338535942
E02003839,5071,1898,0.374285151
E02003840,7376,2908,0.394251627
E02003853,4289,1882,0.438796922
E02003854,4575,2034,0.444590164
E02003855,4731,2164,0.457408582
E02003856,7510,2780,0.370173103
E02003857,4742,2199,0.463728385
E02003858,4634,2672,0.576607682
E02003859,8731,3769,0.43168022
E02003860,4815,2577,0.535202492
E02003861,4541,1846,0.406518388
E02003862,3510,1901,0.541595442
E02003863,4722,2621,0.555061415
E02003864,5569,2921,0.524510684
E02003865,5638,2424,0.429939695
E02003866,4338,2223,0.512448133
E02003867,5503,2288,0.415773215
E02003868,6105,2012,0.32956593
E02003869,5247,2238,0.426529445
E02003870,7966,2942,0.369319608
E02003871,5061,1361,0.268919186
E02003872,7111,3255,0.457741527
E02003873,4428,1101,0.248644986
E02003794,6404,2470,0.38569644
E02003795,4015,1643,0.409215442
E02003796,5028,1660,0.330151154
E02003797,6939,3177,0.457846952
E02003798,4400,711,0.161590909
E02003799,5097,922,0.18089072
E02003800,4493,2081,0.463164923
E02003801,5022,1989,0.396057348
E02003802,6661,2499,0.375168894
E02003803,7849,2006,0.255573958
E02003804,5102,2218,0.434731478
E02003805,4476,2155,0.481456658
E02003806,4259,1915,0.449636065
E02003807,5945,3034,0.510344828
E02003808,4784,1346,0.281354515
E02003809,5407,2202,0.407249861
E02003810,5824,2285,0.392342033
E02003841,5562,2180,0.391945343
E02003842,3957,1940,0.490270407
E02003843,4367,1075,0.246164415
E02003844,5079,1861,0.366410711
E02003845,5959,1075,0.180399396
E02003846,4641,824,0.177547942
E02003847,7278,2738,0.376202253
E02003848,3620,735,0.203038674
E02003849,4990,795,0.159318637
E02003850,4012,1026,0.255732802
E02003851,4324,1437,0.332331175
E02003852,5203,1634,0.314049587
E02003874,6539,2801,0.428352959
E02003875,4889,2136,0.436899161
E02003876,4142,1183,0.285610816
E02003877,6705,3032,0.452199851
E02003878,5925,1972,0.332827004
E02003879,4613,1228,0.266204206
E02003880,4598,1278,0.277946933
E02003881,4648,1299,0.279475043
E02003882,6911,1603,0.231949067
E02003883,7166,3646,0.508791515
E02003884,5732,2753,0.480286113
E02003885,4115,1721,0.418226002
E02003886,4750,1023,0.215368421
E02003887,4653,1408,0.302600473
E02003888,4540,879,0.193612335
E02003889,3919,765,0.195202858
E02003890,4468,1087,0.243285586
E02003891,4145,1831,0.441737033
E02002574,5340,1926,0.360674157
E02002575,7314,3055,0.417692097
E02002576,5445,1088,0.199816345
E02002577,5372,842,0.156738645
E02002578,5676,1260,0.221987315
E02002579,5614,927,0.165122907
E02002580,5509,781,0.141768016
E02002581,5604,1505,0.268558173
E02002582,6142,2604,0.423966135
E02002583,5036,704,0.139793487
E02002584,5391,1191,0.220923762
E02002585,7818,1865,0.238552059
E02002586,6881,971,0.14111321
E02002587,5020,951,0.189442231
E02002588,5481,814,0.148513045
E02002589,5065,1683,0.332280355
E02002590,5551,2125,0.382813907
E02002591,4629,1810,0.391013178
E02002592,4677,1585,0.338892452
E02002593,4026,1476,0.36661699
E02002594,4199,1263,0.300785901
E02002595,5514,785,0.142364889
E02002596,6708,2176,0.32438879
E02002597,6375,1076,0.168784314
E02002598,5752,2741,0.476529903
E02002599,8064,3476,0.431051587
E02002600,6682,1334,0.199640826
E02002601,5814,1730,0.29755762
E02002602,5283,965,0.182661367
E02002603,5477,1761,0.321526383
E02002604,5755,2162,0.375673328
E02002605,6906,2109,0.30538662
E02002606,7922,1912,0.241353194
E02002607,7639,1946,0.254745386
E02002608,6250,2099,0.33584
E02002609,6015,1279,0.212635079
E02002610,8879,4511,0.508052709
E02002611,5584,2455,0.439648997
E02002612,6593,3040,0.461095101
E02002613,4766,2338,0.49055812
E02002614,4401,2450,0.556691661
E02003965,7911,1796,0.22702566
E02003966,5255,1818,0.345956232
E02003967,6177,1537,0.248826291
E02003968,6446,1479,0.229444617
E02003969,4855,621,0.127909372
E02003970,5700,2385,0.418421053
E02003971,5861,2312,0.394471933
E02003972,6866,1693,0.246577338
E02003973,6411,908,0.141631571
E02003974,5688,1126,0.197960619
E02003975,4833,1509,0.31222843
E02003976,4975,1550,0.311557789
E02003977,4729,1338,0.282935081
E02003978,4427,1168,0.263835555
E02003979,5486,2055,0.374589865
E02003980,5003,760,0.151908855
E02003981,5097,1575,0.309005297
E02003982,5648,1876,0.332152975
E02003983,5657,944,0.166872901
E02003984,5064,769,0.15185624
E02003985,4917,1146,0.233068944
E02003986,5075,1141,0.224827586
E02003987,4617,1059,0.229369721
E02003988,4749,1463,0.308064856
E02003989,5518,1752,0.317506343
E02003990,7057,2548,0.36105994
E02003991,5837,1639,0.280794929
E02003992,6878,1715,0.24934574
E02003993,6430,2518,0.391601866
E02003994,5458,1115,0.204287285
E02003995,6870,1106,0.160989811
E02003996,7661,1664,0.21720402
E02003997,6713,1037,0.154476389
E02003998,4838,775,0.160190161
E02003999,6905,2203,0.319044171
E02004000,4085,1001,0.24504284
E02004001,4258,1141,0.267966181
E02004002,7633,2541,0.332896633
E02004003,9116,2393,0.262505485
E02004004,6823,1145,0.167814744
E02004005,6055,1512,0.249710983
E02004006,6767,2745,0.405645042
E02004007,7965,1950,0.244821092
E02004008,4842,1635,0.337670384
E02004009,4595,1514,0.329488575
E02004010,5185,1045,0.201542912
E02004011,7060,2033,0.28796034
E02004012,4208,1494,0.355038023
E02004013,7246,2057,0.283880762
E02004014,5599,1587,0.283443472
E02004015,4797,1494,0.311444653
E02004016,6153,1862,0.30261661
E02004017,6297,1954,0.310306495
E02004018,5952,1821,0.305947581
E02004019,5777,1925,0.333217933
E02004020,6048,2016,0.333333333
E02004021,3998,1488,0.372186093
E02004022,4323,1662,0.384455239
E02004023,4407,1576,0.357612889
E02004024,5265,2180,0.414055081
E02004025,5708,2134,0.373861247
E02004026,5874,1938,0.329928498
E02004027,5449,1967,0.360983667
E02004028,5783,2235,0.386477607
E02000984,5891,2726,0.462739773
E02000985,5517,2466,0.446982055
E02000986,6097,2229,0.365589634
E02000987,5161,1448,0.280565782
E02000988,6058,1364,0.225156817
E02000989,6057,2345,0.387155357
E02000990,5788,2208,0.381478922
E02000991,5666,1724,0.304271091
E02000992,4326,1562,0.361072584
E02000993,5092,864,0.169677926
E02000994,5503,762,0.138469925
E02000995,5638,1928,0.341965236
E02000996,5392,809,0.150037092
E02000997,4194,1531,0.365045303
E02000998,6225,983,0.157911647
E02000999,5481,746,0.13610655
E02001000,6833,1329,0.194497293
E02001001,5764,1943,0.337092297
E02001002,7094,1679,0.236678884
E02001003,5382,2447,0.454663694
E02001004,5708,639,0.111948143
E02001005,5596,970,0.173338099
E02001006,5376,797,0.148251488
E02001007,7708,1871,0.242734821
E02001008,5334,636,0.119235096
E02001009,4843,1007,0.20792897
E02001010,4232,738,0.174385633
E02001011,7480,2870,0.38368984
E02001012,5509,1130,0.205118896
E02001013,4385,1674,0.381755986
E02001014,6114,1557,0.254661433
E02001015,5778,1123,0.194357909
E02001016,5757,906,0.157373632
E02001017,8026,2084,0.259656118
E02001018,5718,2037,0.356243442
E02001019,6735,2613,0.387973274
E02001020,4280,1962,0.458411215
E02001021,5763,2662,0.461912199
E02001022,5667,1666,0.293982707
E02001023,4289,1547,0.360690138
E02001024,6031,2123,0.352014591
E02001025,5405,1079,0.199629972
E02001026,6473,1022,0.157886606
E02001027,5041,1387,0.275143821
E02001028,5493,2248,0.409248134
E02001029,5035,1037,0.205958292
E02001030,4331,1593,0.367813438
E02001031,4809,1388,0.288625494
E02001032,5547,1373,0.247521183
E02001033,4104,923,0.224902534
E02001034,5758,1066,0.185133727
E02001035,5225,1918,0.36708134
E02001036,5320,1490,0.280075188
E02001037,5106,2277,0.445945946
E02001038,4139,1274,0.307803817
E02001039,5834,1304,0.223517312
E02001040,4506,1599,0.354860186
E02001041,5592,1788,0.319742489
E02001042,4644,1844,0.39707149
E02001043,3926,1378,0.350993377
E02001044,5634,2063,0.366169684
E02001045,5618,937,0.166785333
E02001046,6696,1253,0.187126643
E02001047,7115,1354,0.190302178
E02001048,5973,1428,0.239075841
E02001049,7108,1539,0.216516601
E02001050,5331,872,0.163571563
E02001051,5822,988,0.169701134
E02001052,8678,1380,0.159022816
E02001053,7104,749,0.105433559
E02001055,6248,881,0.141005122
E02001056,5550,652,0.117477477
E02001057,6514,1640,0.251765428
E02001059,7115,1225,0.172171469
E02001061,6312,936,0.148288973
E02001062,7721,937,0.121357337
E02001063,9216,1620,0.17578125
E02001064,6242,848,0.135853893
E02001065,6292,1109,0.176255563
E02001066,9957,1065,0.106959928
E02001067,6350,912,0.143622047
E02001068,6198,803,0.129557922
E02001069,8509,1197,0.14067458
E02001070,10110,1342,0.132739862
E02001071,9094,1379,0.151638443
E02001072,6670,2381,0.356971514
E02001073,7596,3709,0.488283307
E02001074,8435,2043,0.242205098
E02001075,6103,1489,0.243978371
E02001076,10505,1065,0.101380295
E02001077,5966,2843,0.476533691
E02001078,7488,1963,0.262152778
E02001079,6883,1358,0.19729769
E02001080,8458,1440,0.170253015
E02001081,4728,2515,0.531937394
E02001082,5772,2540,0.44005544
E02001083,6719,3609,0.537133502
E02001084,6910,2414,0.34934877
E02001085,5748,1030,0.179192763
E02001086,4929,2130,0.432136336
E02001087,7423,4483,0.60393372
E02001088,6312,1492,0.236375158
E02001089,5927,2565,0.432765311
E02001090,5106,1896,0.37132785
E02001091,6090,1813,0.297701149
E02001092,6048,1351,0.22337963
E02001093,6558,1440,0.21957914
E02001094,6258,829,0.132470438
E02001095,5925,1107,0.186835443
E02001096,5459,1080,0.197838432
E02001097,5826,989,0.169756265
E02006902,5496,2277,0.41430131
E02006912,8547,2859,0.334503335
E02006913,5172,1390,0.268754834
E02006914,6695,1152,0.172068708
E02006915,6352,1121,0.176479849
E02006916,5034,2027,0.402661899
E02006917,4921,2726,0.553952449
E02001098,4560,1383,0.303289474
E02001099,4577,1172,0.256062923
E02001100,4468,1436,0.321396598
E02001101,4501,1491,0.33125972
E02001102,4637,1354,0.291999137
E02001103,4130,1861,0.450605327
E02001104,5030,1368,0.271968191
E02001105,4433,1273,0.287164448
E02001106,4397,1161,0.264043666
E02001107,4329,1120,0.258720259
E02001108,3541,518,0.14628636
E02001109,5357,1108,0.206832182
E02001110,4811,2234,0.464352525
E02001111,4484,506,0.112845674
E02001112,4588,1597,0.348081953
E02001113,6008,592,0.098535286
E02001114,5657,1323,0.233869542
E02001115,4393,1248,0.284088322
E02001116,4384,731,0.166742701
E02001117,4321,1854,0.429067346
E02001118,4623,1781,0.385247675
E02001119,6837,604,0.08834284
E02001121,4315,505,0.117033604
E02001123,4458,857,0.192238672
E02001124,3994,604,0.15122684
E02001125,5876,1363,0.231960517
E02001126,5186,741,0.14288469
E02001127,4898,748,0.152715394
E02001128,5493,1098,0.19989077
E02001129,4193,797,0.190078703
E02001130,4301,1191,0.276912346
E02001131,3826,923,0.241244119
E02006860,9159,1251,0.136586964
E02001132,4729,1425,0.301332206
E02001133,4621,1547,0.334776023
E02001134,4678,1775,0.379435656
E02001135,5073,704,0.138773901
E02001136,6804,1980,0.291005291
E02001137,4663,1809,0.387947673
E02001138,6548,2704,0.412950519
E02001139,6213,738,0.118783197
E02001140,5315,1163,0.218814675
E02001141,8782,1148,0.130721931
E02001142,4257,1860,0.436927414
E02001143,7296,1211,0.16598136
E02001144,4549,1260,0.276983953
E02001145,5366,1637,0.305068953
E02001146,6193,790,0.127563378
E02001147,6407,1280,0.199781489
E02001148,7272,1654,0.227447745
E02001149,7078,1215,0.171658661
E02001150,6204,1179,0.190038685
E02001151,6996,1921,0.274585477
E02001152,6658,1410,0.211775308
E02001153,7133,1145,0.16052152
E02001154,7675,1591,0.207296417
E02001155,5316,1209,0.227426637
E02001156,6916,2254,0.325910931
E02001157,4917,669,0.136058572
E02001158,4207,670,0.159258379
E02001159,4131,959,0.23214718
E02001160,4301,843,0.19600093
E02001161,4378,1109,0.253312015
E02001162,4279,928,0.216873101
E02001163,6973,2227,0.319374731
E02001164,5393,1051,0.194882255
E02001165,4445,1118,0.25151856
E02001166,4029,1284,0.318689501
E02001167,4605,1171,0.254288817
E02001168,6797,1830,0.269236428
E02001169,7852,3570,0.454661233
E02001170,6968,3276,0.470149254
E02001171,4126,1236,0.299563742
E02001172,8101,1372,0.169361807
E02001173,6519,608,0.093265838
E02001174,4292,1336,0.311276794
E02001175,5013,1155,0.230400958
E02001176,8180,2843,0.347555012
E02001177,8615,2264,0.262797446
E02001178,9529,2861,0.300241368
E02001179,4442,992,0.223322828
E02001180,4710,457,0.097027601
E02001181,4126,742,0.179835191
E02001182,4439,806,0.181572426
E02001183,4510,964,0.213747228
E02001184,8834,3151,0.356690061
E02001185,7193,1594,0.221604338
E02001186,7213,1677,0.232496881
E02001187,5337,1268,0.237586659
E02001188,5703,1335,0.234087322
E02001189,6260,1860,0.297124601
E02001190,4580,474,0.10349345
E02001191,4362,1424,0.326455754
E02001192,4813,2251,0.467691668
E02001193,4621,1168,0.252759143
E02001194,4150,2101,0.50626506
E02001195,5562,1533,0.27562028
E02001196,5416,2083,0.384601182
E02001197,4497,1791,0.39826551
E02001198,5257,1388,0.264028914
E02001199,5844,2843,0.486481862
E02001200,4988,915,0.183440257
E02001201,4289,1135,0.26463045
E02001202,4604,1337,0.290399652
E02001203,4252,2254,0.530103481
E02001204,6595,2070,0.313874147
E02001205,5878,1521,0.258761483
E02001206,4886,1922,0.393368809
E02001207,5251,1798,0.342410969
E02001208,5412,1881,0.347560976
E02001209,5709,1965,0.344193379
E02001210,4861,1102,0.226702325
E02001211,4118,1860,0.451675571
E02001212,4388,850,0.193710119
E02001213,6628,2555,0.385485818
E02001214,5197,2104,0.404848951
E02001215,4211,1713,0.406791736
E02001216,5222,2311,0.442550747
E02001217,4753,1478,0.310961498
E02001218,4137,1985,0.479816292
E02001219,3969,1591,0.400856639
E02001220,4062,1649,0.405957656
E02001221,4282,1755,0.409855208
E02001222,4421,1504,0.340194526
E02001223,4917,2483,0.504982713
E02001224,4083,1625,0.397991673
E02001225,5139,2369,0.460984627
E02001226,4943,1680,0.33987457
E02001227,3987,2088,0.523702032
E02001228,3726,1941,0.520933977
