MSOA11CD,NS-SeC_all_2011,NS-SeC_higher_2011,NS-SeC_higher_2011_pct
E02002559,6521,2786,0.427235087
E02002560,4462,1155,0.258852532
E02002561,4342,1328,0.305849839
E02002562,4473,826,0.184663537
E02002563,3912,911,0.232873211
E02002564,6715,1431,0.213104989
E02002565,4189,1155,0.275722129
E02002566,5282,1165,0.220560394
E02002567,5097,840,0.164802825
E02002568,4113,2175,0.528811087
E02002569,6327,2834,0.447921606
E02002570,5939,1133,0.190772857
E02002571,4611,819,0.177618738
E02002572,4512,985,0.218306738
E02002573,6140,2453,0.399511401
E02004290,4631,1478,0.319153531
E02004291,5082,1090,0.214482487
E02004292,5848,2079,0.355506156
E02004293,6822,1447,0.212107886
E02004294,6437,2610,0.405468386
E02004295,5554,1761,0.317068779
E02004296,6107,1581,0.258883249
E02004297,6027,1990,0.330180853
E02004298,7218,2669,0.369770019
E02004299,6260,1579,0.252236422
E02004300,5645,1094,0.193799823
E02004301,6437,987,0.153332298
E02004302,5811,999,0.171915333
E02004303,8566,2328,0.271772122
E02004304,6437,1476,0.229299363
E02004305,6317,1533,0.242678487
E02004306,4339,1639,0.377736806
E02004307,4828,1364,0.282518641
E02004308,6351,2391,0.376476145
E02004309,4288,1514,0.353078358
E02004310,6046,1703,0.281673834
E02004311,6779,2088,0.308010031
E02004312,5702,2266,0.39740442
E02004313,5215,1101,0.211121764
E02004314,11476,1171,0.102039038
E02004315,7884,3423,0.434170472
E02004316,4325,1060,0.245086705
E02004317,5713,1382,0.241904428
E02004318,4546,1605,0.353057633
E02004319,5571,1520,0.272841501
E02004320,6646,1951,0.293560036
E02004321,6259,1244,0.198753795
E02004322,6079,833,0.137029117
E02004323,5957,1222,0.205136814
E02004324,4287,988,0.230464194
E02004325,6195,791,0.127683616
E02004326,4530,776,0.171302428
E02004327,4673,638,0.136528996
E02004328,5334,904,0.169478815
E02004329,5177,1482,0.286266177
E02004330,4406,794,0.180208806
E02004331,5199,932,0.179265243
E02004332,5419,1339,0.24709356
E02004333,5467,1537,0.281141394
E02004334,5497,1191,0.216663635
E02004335,4590,688,0.149891068
E02004336,5096,930,0.182496075
E02004337,6757,1679,0.248483055
E02004338,5015,930,0.185443669
E02004339,5104,2237,0.438283699
E02004340,7518,1209,0.160814046
E02004341,6416,2326,0.362531172
E02004342,4086,551,0.13485071
E02004343,3937,746,0.189484379
E02004344,5165,1196,0.231558567
E02004345,9483,2679,0.282505536
E02004346,3969,1334,0.336104812
E02004347,5193,1475,0.284036203
E02004348,6082,1954,0.321275896
E02004349,6653,1276,0.191793176
E02004350,7275,1898,0.260893471
E02004351,5149,884,0.171683822
E02004352,5681,1240,0.218271431
E02004353,5494,1670,0.303967965
E02004354,6530,1599,0.244869832
E02004355,5216,771,0.147814417
E02002483,6621,1947,0.294064341
E02002484,7338,1017,0.138593622
E02002485,5674,826,0.145576313
E02002487,4131,708,0.171387073
E02002488,4500,1668,0.370666667
E02002489,5639,1083,0.192055329
E02002490,4610,777,0.168546638
E02002491,4514,676,0.149756314
E02002492,4812,916,0.19035744
E02002493,4763,1439,0.302120512
E02002494,5425,702,0.129400922
E02006909,8777,3146,0.358436824
E02002496,9074,732,0.080670046
E02002497,4450,459,0.103146067
E02002498,6642,657,0.098915989
E02002499,4913,467,0.095053939
E02002500,4325,975,0.225433526
E02002501,3878,645,0.166322847
E02002502,6791,688,0.101310558
E02002503,4677,691,0.147744281
E02002504,7022,2114,0.301053831
E02002505,4272,396,0.092696629
E02002506,4131,630,0.152505447
E02002507,4394,1419,0.322940373
E02002508,3624,1087,0.299944812
E02002509,3976,861,0.216549296
E02002510,4330,1151,0.265819861
E02002512,3817,1600,0.419177364
E02002513,6418,1316,0.205048302
E02002514,6696,1823,0.272252091
E02006811,7121,2847,0.399803398
