MSOA11CD,median_price_2011
E02004297,113750
E02004290,133000
E02004298,140000
E02004299,98000
E02004291,77000
E02004300,71000
E02004292,125000
E02004301,68500
E02004302,59000
E02004303,86995
E02004293,92000
E02004304,82750
E02004294,155000
E02004305,94295
E02004295,119000
E02004320,120000
E02004321,82000
E02004322,66250
E02004296,94750
E02004306,122250
E02004323,89975
E02004308,145000
E02004309,151250
E02004307,85000
E02004324,74750
E02004310,90500
E02004311,107250
E02004312,130000
E02004313,93000
E02004314,176000
E02004316,85250
E02004325,67248
E02004315,215000
E02004326,70500
E02004328,73000
E02004327,52500
E02004329,129000
E02004317,103995
E02004330,72750
E02004331,70225
E02004318,106995
E02004348,150000
E02004332,82000
E02004319,124998
E02004349,65000
E02004350,100500
E02004333,112750
E02004334,81000
E02004335,75000
E02004336,78000
E02004351,97500
E02004337,147250
E02004338,66000
E02004339,148000
E02004352,83500
E02004353,95000
E02004354,95000
E02004355,85750
E02004340,55975
E02004341,131000
E02004342,60000
E02004343,83000
E02004344,102500
E02004345,113750
E02004346,179000
E02004347,146050
E02002559,162000
E02002560,114750
E02002561,114500
E02002562,76250
E02002563,110000
E02002564,117000
E02002565,94000
E02002566,71000
E02002567,94500
E02002568,187000
E02002569,178000
E02002570,71000
E02002571,100000
E02002572,82000
E02002573,148750
E02001682,170000
E02001683,110000
E02001684,95000
E02001685,126498
E02001686,112038
E02001688,113000
E02001689,84000
E02001690,125000
E02001691,75000
E02001692,77500
E02001693,90000
E02001694,104000
E02001695,120750
E02001696,90000
E02001697,150000
E02001698,174950
E02001699,94500
E02001700,120000
E02001701,159000
E02001702,90500
E02001703,146250
E02001704,90000
E02001705,89500
E02001706,149950
E02001707,106750
E02006841,107500
E02006842,90000
E02002483,150000
E02002484,75000
E02002485,77000
E02002487,62000
E02002488,145000
E02002489,73500
E02002490,64500
E02002491,85000
E02002492,97750
E02002493,129000
E02002494,68000
E02006909,153500
E02002496,90000
E02002497,62750
E02002498,58000
E02002499,59750
E02002500,109500
E02002501,92750
E02002502,65000
E02002503,85500
E02002504,116000
E02002505,62000
E02002506,75000
E02002507,126000
E02002508,125000
E02002509,87500
E02002510,123000
E02002512,175500
E02002513,120000
E02002514,137000
E02006811,145000
E02001708,190000
E02001709,230000
E02001710,100000
E02001711,134500
E02001712,206000
E02001713,235250
E02001714,170000
E02001715,105000
E02001718,86000
E02001719,145000
E02001720,248500
E02001721,110000
E02001722,107500
E02001723,118250
E02001724,175500
E02001725,110000
E02001726,118500
E02001727,112000
E02001728,90000
E02001729,135000
E02001730,120000
E02001731,121000
E02001732,97000
E02001733,78875
E02001734,90000
E02001735,65000
E02001736,66000
E02001737,99000
E02006893,137975
E02001738,215500
E02001739,124000
E02001740,223250
E02001741,131750
E02001742,167000
E02001743,163500
E02001744,149975
E02001745,98000
E02001746,159000
E02001747,180000
E02001748,160000
E02001749,124995
E02001750,170000
E02001751,112000
E02001752,96000
E02001753,175000
E02001754,153000
E02001755,165000
E02001756,122500
E02001757,131000
E02001758,107000
E02001759,102000
E02001760,79000
E02001761,108000
E02001762,100000
E02001763,90000
E02001764,94000
E02001765,119975
E02001766,77000
E02001767,90000
E02005706,92500
E02005707,167000
E02005708,190000
E02005702,232250
E02005703,145000
E02005704,132500
E02005705,188000
E02005720,100000
E02005734,68000
E02005735,53000
E02005721,145000
E02005737,119000
E02005736,109750
E02005738,100000
E02005722,214850
E02005723,127000
E02005739,97000
E02005724,197500
E02005727,168250
E02005740,80000
