MSOA01CD,qualification_all_2001,qualification_2001,qualification_2001_pct
E02005715,6270,554,0.088357257
E02005716,6756,710,0.10509177
E02005717,5763,837,0.145236856
E02005718,5430,768,0.141436464
E02005719,5410,608,0.112384473
E02005720,8084,936,0.115784265
E02005721,3696,912,0.246753247
E02005722,5123,1588,0.309974624
E02005723,4464,883,0.197804659
E02005724,4507,1696,0.376303528
E02005725,4590,1381,0.30087146
E02005726,5588,1979,0.354151754
E02005727,4601,970,0.210823734
E02005728,5218,768,0.147182829
E02005729,4010,1396,0.348129676
E02005730,8902,2512,0.282183779
E02005731,7521,1210,0.160882861
E02005732,6518,2262,0.347038969
E02005733,5854,1666,0.284591732
E02005734,4351,370,0.085037922
E02005735,5922,488,0.082404593
E02005736,4992,497,0.099559295
E02005737,5187,760,0.146520147
E02005738,3959,497,0.125536752
E02005739,7168,858,0.119698661
E02005740,7250,691,0.095310345
E02005741,5966,1074,0.180020114
E02001682,5619,1049,0.186688023
E02001683,6511,1183,0.18169252
E02001684,4563,444,0.097304405
E02001685,5333,361,0.067691731
E02001686,5473,758,0.138498081
E02001687,7931,932,0.117513554
E02001688,4542,298,0.065609863
E02001689,5071,506,0.09978308
E02001690,5220,811,0.155363985
E02001691,5995,871,0.14528774
E02001692,4405,307,0.06969353
E02001693,4138,348,0.084098598
E02001694,4765,504,0.105771249
E02001695,4370,593,0.135697941
E02001696,6557,397,0.060545981
E02001697,5440,1286,0.236397059
E02001698,5692,1274,0.223822909
E02001699,5020,414,0.08247012
E02001700,7873,1112,0.14124222
E02001701,4638,1052,0.226821906
E02001702,5831,383,0.065683416
E02001703,4203,894,0.212705211
E02001704,5204,444,0.085318985
E02001705,4991,681,0.136445602
E02001706,4424,382,0.086347197
E02001707,5832,595,0.10202332
E02001708,7055,1361,0.192912828
E02001709,5651,1937,0.342771191
E02001710,6909,785,0.113619916
E02001711,6690,754,0.112705531
E02001712,6613,3115,0.471041887
E02001713,7324,3251,0.443883124
E02001714,6869,2185,0.318095793
E02001715,7077,1123,0.158683058
E02001716,4664,793,0.170025729
E02001717,3709,403,0.108654624
E02001718,4178,336,0.080421254
E02001719,6903,1868,0.270606982
E02001720,6257,2900,0.463480901
E02001721,7342,817,0.111277581
E02001722,7075,723,0.102190813
E02001723,4140,720,0.173913043
E02001724,5959,2759,0.462997147
E02001725,7387,2171,0.29389468
E02001726,7951,1022,0.128537291
E02001727,6224,541,0.086921594
