MSOA01CD,space_all_2001,space_vacant_2001,space_vacant_2001_pct
E02002559,2790,126,0.04516129
E02002560,2505,83,0.033133733
E02002561,2519,51,0.020246129
E02002562,3025,209,0.069090909
E02002563,2410,42,0.017427386
E02002564,4105,137,0.033373934
E02002565,2704,107,0.039571006
E02002566,3328,344,0.103365385
E02002567,2991,141,0.047141424
E02002568,2451,129,0.052631579
E02002569,3949,83,0.021017979
E02002570,3472,192,0.055299539
E02002571,2297,77,0.033521985
E02002572,2807,187,0.066619166
E02002573,2992,128,0.042780749
E02002483,3020,54,0.017880795
E02002484,4511,260,0.057636888
E02002485,3896,187,0.047997947
E02002486,2317,78,0.033664221
E02002487,2954,348,0.117806364
E02002488,2392,95,0.039715719
E02002489,3535,312,0.088260255
E02002490,2964,196,0.066126856
E02002491,2810,78,0.027758007
E02002492,2707,105,0.038788327
E02002493,2524,72,0.028526149
E02002494,3477,129,0.037100949
E02002495,2234,42,0.018800358
E02002496,4503,735,0.163224517
E02002497,3117,267,0.085659288
E02002498,4481,687,0.153313992
E02002499,3135,109,0.03476874
E02002500,2308,109,0.047227036
E02002501,2514,146,0.058074781
E02002502,4633,337,0.072739046
E02002503,2989,329,0.110070258
E02002504,3203,98,0.030596316
E02002505,2674,95,0.0355273
E02002506,2347,139,0.059224542
E02002507,2361,64,0.027107158
E02002508,2125,31,0.014588235
E02002509,2365,59,0.024947146
E02002510,2485,61,0.024547284
E02002511,3740,70,0.018716578
E02002512,2132,14,0.006566604
E02002513,4100,272,0.066341463
E02002514,3631,57,0.015698155
E02002515,3246,260,0.080098583
E02002516,2596,54,0.020801233
E02002517,2475,70,0.028282828
E02002518,4483,129,0.028775374
E02002519,3135,86,0.027432217
E02002520,5279,99,0.018753552
E02002521,2739,147,0.053669222
E02002522,2747,243,0.088460138
E02002523,3081,244,0.079195067
E02002524,2281,105,0.046032442
E02002525,3754,101,0.026904635
E02002526,2806,172,0.06129722
E02002527,2493,203,0.081427998
E02002528,2274,33,0.014511873
E02002529,2615,52,0.019885277
E02002530,2863,169,0.059028991
E02002531,3445,135,0.039187228
E02002532,2763,94,0.034020992
E02002533,2365,33,0.013953488
E02002534,2480,50,0.02016129
E02002535,3867,83,0.021463667
E02002536,4250,90,0.021176471
E02002537,3752,161,0.042910448
E02002538,2422,69,0.028488852
E02002539,3105,113,0.036392915
E02002540,2671,41,0.015350056
E02002541,2802,98,0.034975018
E02002542,3422,126,0.036820573
E02002543,3393,332,0.097848512
E02002544,3518,288,0.081864696
E02002545,2335,52,0.022269807
E02002546,3225,169,0.052403101
E02002547,2690,37,0.013754647
E02002548,5204,715,0.137394312
E02002549,3413,69,0.020216818
E02002550,2735,117,0.042778793
E02002551,2653,174,0.065586129
E02002552,2692,100,0.037147103
E02002553,2219,57,0.025687247
E02002554,2336,65,0.027825342
E02002555,3867,81,0.02094647
E02002556,2721,40,0.014700478
E02002557,2797,30,0.010725778
E02002558,4140,169,0.040821256
E02004290,2554,79,0.030931872
E02004291,3136,152,0.048469388
E02004292,3319,80,0.024103646
E02004293,4504,291,0.064609236
E02004294,3648,106,0.029057018
E02004295,3153,78,0.024738344
E02004296,3482,159,0.045663412
E02004297,3413,152,0.044535599
E02004298,3976,164,0.041247485
E02004299,3556,205,0.057649044
E02004300,3486,212,0.060814687
E02004301,3753,232,0.061817213
E02004302,3525,270,0.076595745
E02004303,4423,182,0.041148542
E02004304,3278,109,0.033251983
E02004305,3579,168,0.046940486
E02004306,2517,87,0.034564958
E02004307,2865,108,0.037696335
E02004308,2884,73,0.025312067
E02004309,2641,102,0.038621734
E02004310,3414,174,0.050966608
E02004311,3981,133,0.033408691
E02004312,3344,59,0.017643541
E02004313,2857,178,0.062303115
E02004314,2203,164,0.07444394
E02004315,3311,163,0.04922984
E02004316,2597,125,0.048132461
E02004317,3417,125,0.036581797
E02004318,2604,107,0.04109063
E02004319,3125,128,0.04096
E02004320,3137,45,0.014344916
E02004321,3554,183,0.051491277
E02004322,3900,164,0.042051282
E02004323,2895,131,0.045250432
E02004324,2621,158,0.060282335
E02004325,3889,171,0.043970172
E02004326,2569,84,0.032697548
E02004327,2965,81,0.027318718
E02004328,3170,66,0.020820189
E02004329,2822,67,0.023742027
E02004330,2883,133,0.046132501
E02004331,3171,188,0.059287291
E02004332,2884,201,0.069694868
E02004333,3162,86,0.027197976
E02004334,3211,90,0.028028652
E02004335,3178,157,0.04940214
E02004336,3378,184,0.054470101
E02004337,3765,147,0.039043825
E02004338,3167,187,0.059046416
E02004339,2763,95,0.034382917
E02004340,4880,179,0.036680328
E02004341,3297,90,0.027297543
E02004342,2366,110,0.04649197
E02004343,2530,35,0.013833992
E02004344,3233,56,0.017321373
E02004345,5975,449,0.075146444
