LAD11CD,space_all_2011_la,space_vacant_2011_la,space_vacant_2011_la_pct
E07000051,22140,2557,0.115492322
E07000052,49339,4953,0.100387118
E07000053,31043,2508,0.080791161
E07000078,53430,2501,0.046808909
E07000079,39968,3732,0.0933747
E07000080,36175,2008,0.055507947
E07000081,52946,2583,0.048785555
E07000082,49983,2189,0.04379489
E07000083,37065,1939,0.052313503
E07000187,48719,2562,0.052587286
E07000188,50921,2120,0.041633118
E07000189,73410,3909,0.053248876
E07000190,49321,2414,0.048944669
E07000191,17594,1971,0.112026827
W06000001,34183,3589,0.10499371
W06000002,61075,8602,0.140843226
W06000003,56199,5022,0.089361021
W06000004,42737,2191,0.051267052
W06000005,65838,2057,0.031243355
W06000006,59044,2015,0.034127092
W06000023,63482,5137,0.080920576
W06000008,34669,3107,0.089618968
W06000009,60712,7590,0.125016471
W06000010,84155,5326,0.063287981
W06000011,108977,5480,0.05028584
W06000012,64017,3624,0.056609963
W06000013,61498,2983,0.048505642
W06000014,55664,2159,0.038786289
W06000015,148599,6042,0.040659762
W06000016,105310,5647,0.053622638
W06000024,26254,1990,0.075797974
W06000018,77244,2765,0.035795661
W06000019,31952,1536,0.048072108
W06000020,40229,1705,0.042382361
W06000021,40078,1845,0.046035231
W06000022,63605,2433,0.03825171
