LAD11CD,space_all_2011_la,space_vacant_2011_la,space_vacant_2011_la_pct
E06000005,48761,2091,0.042882632
E06000047,233537,9734,0.041680762
E06000001,42119,1685,0.040005698
E06000002,60164,2961,0.049215478
E06000057,148043,9509,0.064231338
E06000003,61965,2360,0.038086016
E06000004,82308,3149,0.038258735
E08000037,92602,3448,0.037234617
E08000021,121894,4741,0.038894449
E08000022,94566,3271,0.034589599
E08000023,69707,2540,0.036438234
E08000024,123528,3770,0.030519396
E06000008,59694,2341,0.039216672
E06000009,69343,4976,0.071759226
E06000049,166329,6888,0.041411901
E06000050,147746,6304,0.042667822
E06000006,54694,1382,0.025267854
E06000007,87962,2822,0.032082035
E07000026,45438,3093,0.068070778
E07000027,33058,1834,0.05547825
E07000028,50429,2087,0.041384917
E07000029,32450,1914,0.058983051
E07000030,25308,2265,0.089497392
E07000031,53466,6914,0.129315827
E08000001,121001,4630,0.038264147
E08000002,81440,3327,0.040852161
E08000003,214377,9408,0.043885305
E08000004,93025,3322,0.03571083
E08000005,90015,2463,0.027362106
E08000006,109059,5503,0.050458926
E08000007,125975,3996,0.031720579
E08000008,99235,4282,0.043150098
E08000009,97330,2846,0.029240727
E08000010,141592,5206,0.036767614
E07000117,39964,2414,0.060404364
E07000118,46806,1887,0.040315344
E07000119,37435,2550,0.068118071
E07000120,35999,1658,0.046056835
E07000121,60942,3120,0.051196219
E07000122,39387,2039,0.05176835
E07000123,60519,2952,0.04877807
E07000124,25019,974,0.038930413
E07000125,30852,1794,0.05814858
E07000126,47715,1613,0.033804883
E07000127,47994,2613,0.054444306
E07000128,50073,2792,0.055758592
E08000011,62973,1650,0.026201705
E08000012,215939,9424,0.043641954
E08000014,124605,6675,0.053569279
E08000013,79278,3542,0.044678221
E08000015,145944,5361,0.036733268
E06000011,149958,6926,0.046186265
E06000010,116651,4055,0.034761811
E06000012,72560,2853,0.039319184
E06000013,73651,2967,0.040284585
E06000014,86735,3183,0.036697988
E07000163,27020,2437,0.09019245
E07000164,39923,1806,0.045237081
E07000165,70612,3443,0.048759418
E07000166,22803,2596,0.11384467
E07000167,24743,2219,0.08968193
E07000168,56720,7285,0.128437941
E07000169,36294,1735,0.047804045
E08000016,105123,4389,0.041751092
E08000017,131007,4520,0.034501973
E08000018,112068,3775,0.033684906
E08000019,237387,7459,0.031421266
E08000032,208063,8767,0.042136276
E08000033,92310,3689,0.039963168
E08000034,181545,8020,0.044176375
E08000035,332674,12078,0.036305813
E08000036,146538,6124,0.041791208
E06000015,106687,4416,0.04139211
E06000016,127383,4258,0.033426752
E06000018,131586,5455,0.041455778
E06000017,16072,1070,0.066575411
E07000032,54942,2346,0.042699574
E07000033,34364,1563,0.045483646
E07000034,48542,1746,0.035968852
E07000035,33489,2745,0.081967213
E07000036,50572,1880,0.037174721
E07000037,40821,1875,0.045932241
E07000038,44052,982,0.022291837
E07000039,40382,1390,0.034421277
E07000129,39671,985,0.02482922
E07000130,69305,2789,0.040242407
E07000131,36110,1212,0.03356411
E07000132,46926,1549,0.033009419
E07000133,22212,722,0.032504952
E07000134,40472,1344,0.033208144
E07000135,22482,1143,0.050840673
E07000136,28357,1066,0.037592129
E07000137,65270,4380,0.067105868
E07000138,42623,2798,0.065645309
E07000139,47554,1582,0.033267443
E07000140,38695,1431,0.036981522
E07000141,59552,2208,0.03707684
E07000142,40201,1816,0.045173006
E07000150,26181,966,0.036896986
E07000151,32625,978,0.029977011
E07000152,37339,1677,0.044912826
E07000153,41486,1785,0.043026563
E07000154,91700,2969,0.032377317
E07000155,36048,1331,0.036922992
E07000156,33083,1026,0.031012907
E07000170,52829,1898,0.035927237
E07000171,49419,1752,0.035451952
E07000172,48683,1863,0.038267979
E07000173,50878,1529,0.030052282
E07000174,46895,1967,0.04194477
E07000175,50955,2182,0.042822098
E07000176,47385,1550,0.032710773
E06000019,82676,4357,0.052699695
E06000051,135645,5971,0.044019315
E06000021,111977,4402,0.039311644
E06000020,68730,2122,0.030874436
E07000192,41828,1164,0.027828249
E07000193,49128,1877,0.038206318
E07000194,43187,1963,0.045453493
E07000195,54254,1680,0.030965459
E07000196,45624,1166,0.025556725
E07000197,57657,1954,0.033890074
E07000198,43592,1820,0.04175078
E07000199,32264,647,0.02005331
E07000218,27035,1223,0.045237655
E07000219,54249,1538,0.028350753
E07000220,43237,1362,0.031500798
E07000221,54814,2886,0.052650783
E07000222,60631,1952,0.032194752
E08000025,425095,14359,0.033778332
E08000026,133696,5104,0.038176161
E08000027,134022,4155,0.031002373
E08000028,127196,5698,0.044797006
E08000029,88250,2194,0.02486119
E08000030,111038,3216,0.028963058
E08000031,106109,3932,0.037056235
E07000234,39385,1095,0.027802463
E07000235,33717,1505,0.044636237
E07000236,35439,717,0.020231948
E07000237,43415,1373,0.031625014
E07000238,51968,2502,0.048145012
E07000239,45059,2074,0.04602854
E06000055,67653,3841,0.056775014
E06000056,108733,4334,0.039859104
E06000032,76295,2002,0.026240252
E06000031,76826,2803,0.036485044
E06000033,79126,4448,0.056214139
E06000034,63889,1536,0.024041697
E07000008,48835,2121,0.043431965
E07000009,35760,1146,0.03204698
E07000010,42124,1504,0.035704112
E07000011,71414,2081,0.029139945
E07000012,61751,1791,0.029003579
E07000066,74039,1293,0.017463769
E07000067,62743,1700,0.027094656
E07000068,32088,1442,0.044938918
E07000069,37693,1253,0.033242247
E07000070,71273,1606,0.022533077
E07000071,74731,3097,0.041441972
E07000072,54433,2442,0.044862492
E07000073,35752,1132,0.031662564
E07000074,27212,1395,0.051264148
E07000075,34461,897,0.026029425
E07000076,67036,4931,0.073557491
E07000077,32862,1546,0.047045219
E07000095,39207,1549,0.039508251
E07000096,61969,2031,0.032774452
E07000242,58356,1779,0.030485297
E07000098,41034,1256,0.030608763
E07000099,54995,1569,0.028529866
E07000240,58000,1860,0.032068966
E07000243,35584,686,0.019278327
E07000102,36159,1051,0.029066069
E07000103,37577,896,0.023844373
E07000241,45545,1932,0.042419585
E07000143,57438,2919,0.050820015
E07000144,54885,1549,0.028222647
E07000145,44438,2359,0.053085197
E07000146,74016,11039,0.149143428
E07000147,53243,7197,0.135172699
E07000148,63538,3219,0.050662596
E07000149,54620,1811,0.033156353
E07000200,39026,1504,0.03853841
E07000201,27561,2185,0.079278691
E07000202,59448,2150,0.036166061
E07000203,41929,1623,0.038708293
E07000204,47188,1386,0.029371874
E07000205,58385,4827,0.082675345
E07000206,54628,3745,0.068554587
E09000007,102703,5169,0.050329591
E09000001,5530,1145,0.207052441
E09000012,104356,2666,0.025547165
E09000013,84214,3624,0.043033225
E09000014,106099,4144,0.039057861
E09000019,98196,4640,0.047252434
E09000020,87705,9169,0.104543641
E09000022,134231,4214,0.031393642
E09000023,118617,2526,0.02129543
E09000025,103617,2098,0.020247643
E09000028,124167,3745,0.030160993
E09000030,106136,4879,0.045969322
E09000032,135897,5404,0.039765411
E09000033,120066,14294,0.119051189
E09000002,71206,1525,0.021416735
E09000003,140062,4146,0.029601177
E09000004,95114,2510,0.026389385
E09000005,113342,3056,0.026962644
E09000006,135460,4598,0.0339436
E09000008,148824,3814,0.025627587
E09000009,128248,4166,0.032483937
E09000010,122421,2505,0.020462176
E09000011,103827,2782,0.026794572
E09000015,86667,2399,0.027680663
E09000016,99290,2091,0.021059523
E09000017,103990,3776,0.036311184
E09000018,97274,2372,0.024384728
E09000021,65693,2054,0.031266649
E09000024,81210,2453,0.03020564
E09000026,101575,2470,0.024317007
E09000027,82827,2992,0.036123486
E09000029,79942,1768,0.022116034
E09000031,98749,1888,0.019119181
E06000036,47039,1161,0.024681647
E06000043,126827,5287,0.041686707
E06000046,67676,6591,0.097390508
E06000035,110263,4054,0.03676664
E06000042,102048,3464,0.03394481
E06000044,88638,3165,0.035707033
E06000038,65925,3056,0.046355707
E06000039,51980,1214,0.023355137
E06000045,101272,3018,0.029800932
E06000037,64657,2317,0.035835254
E06000040,60943,2594,0.042564363
E06000041,62490,2158,0.034533525
E07000004,72072,2666,0.036990787
E07000005,38306,1360,0.035503576
E07000006,27721,1207,0.043540998
E07000007,70235,2374,0.033800812
E07000061,47842,2830,0.059153045
E07000062,43059,1900,0.044125502
E07000063,43890,1709,0.038938255
E07000064,44069,3192,0.072431868
E07000065,65200,2524,0.038711656
E07000084,70965,1650,0.023250898
E07000085,49114,1856,0.037789632
E07000086,53415,1238,0.02317701
E07000087,47950,1371,0.028592284
E07000088,36712,1282,0.034920462
E07000089,36527,1017,0.027842418
E07000090,52814,1503,0.028458363
E07000091,80332,3493,0.043482049
E07000092,37724,1380,0.036581487
E07000093,49164,1538,0.031283053
E07000094,49168,2303,0.046839408
E07000105,49806,2019,0.040537285
E07000106,64041,3270,0.051061039
E07000107,41250,1169,0.028339394
E07000108,51615,3305,0.064031774
E07000109,41744,1313,0.031453622
E07000110,65673,2226,0.033895208
E07000111,48400,1380,0.028512397
E07000112,49873,2494,0.050007018
E07000113,58053,2468,0.042512876
E07000114,65276,5763,0.08828666
E07000115,49984,1844,0.036891805
E07000116,49085,1911,0.038932464
E07000177,59079,2351,0.039794174
E07000178,57695,2320,0.040211457
E07000179,56663,2559,0.045161746
E07000180,51036,1629,0.031918646
E07000181,45597,2356,0.051670066
E07000207,55774,2852,0.051134937
E07000208,30580,796,0.026030085
E07000209,56220,2247,0.039967983
E07000210,36989,1161,0.03138771
E07000211,57150,1727,0.030218723
E07000212,34316,1602,0.046683763
E07000213,40945,1433,0.034998168
E07000214,34757,1211,0.034841902
E07000215,34741,1399,0.040269422
E07000216,51597,2317,0.044905712
E07000217,40691,1224,0.030080362
E07000223,27673,716,0.025873595
E07000224,70472,3766,0.053439664
E07000225,53876,4028,0.074764274
E07000226,43484,757,0.017408702
E07000227,56551,1628,0.028788174
E07000228,58760,1351,0.022991831
E07000229,48690,1646,0.03380571
E06000022,76304,2789,0.036551164
E06000028,87016,4642,0.053346511
E06000023,189885,7138,0.037591174
E06000052,259346,28957,0.111653929
E06000053,1389,400,0.287976962
E06000024,91954,3727,0.040531135
E06000026,113528,4221,0.037180255
E06000029,66646,3116,0.046754494
E06000025,110024,2486,0.02259507
E06000030,91227,2867,0.031427099
E06000027,64370,5360,0.083268603
E06000054,202145,7951,0.039333152
E07000040,63956,4885,0.076380637
E07000041,51020,1778,0.034849079
E07000042,33990,1232,0.036245955
E07000043,44559,4558,0.102291344
E07000044,43245,6387,0.147693375
E07000045,57816,3813,0.065950602
E07000046,30729,2743,0.089264213
E07000047,24697,1972,0.079847755
E07000048,23142,1667,0.072033532
E07000049,38979,1415,0.036301598
E07000050,30416,1746,0.057403998
