LAD11CD,householdspace_all_2011_la,householdspace_vacant_2011_la,householdspace_all_2001_la,householdspace_vacant_2001_la
E07000164,39923,1806,36315,1627
E07000165,70612,3443,66084,3007
E07000166,22803,2596,20486,2361
E07000167,24743,2219,22765,1314
E07000168,56720,7285,51868,5142
E07000169,36294,1735,31968,1132
E07000170,52829,1898,48231,1631
E07000171,49419,1752,46516,1826
E07000172,48683,1863,46700,1255
E07000173,50878,1529,48571,1015
E07000174,46895,1967,43953,2352
E07000175,50955,2182,46050,1585
E07000176,47385,1550,44877,1207
E07000177,59079,2351,54841,1616
E07000178,57695,2320,53439,1707
E07000179,56663,2559,53918,1813
E07000180,51036,1629,46919,1160
E07000181,45597,2356,40094,1697
E07000187,48719,2562,44117,1236
E07000188,50921,2120,45844,1412
E07000189,73410,3909,66146,2377
E07000190,49321,2414,45230,1350
E07000191,17594,1971,16844,1219
E07000192,41828,1164,37904,802
E07000193,49128,1877,44420,1703
E07000194,43187,1963,38748,1248
E07000195,54254,1680,52134,1396
E07000196,45624,1166,42869,896
E07000197,57657,1954,51602,1577
E07000198,43592,1820,40588,1789
E07000199,32264,647,29740,360
E07000200,39026,1504,36070,1207
E07000201,27561,2185,24372,1354
E07000202,59448,2150,51924,2055
E07000203,41929,1623,36763,1367
E07000204,47188,1386,42200,1640
E07000205,58385,4827,52697,3672
E07000206,54628,3745,51606,3182
E07000207,55774,2852,52619,1998
E07000208,30580,796,28029,667
E07000209,56220,2247,53573,1223
E07000210,36989,1161,34502,880
E07000211,57150,1727,52895,1201
E07000212,34316,1602,32673,1017
E07000213,40945,1433,39305,913
E07000214,34757,1211,32825,1104
E07000215,34741,1399,32405,764
E07000216,51597,2317,48570,1394
E07000217,40691,1224,37943,1002
E07000218,27035,1223,25795,621
E07000219,54249,1538,49500,817
E07000220,43237,1362,37768,1285
E07000221,54814,2886,49382,2180
E07000222,60631,1952,55138,1782
E07000223,27673,716,26430,560
E07000224,70472,3766,65603,2870
E07000225,53876,4028,48852,3056
E07000226,43484,757,40935,553
E07000227,56551,1628,51341,1304
E07000228,58760,1351,53437,1468
E07000229,48690,1646,45768,1640
E07000234,39385,1095,35983,815
E07000235,33717,1505,31350,1281
E07000236,35439,717,32750,1098
E07000237,43415,1373,40120,1060
E07000238,51968,2502,48286,1467
E07000239,45059,2074,41420,1139
E07000240,58000,1860,53802,1143
E07000241,45545,1932,40705,861
E07000242,58356,1779,53368,1284
E07000243,35584,686,33252,498
E08000001,121001,4630,113365,5280
E08000002,81440,3327,76838,2503
E08000003,214377,9408,186285,18834
E08000004,93025,3322,91435,3611
E08000005,90015,2463,86897,3445
E08000006,109059,5503,98791,4553
E08000007,125975,3996,123624,3168
E08000008,99235,4282,94038,4057
E08000009,97330,2846,92013,2700
E08000010,141592,5206,129133,4037
E08000011,62973,1650,62188,1635
E08000012,215939,9424,197824,9959
E08000013,79278,3542,75446,2749
E08000014,124605,6675,120857,4010
E08000015,145944,5361,139221,5876
E08000016,105123,4389,95850,3685
E08000017,131007,4520,123351,4652
E08000018,112068,3775,105942,3663
E08000019,237387,7459,225218,7596
E08000021,121894,4741,117695,6452
E08000022,94566,3271,88375,3514
E08000023,69707,2540,67992,1895
E08000024,123528,3770,120072,3716
E08000025,425095,14359,404302,13510
E08000026,133696,5104,126771,4418
E08000027,134022,4155,128343,3355
E08000028,127196,5698,119626,4200
E08000029,88250,2194,83440,2510
E08000030,111038,3216,105777,4444
E08000031,106109,3932,101101,3979
E08000032,208063,8767,192335,12089
E08000033,92310,3689,84889,3952
E08000034,181545,8020,166470,7439
E08000035,332674,12078,312541,10927
E08000036,146538,6124,136489,4277
E08000037,92602,3448,87659,3392
E09000001,5530,1145,5024,686
E09000002,71206,1525,68378,1105
E09000003,140062,4146,131143,4199
E09000004,95114,2510,91729,2278
E09000005,113342,3056,102225,2234
E09000006,135460,4598,128996,3130
E09000007,102703,5169,94829,3226
E09000008,148824,3814,141877,2878
E09000009,128248,4166,120887,2864
E09000010,122421,2505,113231,2833
E09000011,103827,2782,95835,3047
E09000012,104356,2666,88466,2424
E09000013,84214,3624,77742,2304
E09000014,106099,4144,94616,2446
E09000015,86667,2399,80904,1792
E09000016,99290,2091,93980,2258
E09000017,103990,3776,99130,2487
E09000018,97274,2372,86217,2223
E09000019,98196,4640,83981,1700
E09000020,87705,9169,85469,6323
E09000021,65693,2054,62987,1561
E09000022,134231,4214,121743,3296
E09000023,118617,2526,109448,2036
E09000024,81210,2453,81064,2180
E09000025,103617,2098,93782,1961
E09000026,101575,2470,94174,1886
E09000027,82827,2992,78788,2642
E09000028,124167,3745,107663,1857
E09000029,79942,1768,77998,1596
E09000030,106136,4879,80781,2251
E09000031,98749,1888,92411,2623
E09000032,135897,5404,121566,5913
E09000033,120066,14294,102593,11421
W06000001,34183,3589,31043,2687
W06000002,61075,8602,56786,7549
W06000003,56199,5022,51496,3434
W06000004,42737,2191,41669,1778
W06000005,65838,2057,62420,1881
W06000006,59044,2015,55045,1819
W06000008,34669,3107,33086,2114
W06000009,60712,7590,54286,6110
W06000010,84155,5326,77196,4084
W06000011,108977,5480,99550,5150
W06000012,64017,3624,60606,2997
W06000013,61498,2983,55300,1958
W06000014,55664,2159,51009,2256
W06000015,148599,6042,127476,3896
W06000016,105310,5647,99312,4759
W06000018,77244,2765,72020,2679
W06000019,31952,1536,31387,1802
W06000020,40229,1705,38730,1154
W06000021,40078,1845,36795,1602
W06000022,63605,2433,58621,2086
W06000023,63482,5137,57399,3534
W06000024,26254,1990,24584,1439
