LAD11CD,space_all_2001_la,space_vacant_2001_la,space_vacant_2001_la_pct
E07000076,64907,3496,0.053861679
E07000077,28584,1065,0.037258606
E07000095,35948,1015,0.028235229
E07000096,57023,1115,0.019553513
E07000242,53368,1284,0.024059361
E07000098,38746,877,0.022634595
E07000099,49937,1127,0.022568436
E07000240,53802,1143,0.021244563
E07000243,33252,498,0.014976543
E07000102,34171,732,0.021421673
E07000103,33352,1002,0.030043176
E07000241,40705,861,0.021152193
E07000143,52620,1905,0.036202965
E07000144,51417,1408,0.027383939
E07000145,41161,1781,0.043269114
E07000146,63264,4926,0.077864188
E07000147,48354,4852,0.100343301
E07000148,57179,2595,0.045383795
E07000149,48400,1793,0.037045455
E07000200,36070,1207,0.033462711
E07000201,24372,1354,0.055555556
E07000202,51924,2055,0.039577074
E07000203,36763,1367,0.037184125
E07000204,42200,1640,0.038862559
E07000205,52697,3672,0.069681386
E07000206,51606,3182,0.061659497
E09000007,94829,3226,0.034019129
E09000001,5024,686,0.136544586
E09000012,88466,2424,0.027400357
E09000013,77742,2304,0.02963649
E09000014,94616,2446,0.025851864
E09000019,83981,1700,0.020242674
E09000020,85469,6323,0.07398004
E09000022,121743,3296,0.027073425
E09000023,109448,2036,0.018602441
E09000025,93782,1961,0.020910196
E09000028,107663,1857,0.017248265
E09000030,80781,2251,0.027865463
E09000032,121566,5913,0.048640245
E09000033,102593,11421,0.111323385
E09000002,68378,1105,0.016160168
E09000003,131143,4199,0.032018484
E09000004,91729,2278,0.024834022
E09000005,102225,2234,0.021853754
E09000006,128996,3130,0.024264318
E09000008,141877,2878,0.020285177
E09000009,120887,2864,0.023691547
E09000010,113231,2833,0.02501965
E09000011,95835,3047,0.03179423
E09000015,80904,1792,0.022149708
E09000016,93980,2258,0.024026389
E09000017,99130,2487,0.025088268
E09000018,86217,2223,0.025783778
E09000021,62987,1561,0.024782892
E09000024,81064,2180,0.026892332
E09000026,94174,1886,0.020026759
E09000027,78788,2642,0.033533025
E09000029,77998,1596,0.020462063
E09000031,92411,2623,0.028384067
E06000036,44482,1090,0.024504294
E06000043,118953,4474,0.037611494
E06000046,61609,4090,0.066386405
E06000035,102892,3326,0.032325156
E06000042,86584,3225,0.037247066
E06000044,81698,2979,0.036463561
E06000038,59818,1941,0.032448427
E06000039,45790,803,0.01753658
E06000045,93513,2296,0.024552736
E06000037,58727,1367,0.023277198
E06000040,56557,2296,0.040596213
E06000041,58356,1084,0.018575639
E07000004,66143,1617,0.024447031
E07000005,36401,1126,0.030933216
E07000006,25906,1125,0.043426233
E07000007,65075,1571,0.024141375
E07000061,43087,2169,0.05034001
E07000062,39766,2162,0.054368053
E07000063,41055,1327,0.032322494
E07000064,40952,2838,0.069300645
E07000065,60608,2334,0.038509768
E07000084,63045,1323,0.020985011
E07000085,44988,1363,0.030296968
E07000086,47851,850,0.017763474
E07000087,44403,826,0.018602347
E07000088,32674,1337,0.040919385
E07000089,33325,855,0.025656414
E07000090,50324,1864,0.037039981
E07000091,74835,2850,0.038083784
E07000092,36232,969,0.026744314
E07000093,45204,1070,0.023670472
E07000094,44420,1288,0.028995948
E07000105,42969,1519,0.035351067
E07000106,58068,2484,0.042777433
E07000107,36028,788,0.021871877
E07000108,46458,2144,0.04614921
E07000109,39137,871,0.022255155
E07000110,58322,1868,0.03202908
E07000111,45648,1284,0.028128286
E07000112,44492,3337,0.075002248
E07000113,51316,2059,0.040123938
E07000114,59300,4072,0.068667791
E07000115,43899,1164,0.02651541
E07000116,43994,1299,0.029526754
E07000177,54841,1616,0.029467005
E07000178,53439,1707,0.031942963
E07000179,53918,1813,0.033625134
E07000180,46919,1160,0.02472346
E07000181,40094,1697,0.042325535
E07000207,52619,1998,0.037971075
E07000208,28029,667,0.023796782
E07000209,53573,1223,0.022828664
E07000210,34502,880,0.025505768
E07000211,52895,1201,0.02270536
E07000212,32673,1017,0.031126618
E07000213,39305,913,0.023228597
E07000214,32825,1104,0.033632902
E07000215,32405,764,0.023576609
E07000216,48570,1394,0.028700844
E07000217,37943,1002,0.026408033
E07000223,26430,560,0.021188044
E07000224,65603,2870,0.043747999
E07000225,48852,3056,0.062556292
E07000226,40935,553,0.013509222
E07000227,51341,1304,0.025398804
E07000228,53437,1468,0.027471602
E07000229,45768,1640,0.035832896
E06000022,73252,2137,0.029173265
E06000028,76825,4613,0.060045558
E06000023,167123,5033,0.030115544
E06000052,231241,16427,0.07103844
E06000053,1198,317,0.264607679
E06000024,82802,2817,0.034020917
E06000026,106583,4043,0.037932879
E06000029,61623,2576,0.041802574
E06000025,100896,1858,0.018415002
E06000030,77512,2358,0.030421096
E06000027,60479,3059,0.05057954
E06000054,183753,7098,0.038627941
E07000040,59178,4167,0.070414681
E07000041,47888,1315,0.027459906
E07000042,30084,1154,0.038359261
E07000043,40381,3605,0.089274659
E07000044,40565,5755,0.141871071
E07000045,53613,2196,0.040960215
E07000046,26596,1726,0.064896977
E07000047,21296,1107,0.051981593
E07000048,21769,1157,0.053148973
E07000049,36616,948,0.025890321
E07000050,26455,1207,0.045624646
E07000051,20625,1821,0.088290909
E07000052,44030,3520,0.079945492
E07000053,28570,1414,0.049492475
E07000078,49959,1795,0.035929462
E07000079,36833,2409,0.065403307
E07000080,33645,1115,0.03314014
E07000081,46992,1227,0.026110827
E07000082,45975,1358,0.029537792
E07000083,33428,1056,0.031590284
E07000187,44117,1236,0.028016411
E07000188,45844,1412,0.030800105
E07000189,66146,2377,0.035935657
E07000190,45230,1350,0.029847446
E07000191,16844,1219,0.072369983
W06000001,31043,2687,0.086557356
W06000002,56786,7549,0.132937696
W06000003,51496,3434,0.066684791
W06000004,41669,1778,0.042669611
W06000005,62420,1881,0.030134572
W06000006,55045,1819,0.03304569
W06000023,57399,3534,0.061569017
W06000008,33086,2114,0.063894094
W06000009,54286,6110,0.112552039
W06000010,77196,4084,0.052904296
W06000011,99550,5150,0.051732798
W06000012,60606,2997,0.049450549
W06000013,55300,1958,0.035406872
W06000014,51009,2256,0.044227489
W06000015,127476,3896,0.030562616
W06000016,99312,4759,0.047919687
W06000024,24584,1439,0.058534006
W06000018,72020,2679,0.037198001
W06000019,31387,1802,0.057412304
W06000020,38730,1154,0.029796024
W06000021,36795,1602,0.043538524
W06000022,58621,2086,0.035584517
